year,peuvent_VERB être_VERB,peuvent_VERB etre_VERB,peuvent_VERB mettre_VERB
1800,4.586707291309722e-05,4.087413785214267e-08,4.7162467353700777e-07
1801,4.127065767534077e-05,1.0715321963061797e-07,5.452907885228342e-07
1802,4.617559170583263e-05,8.727576528144709e-08,6.176438773763948e-07
1803,4.911149153485894e-05,6.631153581793114e-08,4.3297529828123515e-07
1804,5.489239265443757e-05,1.3842364587901557e-07,5.240323730504315e-07
1805,5.2610295824706554e-05,1.9047280286343948e-07,4.065315124535118e-07
1806,5.089604019303806e-05,1.786634786782315e-07,5.129371061229904e-07
1807,6.261023372644559e-05,1.708173105186006e-07,4.3558412698985194e-07
1808,5.1847771828761324e-05,1.2463406395823995e-07,6.888864731990907e-07
1809,5.472049451782368e-05,1.1295152546608733e-07,7.319258656934835e-07
1810,5.623324614134617e-05,1.8018975822542416e-07,3.7442026723510935e-07
1811,5.0191676564281806e-05,8.273353557797236e-08,4.512738200901367e-07
1812,6.254069739952683e-05,9.068507988985175e-08,4.640942279365845e-07
1813,5.7661494793137535e-05,1.1502966401621961e-07,6.125329718997818e-07
1814,4.660858030547388e-05,9.754699359376673e-08,4.845882699555659e-07
1815,4.9043614126276225e-05,6.203614333344376e-08,3.803085348863533e-07
1816,5.6512453738832846e-05,1.321034233114915e-07,5.214608904680063e-07
1817,4.058457489009015e-05,4.670620157298799e-08,3.954458520638582e-07
1818,4.174081186647527e-05,6.914282835168706e-08,5.173790782464494e-07
1819,4.765209450852126e-05,7.659777168100845e-08,4.896046448266134e-07
1820,4.235977758071385e-05,6.526564533260171e-08,5.339916242519394e-07
1821,4.385600914247334e-05,6.903042049088981e-08,4.644761020244914e-07
1822,4.353924305178225e-05,7.519211919770896e-08,4.842372618441004e-07
1823,4.419735341798514e-05,7.214361374963119e-08,4.150728614149557e-07
1824,4.5826011046301574e-05,4.12634522106714e-08,3.9326596379396506e-07
1825,4.007973620900884e-05,5.3713202330385457e-08,4.0328927752852906e-07
1826,4.312653254601173e-05,4.932471187046872e-08,4.500880095292814e-07
1827,5.02562579640653e-05,6.359918225395944e-08,4.3597702870101784e-07
1828,4.925617395201698e-05,7.704733206992387e-08,4.338498627021181e-07
1829,4.984615952707827e-05,6.172687055938653e-08,4.0293926417689363e-07
1830,5.2791601774515584e-05,8.140732177253085e-08,5.260165494291869e-07
1831,5.077588139101863e-05,1.3252525032925178e-07,5.238645144345355e-07
1832,5.5729942687321454e-05,9.606278006391022e-08,4.789609420186025e-07
1833,5.188538852962665e-05,8.919394045570073e-08,3.9384337924275314e-07
1834,5.1735703891608864e-05,1.2134889892934098e-07,4.0605209505883977e-07
1835,4.750602602143772e-05,9.22696727911898e-08,4.3336493149581656e-07
1836,4.474406523513608e-05,1.2298972640323313e-07,4.166865039678669e-07
1837,4.697759140981361e-05,1.3359150186076363e-07,4.793986931872496e-07
1838,4.5890679757576436e-05,1.5591039614903934e-07,4.4500740159492125e-07
1839,5.150969445821829e-05,1.629013781645483e-07,4.2647999975997664e-07
1840,4.757775241159834e-05,1.1592833271123482e-07,3.917358526450698e-07
1841,5.321222124621272e-05,1.3611563076665334e-07,4.282505869923625e-07
1842,5.27725787833333e-05,1.3416529975884828e-07,3.9847094512879266e-07
1843,5.0119549996452406e-05,1.5357968186080484e-07,4.3120451209688326e-07
1844,5.0768641813192517e-05,1.399583109407132e-07,3.8749243458369165e-07
1845,5.130907811690122e-05,1.595945168242352e-07,4.363738241863757e-07
1846,5.0879712944151834e-05,1.3055538605755146e-07,4.958762360729452e-07
1847,5.2820694691035897e-05,1.634146791218427e-07,4.6597452296737174e-07
1848,5.5344688007608056e-05,1.5446825329945568e-07,4.0708820847612515e-07
1849,5.5523680202895775e-05,1.432879896956507e-07,3.8461513440779527e-07
1850,4.9793892685556784e-05,1.398533129304269e-07,3.808626729551179e-07
1851,5.2666760893771425e-05,1.4446742291340797e-07,4.2437307001819136e-07
1852,5.484483335749246e-05,1.2109614644373323e-07,4.1732596400834154e-07
1853,4.959271245752461e-05,1.4571514372896388e-07,4.03702586027066e-07
1854,4.930165960104205e-05,1.4859600128147576e-07,4.3903364144171064e-07
1855,4.826340955332853e-05,1.0666943595083467e-07,4.012044314549712e-07
1856,5.1606220949906856e-05,1.4496130407160024e-07,4.089979483978823e-07
1857,4.535702828434296e-05,1.3375334995124888e-07,4.144401088979066e-07
1858,4.5110395149094984e-05,1.5121458263323007e-07,3.861110258185363e-07
1859,4.731138324132189e-05,1.2883198241553373e-07,3.747839514289808e-07
1860,4.417211312102154e-05,8.376246363184237e-08,3.5702035461326886e-07
1861,4.765999983646907e-05,7.451222838739113e-08,4.4848815150544397e-07
1862,4.6481494791805744e-05,1.1385325399126955e-07,3.948719893287489e-07
1863,4.59120528830681e-05,1.2536498616988467e-07,3.825879559826717e-07
1864,4.6202956582419574e-05,8.822299690791624e-08,4.2385394749544503e-07
1865,4.6168494009179994e-05,1.021385256372298e-07,4.1843847498057585e-07
1866,4.7601264668628573e-05,9.87719405154408e-08,3.7659845020243665e-07
1867,4.8414072807645425e-05,9.02622936393982e-08,4.04239187901112e-07
1868,4.967389031662606e-05,1.669677490712118e-07,3.774063657147053e-07
1869,5.10317986481823e-05,1.2306468211153998e-07,3.8628635934401245e-07
1870,4.982888276572339e-05,1.1009373857007176e-07,4.466824066184927e-07
1871,5.3337429562816396e-05,1.285162467556944e-07,3.526230898387439e-07
1872,5.1606784836621955e-05,1.5723082547047795e-07,4.2694216517702444e-07
1873,5.471207987284288e-05,1.197200882319116e-07,3.3880786531881313e-07
1874,5.251741094980389e-05,8.543691015772126e-08,3.698283137509861e-07
1875,5.020754542783834e-05,9.440519477266207e-08,4.5600572207149526e-07
1876,5.206767309573479e-05,9.73408416093946e-08,4.0750140328782436e-07
1877,5.0265854952158406e-05,1.0947124318150259e-07,3.6985198903494165e-07
1878,5.164809772395529e-05,9.722932670097606e-08,3.5268277542854776e-07
1879,5.04673043906223e-05,1.9000001016955537e-07,4.3254021875327453e-07
1880,5.1198367145843804e-05,1.2835692730917003e-07,3.215340882434248e-07
1881,5.422030881163664e-05,1.5827592814154912e-07,3.374693733348977e-07
1882,5.14401363034267e-05,1.1314155057284836e-07,4.05978482831415e-07
1883,5.270139081403613e-05,9.289427949088491e-08,3.412443163597345e-07
1884,5.427915311884135e-05,1.4391699210136721e-07,3.8553909575966827e-07
1885,5.530742055270821e-05,1.5211700188366706e-07,3.9318376821029233e-07
1886,5.5737920774845406e-05,1.3294135520203199e-07,4.420622872203239e-07
1887,5.859187513124198e-05,1.501652728830294e-07,4.413552971982426e-07
1888,5.579931166721508e-05,1.2744636035399992e-07,3.633172127592843e-07
1889,5.5401978897862136e-05,9.272402168303273e-08,3.8655892353745003e-07
1890,6.049567673471756e-05,1.2912142022258877e-07,3.5524774943951343e-07
1891,6.285108247539029e-05,1.4023283634312378e-07,3.5121951214023284e-07
1892,5.815361510030925e-05,1.623544667594956e-07,3.767376028918079e-07
1893,6.214765744516626e-05,1.1700991120466853e-07,3.005307291914505e-07
1894,5.824449908686802e-05,1.2351016809297732e-07,4.0518898458685726e-07
1895,5.8396210079081357e-05,1.2940021609786356e-07,4.00237865960662e-07
1896,6.108201341703534e-05,1.2560671724948236e-07,4.0807441337165073e-07
1897,6.101209874032065e-05,1.5615593018658558e-07,4.311768009301886e-07
1898,5.9517406043596566e-05,1.0807457517802987e-07,4.7360430244225427e-07
1899,5.998030610498972e-05,1.5587770541003465e-07,4.3170388153157546e-07
1900,6.047836359357461e-05,1.3237185736425516e-07,4.043830301725393e-07
1901,6.089042653911747e-05,1.4586608187983074e-07,3.917705839739938e-07
1902,0.0001001722484943457,1.3552383615333952e-07,3.8152904835442314e-07
1903,6.123472121544182e-05,1.4958609995119332e-07,3.990762706962414e-07
1904,6.328352174023166e-05,1.5371427775079383e-07,3.966473514083191e-07
1905,6.280695379246026e-05,1.4398517578229075e-07,3.911855230853689e-07
1906,6.287067662924528e-05,1.3426321687770582e-07,4.382845304462535e-07
1907,6.325028516585007e-05,2.046851683701334e-07,4.1297033703813213e-07
