year,tout_DET auteur_NOUN
1800,3.238489370005482e-07
1801,2.2621234530006973e-07
1802,3.647679420737404e-07
1803,2.1648764914061758e-07
1804,2.1752288681398113e-07
1805,2.5585899932067946e-07
1806,1.7578181399358073e-07
1807,1.7366426385834188e-07
1808,2.787271000670444e-07
1809,2.1912595915551947e-07
1810,3.229374936353224e-07
1811,2.0056614413732632e-07
1812,3.654075158010528e-07
1813,2.3868655674164074e-07
1814,2.4229413497778296e-07
1815,1.9420010222148676e-07
1816,1.900435186996674e-07
1817,2.0395041677723214e-07
1818,2.849161511164766e-07
1819,2.48425202742375e-07
1820,2.1478331291291397e-07
1821,2.2681423750281482e-07
1822,2.606660132187244e-07
1823,1.7986490452592818e-07
1824,2.2652793063571153e-07
1825,2.2013608003135232e-07
1826,2.1667641902922696e-07
1827,1.7236300919876157e-07
1828,9.630916153469116e-08
1829,2.1090012580771145e-07
1830,1.9934355677264648e-07
1831,8.731075240575592e-08
1832,1.664186193295336e-07
1833,1.7143769603933379e-07
1834,1.2974997831705082e-07
1835,9.605121675804185e-08
1836,1.1694104884441003e-07
1837,1.8160095294206258e-07
1838,2.0135796408027318e-07
1839,1.622022232083964e-07
1840,1.1911318154034234e-07
1841,1.052969942350046e-07
1842,1.2477372912655937e-07
1843,1.4176586660141766e-07
1844,1.448980206930628e-07
1845,1.2722919606744654e-07
1846,1.229445274475438e-07
1847,1.3051601399638457e-07
1848,9.573814097052491e-08
1849,1.3071887750015776e-07
1850,1.2491752343635198e-07
1851,8.964719633297591e-08
1852,1.5950836740330487e-07
1853,1.5945058251531918e-07
1854,1.849656499075536e-07
1855,1.3373481877465565e-07
1856,1.3771322926459106e-07
1857,1.7768692828212806e-07
1858,1.3261862008562275e-07
1859,2.3678606453358952e-07
1860,1.2953430683637635e-07
1861,1.4383689617147866e-07
1862,1.3553959021805895e-07
1863,1.5083755044997815e-07
1864,1.8124071488045956e-07
1865,1.1249358422560363e-07
1866,1.1872095839748908e-07
1867,1.4267265591172418e-07
1868,1.8277534508115423e-07
1869,1.3429677525600425e-07
1870,1.4564484018819712e-07
1871,1.0302542108320267e-07
1872,1.6448763062726357e-07
1873,1.1433268376492833e-07
1874,1.6788651802102095e-07
1875,1.5905845174302158e-07
1876,1.5598718050569005e-07
1877,1.4781709722910819e-07
1878,1.7513357519760575e-07
1879,2.0649519427706764e-07
1880,1.6301329819334853e-07
1881,1.4293640937523833e-07
1882,1.8368862697570876e-07
1883,1.1564390156593163e-07
1884,1.4721783969662283e-07
1885,1.6307458139408482e-07
1886,1.70371447838491e-07
1887,1.5473550973865713e-07
1888,2.0670403699796225e-07
1889,1.7041172029053087e-07
1890,2.1432843766433507e-07
1891,1.4724448504921384e-07
1892,1.5232485139904384e-07
1893,1.1947327926975504e-07
1894,1.6636064259500927e-07
1895,1.5166908795549716e-07
1896,1.5273305109531066e-07
1897,1.3401441378846357e-07
1898,1.573022690992687e-07
1899,1.5145564979945902e-07
1900,1.681901267147623e-07
1901,1.5704356570722666e-07
1902,1.0508007619591808e-07
1903,1.8522756306538213e-07
1904,1.4833965344962508e-07
1905,1.4398517933500443e-07
1906,1.9239250192981672e-07
1907,1.1159970370044903e-07
1908,1.768100013066487e-07
