year,peuvent_VERB hériter_VERB,peuvent_VERB mériter_VERB
1800,1.0061326349841693e-07,2.483890000348765e-07
1801,2.3811825844433088e-09,2.45261816189668e-07
1802,2.6854081625060644e-08,2.193083332713286e-07
1803,9.751696339321825e-09,1.9503391968100914e-07
1804,1.730295728918918e-08,2.743754521361552e-07
1805,0.0,1.0802935435094696e-07
1806,0.0,1.2679343797117326e-07
1807,1.7081731584767113e-08,2.4768510797912313e-07
1808,1.3596443970698147e-08,1.835519896076221e-07
1809,2.259030518203531e-09,2.41716264781644e-07
1810,7.020380277111826e-09,3.135769759410323e-07
1811,2.757784400841956e-08,1.9555199060050654e-07
1812,2.1337665856435706e-08,2.1871107946935808e-07
1813,2.0130190847567064e-08,2.1568062891219597e-07
1814,3.1466772298927026e-08,2.454408161156607e-07
1815,0.0,2.535390137836657e-07
1816,1.8540831092650478e-08,2.75794860726819e-07
1817,4.203558034987509e-08,2.3975849217094947e-07
1818,3.457141417584353e-08,1.4663048375496146e-07
1819,1.1386155129855524e-08,3.374442201220518e-07
1820,1.779972080839798e-08,1.3290458866777044e-07
1821,9.861488514673056e-09,1.9131287842810707e-07
1822,6.015369535816717e-08,1.6843034700286807e-07
1823,2.8659792761231984e-08,1.5120511420718685e-07
1824,5.3895121254754486e-08,1.6084325693555002e-07
1825,1.0566531649658373e-08,1.5233416661430965e-07
1826,3.699353356978463e-08,1.8056367423469055e-07
1827,7.373818444733615e-09,2.1937110261660564e-07
1828,3.668920500743411e-09,1.8528048428834154e-07
1829,2.1432940755516938e-08,1.8432328374728968e-07
1830,1.982998831806526e-08,2.3065406651312514e-07
1831,1.2472964883158966e-08,1.886535869743966e-07
1832,1.352996914505411e-08,1.4747666909897816e-07
1833,2.6642345218874652e-08,1.7143770492111798e-07
1834,2.0535967593104942e-08,1.4188486829880276e-07
1835,1.663879345414898e-08,1.187404805591541e-07
1836,2.2850549896702432e-08,1.1425274948351216e-07
1837,7.653680356156656e-09,1.2454624709334894e-07
1838,1.3886756633496589e-08,6.56464820281144e-08
1839,2.027527834513876e-08,1.7338858526727563e-07
1840,1.6561189752906103e-08,1.229349919640299e-07
1841,1.4767261191650505e-08,1.1878015016009158e-07
1842,2.0124794275488966e-08,1.086738947719823e-07
1843,2.008349753168659e-08,1.0396163219184018e-07
1844,2.4149668931272572e-08,1.0757580071185657e-07
1845,8.37034175305007e-09,9.988607985178533e-08
1846,5.269050973311096e-09,8.898842196458645e-08
1847,9.707802561820245e-09,1.5047093882003537e-07
1848,3.218088684420195e-09,8.367030801537112e-08
1849,8.379414495607307e-09,8.463209155706863e-08
1850,1.765138968323754e-08,8.078905011643656e-08
1851,1.2253933867611977e-08,8.126292527776968e-08
1852,1.3672145193766028e-08,6.054807499822346e-08
1853,9.555090940693844e-09,7.10659904257227e-08
1854,5.195664343204953e-09,1.413220758195166e-07
1855,3.237231638308913e-08,1.427566047595974e-07
1856,4.141751475117417e-08,8.645906035553708e-08
1857,1.9037885934380938e-08,1.0055908461481522e-07
1858,1.4191660291373864e-08,9.54266852204455e-08
1859,1.5785737161877478e-08,7.281808223069675e-08
1860,1.6477862629926676e-08,8.37624654081992e-08
1861,7.545541969022906e-09,8.630213699234446e-08
1862,1.490935552794781e-08,9.126332400910542e-08
1863,2.6970951694238465e-08,8.740586565636477e-08
1864,7.1920918109924514e-09,7.192092255081661e-08
1865,1.3649848362717876e-08,1.1955384593420604e-07
1866,3.3572728597164314e-08,1.1190909532388105e-07
1867,1.261730986357179e-08,6.066014179850754e-08
1868,2.4699371437009177e-09,8.990571132017067e-08
1869,1.5627261262807224e-08,9.815873625029781e-08
1870,1.0894693147633916e-08,5.9060702994884196e-08
1871,2.442870794538976e-08,5.735435593123839e-08
1872,2.0560953828407946e-08,5.019291648977742e-08
1873,1.496501056408306e-08,6.824045328812645e-08
1874,1.4339061493728877e-08,6.392831863877291e-08
1875,1.7736734747586524e-08,8.58229043387837e-08
1876,2.418405919968336e-08,7.678438862512849e-08
1877,1.2988113695655557e-08,5.566334237983028e-08
1878,8.4547240319921e-09,6.461824852976861e-08
1879,2.016077260691418e-08,7.514469757552433e-08
1880,1.0268554007097919e-08,7.187988160239911e-08
1881,1.8128519130300447e-08,6.554157039317943e-08
1882,1.7969540522244642e-08,6.788492612486152e-08
1883,1.579834751908038e-08,4.613117354779206e-08
1884,1.650424152899177e-08,7.922036360241691e-08
1885,2.513797880965285e-08,4.963139588198828e-08
1886,2.1296431285122708e-08,6.711602651421344e-08
1887,2.546280519766242e-08,3.7867764035581786e-08
1888,1.9021843655764314e-08,6.404020780337305e-08
1889,1.0024218788373673e-08,5.5133202891965993e-08
1890,1.3108772733971819e-08,5.571228456346944e-08
1891,1.7210394887001712e-08,5.991766727220238e-08
1892,3.322311670217459e-08,6.519253048509199e-08
