year,devrait_VERB être_VERB,devrait_VERB etre_VERB,devrait_VERB mettre_VERB
1800,4.074837306689005e-06,1.2576657937302116e-08,9.118077315406481e-08
1801,3.66463996215316e-06,2.3811825844433088e-09,2.1430643926123594e-08
1802,4.475680270843441e-06,6.713520406265161e-09,7.161088433349505e-08
1803,3.976741481892532e-06,5.851017448321727e-09,3.900678446910888e-09
1804,4.125519353692653e-06,0.0,2.4718509905596875e-08
1805,3.30910961565678e-06,0.0,3.4114531644036106e-08
1806,3.161190988976159e-06,5.76333825108577e-09,2.881669125542885e-08
1807,3.561540779628558e-06,0.0,4.555128185756985e-08
1808,4.1061261981667485e-06,6.798221985349073e-09,5.4385775882792586e-08
1809,3.6551114135363605e-06,2.259030518203531e-09,4.743964154840796e-08
1810,4.656852070183959e-06,4.680253518074551e-09,1.8721014072298203e-08
1811,4.442540102900239e-06,1.0028307073639553e-08,3.259199843341776e-08
1812,7.332155291805975e-06,5.3344164641089264e-09,6.13457871168066e-08
1813,6.294998456723988e-06,8.627225156487839e-09,5.7514832008109806e-08
1814,4.7672160690126475e-06,6.293354282149721e-09,1.2901375612273114e-07
1815,4.064715994900325e-06,1.6183340889597275e-08,9.170560133497929e-08
1816,4.767311111208983e-06,2.3176038865813098e-09,1.8540831092650478e-08
1817,4.802954663318815e-06,9.341240669868967e-09,3.580808893843823e-08
1818,5.179751497053076e-06,5.960588467246453e-09,7.629553522292554e-08
1819,5.605093519989168e-06,5.175524897538253e-09,1.449147024601416e-08
1820,5.745750058849808e-06,8.306536791735653e-09,7.001224133773576e-08
1821,6.152582500362769e-06,5.9168927535324656e-09,8.283650032581136e-08
1822,6.239943104446866e-06,1.303330066093622e-08,5.714601059025881e-08
1823,5.25165978615405e-06,2.9648061783404955e-09,4.5460360809101985e-08
1824,5.318774583429331e-06,9.263223965660927e-09,3.9579230559638745e-08
1825,6.062547527108109e-06,5.283265824829186e-09,3.3460683113162304e-08
1826,6.275688974710647e-06,2.642395191543301e-09,4.1397527184017235e-08
1827,8.290937330457382e-06,3.6869092223668076e-09,4.977327350275118e-08
1828,7.3681094363564625e-06,5.503380862137419e-09,5.6868266540277546e-08
1829,7.988485776877496e-06,6.858540846366168e-09,7.973054039212002e-08
1830,8.34946877148468e-06,5.218417697960831e-09,8.036363396968227e-08
1831,9.652515473135281e-06,7.795603274018958e-09,1.340843738262265e-07
1832,9.304560080636293e-06,1.352996914505411e-08,4.329590197471589e-08
1833,9.095465429709293e-06,9.266902467608418e-09,9.614411311531512e-08
1834,7.667384124943055e-06,2.14694217959277e-08,4.1071935186209885e-08
1835,7.994940460775979e-06,2.0420337421001022e-08,5.3697924329298985e-08
1836,7.26311463949969e-06,1.344150035720304e-08,5.443807538085821e-08
1837,7.078958333295304e-06,1.7394727436226276e-08,6.95789097449051e-08
1838,6.790623956476338e-06,1.1361890983607736e-08,6.375283589932224e-08
1839,7.622805242135655e-06,3.076248944466897e-08,7.410963576148788e-08
1840,7.943638593133073e-06,1.146543943120193e-08,7.197748175258312e-08
1841,8.904016794986092e-06,1.8619590314017387e-08,7.897274656443187e-08
1842,8.445706043858081e-06,1.609983613093391e-08,7.177843741601464e-08
1843,9.409709491592366e-06,1.594865928211675e-08,8.505951853976512e-08
1844,9.586869964550715e-06,1.811225303072206e-08,6.641159444598088e-08
