year,pouvaient_VERB être_VERB,pouvaient_VERB etre_VERB,pouvaient_VERB mettre_VERB
1800,3.939638190786354e-06,0.0,5.973912209356058e-08
1801,3.709882548719179e-06,1.4287095950749062e-08,9.048493865293494e-08
1802,3.090457312282524e-06,0.0,7.608656460433849e-08
1803,3.346782023072592e-06,3.900678446910888e-09,7.021220937986072e-08
1804,5.218077149038436e-06,2.4718509461507665e-09,1.5325475999361515e-07
1805,4.207458914606832e-06,1.421438877713399e-08,8.812921237222326e-08
1806,4.008401901955949e-06,1.4408345627714425e-08,8.06867319624871e-08
1807,7.4590225267456844e-06,1.4234775136401367e-08,1.1387820109121094e-07
1808,4.090263701073127e-06,1.3596443970698147e-08,6.798222074166915e-08
1809,5.79441348236287e-06,1.3554183553310395e-08,1.6716825257390155e-07
1810,5.206782134337118e-06,2.3401267590372754e-09,4.680253340438867e-08
1811,5.849009994562948e-06,1.0028307073639553e-08,2.3065106802278024e-07
1812,6.702694463456282e-06,5.3344164641089264e-09,1.2535878113340004e-07
1813,6.415779807866784e-06,5.751483289628823e-09,1.00650957790549e-07
1814,5.308444542606594e-06,6.293354282149721e-09,1.321604372606089e-07
1815,6.281833520915825e-06,2.697223555614414e-09,1.8341120266995858e-07
1816,5.499673989106668e-06,1.622322720606917e-08,5.7940098940889584e-08
1817,6.073363238101592e-06,9.341240669868967e-09,1.4167548556542897e-07
1818,6.61386911815498e-06,1.0729059418679299e-08,1.227881227805483e-07
1819,7.000415280344896e-06,3.1053151161586356e-09,1.2835302243274782e-07
1820,7.060556072246982e-06,1.0679833017945839e-08,2.1596996191419748e-07
1821,7.573622951895231e-06,1.4792232327920374e-08,2.0216050700128108e-07
1822,8.383420208701864e-06,6.015369535816717e-09,1.1328945959121484e-07
1823,8.002999493328389e-06,6.917880934764753e-09,1.3143973376372742e-07
1824,8.00426732894266e-06,5.052667617633233e-09,1.810539203006556e-07
1825,7.0989481173455715e-06,2.641632912414593e-09,1.4528980329941987e-07
1826,7.849675967008807e-06,6.1655889282974385e-09,1.8232528020689642e-07
1827,9.249533832189627e-06,7.373818444733615e-09,1.44711179927981e-07
1828,9.425456482858863e-06,8.255071293206129e-09,1.770254129951354e-07
1829,9.702263014332857e-06,7.715858174606183e-09,2.1175745246182487e-07
1830,9.429681085748598e-06,7.305785310052215e-09,1.8160093873120786e-07
1831,7.702055881964043e-06,1.7150327380477393e-08,9.978371906527173e-08
1832,8.799892384558916e-06,2.705993873419743e-09,1.041807635715486e-07
1833,8.21858429844724e-06,8.108539617524002e-09,1.7491278470060934e-07
1834,8.859403351380024e-06,6.534171426153534e-09,1.5495321292746667e-07
1835,7.98283963376889e-06,1.1344631900556124e-08,1.9134611761728593e-07
1836,7.956024091981817e-06,1.4113575197427508e-08,1.8414854707771156e-07
1837,8.56446786201559e-06,1.6003149028165353e-08,1.9273358020654996e-07
1838,8.98220605449751e-06,1.1361890983607736e-08,1.9757067093451042e-07
1839,8.819745744403917e-06,2.866504900111977e-08,1.8667238066427672e-07
1840,9.589566616341472e-06,1.6561189752906103e-08,2.2676091759876726e-07
1841,9.142218914348632e-06,1.6051371787284552e-08,2.022472784801721e-07
1842,8.934067409427371e-06,1.8112315203211438e-08,2.4753498450991174e-07
1843,8.766446626395918e-06,2.4809025944705354e-08,2.108767205299955e-07
1844,9.74439171841368e-06,1.2074834465636286e-08,1.7673167462817219e-07
1845,1.006059301289497e-05,1.562463758375543e-08,2.0646842813221156e-07
1846,9.479022992309183e-06,1.2879903366069811e-08,1.533879299131513e-07
1847,9.89602631307207e-06,2.3190860787281053e-08,1.9469537448912888e-07
1848,1.0130543159903027e-05,1.367687652020777e-08,1.0700144770225961e-07
1849,9.939662049873732e-06,1.508294644736452e-08,1.566950658116184e-07
1850,9.095896530197933e-06,1.3577992064028876e-08,1.8805519630404888e-07
