year,tout_DET or_NOUN,tout_DET mort_NOUN
1800,9.432493452976587e-09,3.144164395507687e-08
1801,4.286128785224719e-08,9.524730337773235e-08
1802,2.4616241489638924e-08,3.1329761895904085e-08
1803,4.290746380419819e-08,1.7553053011098996e-08
1804,1.9774807569206132e-08,4.2021465418429216e-08
1805,2.842877755426798e-08,1.421438833304478e-08
1806,4.3225035994964855e-08,6.916005812485082e-08
1807,1.9928686256776018e-08,1.4234775580490577e-08
1808,2.4926814390369145e-08,1.8128591960930862e-08
1809,8.35841271751292e-08,2.0331274441787173e-08
1810,1.8721014516387413e-08,4.212228077449254e-08
1811,4.512738271955641e-08,2.0056614147279106e-08
1812,1.8670456736202823e-08,5.067695729721322e-08
1813,5.7514832008109806e-08,2.0130191735745484e-08
1814,2.2026739543434815e-08,2.5173417128598885e-08
1815,2.6972236000233352e-08,2.1577788444915313e-08
1816,3.476405829871965e-08,1.622322720606917e-08
1817,3.89218364205135e-08,6.383181139213434e-08
1818,3.21871784780825e-08,4.17241208250374e-08
1819,3.415846616672269e-08,8.901903270075451e-08
1820,2.0173017922786585e-08,1.7681057151719415e-07
1821,1.6764530097468366e-08,4.536284547995706e-08
1822,2.4061478143266868e-08,4.3110148340019805e-08
1823,6.819054299000982e-08,7.412015445851239e-08
1824,1.7684337549894735e-08,1.768433639526279e-07
1825,7.132408930132783e-08,2.078084486711873e-07
1826,2.6423953580767545e-08,1.7968288545944233e-07
1827,1.4747637222534138e-08,5.6225365141493455e-08
1828,2.5682442839070063e-08,2.935136400594729e-08
1829,9.430493719264632e-09,2.4004892296147773e-08
1830,2.5048406016026092e-08,3.7572609690172953e-08
1831,7.951515157422762e-08,6.236482419375022e-08
1832,1.0823975493678972e-08,2.8412935226818092e-08
1833,4.865124036967927e-08,3.8225974052785716e-08
1834,4.013848342587778e-08,4.293884270367698e-08
1835,2.7227116561334697e-08,1.0437061348511634e-07
1836,2.0834324654384062e-08,1.149248276544057e-07
1837,4.3834712526447106e-08,1.6211886311179313e-07
1838,4.418513199766494e-08,9.657607891178088e-08
1839,1.1466019300687691e-07,6.152498244205162e-08
1840,3.7581163736533085e-08,5.923810419972142e-08
1841,3.467096254539115e-08,6.16372655137809e-08
