year,aient_VERB hérité_VERB,aient_VERB mérité_VERB
1800,0.0,5.65949598296811e-08
1801,0.0,6.667310969987739e-08
1802,0.0,6.489736392722989e-08
1803,9.751696339321825e-09,4.290746247193056e-08
1804,1.2359254952798437e-08,7.415552971679062e-08
1805,3.1271653710973624e-08,4.8328921309348516e-08
1806,1.4408345627714425e-08,8.933174200365102e-08
1807,2.2775640928784924e-08,4.839823830593559e-08
1808,2.2660739951163578e-09,1.0650547466184435e-07
1809,0.0,3.162642769893864e-08
1810,0.0,5.616304221689461e-08
1811,0.0,8.524060746140094e-08
1812,8.00162425207418e-09,5.867858021701977e-08
1813,0.0,2.5881675469463516e-08
1814,0.0,7.237357380063258e-08
1815,0.0,2.1577788444915313e-08
1816,4.6352077731626196e-09,2.5493642752394408e-08
1817,1.556873407970727e-09,3.7364962679475866e-08
1818,0.0,9.536941547594324e-08
1819,0.0,7.24573467891787e-08
1820,8.306536791735653e-09,1.0798498095709874e-07
1821,1.97229765852569e-09,6.114122896860863e-08
1822,5.012807946513931e-09,6.616906489398389e-08
1823,1.087095569118901e-08,5.830785099192326e-08
1824,3.3684450784221553e-09,7.663212642228245e-08
1825,0.0,3.610231757988913e-08
1826,7.0463874735082754e-09,5.813269510213104e-08
1827,1.1060727445055818e-08,7.650336897313537e-08
1828,2.7516904310687096e-09,2.0179061976932644e-08
1829,8.57317605795771e-10,5.572564276690173e-08
1830,1.0436835840010872e-09,6.992679857376061e-08
1831,6.236482441579483e-09,4.365537620287796e-08
1832,0.0,4.464889968858188e-08
1833,9.266902800675325e-09,6.486831694019202e-08
1834,8.401078055442213e-09,5.414027981487379e-08
1835,2.2689263801112247e-09,3.100866052818674e-08
1836,2.688300027031687e-09,7.325617445985699e-08
1837,2.7831563720326358e-09,3.75726116885744e-08
1838,0.0,4.481634974240478e-08
1839,6.292327547896548e-09,4.894032556990169e-08
1840,4.458782232319436e-09,3.758116307039927e-08
1841,7.0626033910059505e-09,4.494383887276854e-08
1842,6.708265054555795e-09,4.293289634915709e-08
1843,8.269675610961258e-09,4.4892523476391943e-08
1844,5.488561161115513e-09,6.366730787021879e-08
1845,1.674068439427856e-09,4.798996044996784e-08
1846,8.781752214304106e-09,4.2152407786488766e-08
1847,4.853901280910122e-09,3.182001862001016e-08
1848,1.287235473768078e-08,2.333114323960217e-08
1849,5.865590679832167e-09,2.262441967104678e-08
1850,0.0,8.350465208195601e-08
1851,8.384270167027807e-09,5.611011744122152e-08
1852,1.1067927019325907e-08,4.427170807730363e-08
1853,1.4929829816878737e-08,3.2248433257109355e-08
1854,9.871762074453727e-09,5.0397943596180994e-08
1855,3.714855978387277e-09,3.02495415382964e-08
1856,2.5885945831305435e-08,5.694908011832922e-08
1857,1.4644527368545823e-08,2.9777204701986193e-08
1858,1.0766087576996597e-08,2.495774786837046e-08
1859,3.5645213447565993e-09,4.8884864156661934e-08
1860,7.781213007262977e-09,5.7214798232507746e-08
1861,6.13075279431996e-09,6.602348889828136e-08
