year,grand_ADJ auteur_NOUN,grand_ADJ moteur_NOUN
1800,1.2262241444460642e-07,1.2576658381391326e-08
1801,1.6430159632818686e-07,7.381666233818862e-08
1802,5.818384352096473e-08,1.7902721083373763e-08
1803,1.2872239096850535e-07,7.216254971353919e-08
1804,1.5819846588271957e-07,5.438072037122765e-08
1805,2.89973523415199e-07,6.538618890772341e-08
1806,2.6799522601095305e-07,9.509508203109363e-08
1807,1.7366425453246848e-07,1.4519470425966574e-07
1808,1.7901984961099515e-07,2.2660739062985158e-08
1809,1.355418288717658e-07,8.132509776714869e-08
1810,1.8018976177813784e-07,5.148278781064164e-08
1811,1.078042970448223e-07,2.5070768572277302e-08
1812,1.280259893654545e-07,1.8670456736202823e-08
1813,3.795978877896289e-07,3.738463982827511e-08
1814,1.9194729983240677e-07,1.2901375612273114e-07
1815,3.155751675532059e-07,1.8880564667256294e-08
1816,9.03865480239574e-08,5.3304889391370125e-08
1817,1.7748356206936933e-07,8.095742032310227e-08
1818,1.8000978219134822e-07,5.722165141719415e-08
1819,1.449146935783574e-07,5.589566853814176e-08
1820,1.9461028788470003e-07,6.645229433388522e-08
1821,1.942713154789999e-07,3.944595405869222e-08
1822,1.5639960793123464e-07,5.1130641054442094e-08
1823,1.037682095805792e-07,5.633131616722409e-08
1824,1.6421169224400955e-07,1.0610602174665473e-07
1825,9.774041687116153e-08,2.289415235168235e-08
1826,1.1362299801032094e-07,4.492072036565986e-08
1827,1.1613763878370875e-07,5.1616728113934585e-08
1828,1.2749498046193963e-07,2.4765213879618386e-08
1829,1.0887933532544025e-07,4.715246826325625e-08
1830,1.4298465522699644e-07,3.861629238599562e-08
1831,8.886987501455224e-08,2.494592976631793e-08
1832,1.5965364452696917e-07,3.111892965534935e-08
1833,1.0425265895008806e-07,1.6217079235048004e-08
1834,5.6007184889850237e-08,2.5203233278148218e-08
1835,9.000074641107858e-08,5.142899794918776e-08
1836,2.5068396691807493e-07,2.8899226123257904e-08
1837,1.071515169925874e-07,5.148839377078218e-08
1838,1.0288824014992315e-07,5.428459104450667e-08
1839,8.73934373757379e-08,4.1249702320556025e-08
1840,1.1274349098755465e-07,2.229391071750797e-08
1841,1.418941266706497e-07,4.4301785351308354e-08
1842,6.641182137556711e-08,3.890793820460203e-08
1843,1.2758927958600452e-07,2.8943864194275193e-08
1844,9.440325166032437e-08,2.4698525891153622e-08
1845,1.0602433242468123e-07,4.910600637231255e-08
1846,9.484291996209038e-08,5.854501416990843e-08
1847,6.471868285728988e-08,4.422443566909351e-08
1848,8.125673844894266e-08,6.757986070748956e-08
1849,6.787325745882811e-08,1.1731181359664333e-08
1850,7.128445922433002e-08,2.0366988096043315e-08
1851,3.0312361731787973e-08,4.51460699935069e-08
1852,9.049657823112511e-08,3.711010876372711e-08
1853,1.2123021697618697e-07,5.852493245583901e-08
1854,7.221973352677935e-08,4.1565314745639625e-08
1855,8.384960636931282e-08,5.519214596461097e-08
1856,1.1182728498759786e-07,3.2616291889553395e-08
1857,7.517523759048572e-08,4.7838788264087384e-08
1858,9.640541853705997e-08,3.6213201326518174e-08
1859,8.300242893000132e-08,5.499547106602165e-08
1860,7.460810058645961e-08,4.119465657481669e-08
1861,7.781340194412678e-08,3.819930682880113e-08
1862,1.3779857965801057e-07,6.596260249125407e-08
1863,8.1412317165519e-08,4.4452125980143364e-08
1864,1.1459399607005594e-07,4.123466212924143e-08
1865,1.091987908985459e-07,7.107335087130906e-08
1866,1.0509723757934353e-07,3.405929049904444e-08
1867,9.99679166113765e-08,8.589476152565112e-08
1868,7.706203453139437e-08,5.8784501488773344e-08
1869,1.2843655161631773e-07,4.0044857652077326e-08
1870,1.0837352348858076e-07,5.3326655535812506e-08
1871,6.054071377548098e-08,5.3105885911008954e-08
1872,1.058284369026552e-07,5.744972497723211e-08
1873,2.0771435804700644e-07,6.584605216630735e-08
1874,7.946230162758638e-08,4.719941060216115e-08
1875,1.567698433291298e-07,4.462791147741285e-08
1876,1.6021938753496556e-07,6.650616057868319e-08
1877,1.039049070117315e-07,6.308512334740612e-08
1878,8.696287667753211e-08,6.824170550867592e-08
1879,1.1913184572165392e-07,4.276527654223372e-08
1880,1.2001372295955548e-07,7.701415305483295e-08
1881,1.052848662697059e-07,6.763332521808607e-08
1882,9.849969728747965e-08,3.9266770501811266e-08
1883,8.278334312494806e-08,6.19295192905156e-08
1884,7.591951778351813e-08,7.12983307948889e-08
1885,1.02485609387859e-07,5.5432465728699754e-08
1886,1.1358096685398777e-07,6.582533274013258e-08
1887,1.2927270948148717e-07,6.398345991920351e-08
1888,1.0398608352168992e-07,7.355112785489837e-08
1889,1.0024218938253782e-07,8.457934796979316e-08
1890,1.0355930379901679e-07,8.061895329092295e-08
1891,6.501704186145929e-08,6.565446852846435e-08
1892,6.76999325488481e-08,1.0907211844823905e-07
1893,7.944357349742859e-08,9.422377189594044e-08
1894,9.074216222870746e-08,4.7261544011689693e-08
1895,8.60661870660806e-08,1.053257534522345e-07
1896,6.13290986328785e-08,6.840553801179539e-08
1897,7.166857773910351e-08,1.404238034741212e-07
1898,8.883617064192606e-08,6.959776754911218e-08
1899,1.0944605222107384e-07,9.231055742020544e-08
1900,8.098042680870776e-08,7.267474444461186e-08
1901,6.985923317603948e-08,6.762373772062347e-08
1902,5.695929133908706e-08,9.525950872557587e-08
1903,1.150246953240952e-07,1.0206416356517423e-07
1904,7.148251235378211e-08,5.320879026271541e-08
1905,9.702226755337051e-08,9.702227288244103e-08
1906,7.150416569956519e-08,7.819160430244665e-08
1907,9.977115789094881e-08,5.708556116701402e-08
1908,9.871892103774371e-08,5.107844791574223e-08
1909,1.0121809823626648e-07,5.170924666231258e-08
1910,1.5230829708556826e-07,5.02350161468712e-08
1911,1.0161914487660795e-07,6.171634225893285e-08
1912,1.3023553613322747e-07,8.230885190085857e-08
1913,1.1560517410025284e-07,6.257528184505645e-08
1914,8.504864723590799e-08,4.3528835647066444e-08
1915,4.358881955379701e-08,5.5369582696584985e-08
1916,8.789969907496697e-08,3.84561182897869e-08
1917,7.347504582533304e-08,3.728584374584898e-08
1918,1.206069555337308e-07,5.2837331843136326e-08
1919,1.1141496220057334e-07,5.616787668305534e-08
1920,1.1509791875141673e-07,5.3005621225565847e-08
1921,1.1813485656375633e-07,8.557204644876748e-08
1922,1.999420504716909e-07,5.016996240669869e-08
1923,1.5393125485374526e-07,7.431163862037238e-08
1924,1.5341032622018247e-07,7.34822620529485e-08
1925,1.759708538884297e-07,3.299453288363452e-08
1926,1.4044134322155344e-07,5.9074533709235766e-08
1927,1.8284729308426506e-07,6.801027296887696e-08
1928,1.359698962311029e-07,5.598760022262894e-08
1929,1.5262356956036172e-07,6.015819309368453e-08
1930,1.8801449641614454e-07,3.676261073337628e-08
1931,9.580499416017574e-08,3.079446386777818e-08
1932,1.3041848490047414e-07,3.835837958376942e-08
1933,1.571480652273749e-07,5.047091278242988e-08
1934,1.8331817841499287e-07,5.990790441501304e-08
1935,1.639654900742471e-07,6.941604802079837e-08
1936,1.5883376569547636e-07,5.092379984361628e-08
1937,1.1080184236789137e-07,5.666003133342201e-08
1938,1.4002431214521494e-07,2.9819993585533666e-08
1939,1.1317597170545923e-07,4.282334131744392e-08
1940,8.621661606866837e-08,4.81798743123818e-08
1941,1.5347813375754527e-07,9.444808490854939e-08
1942,1.517105943094066e-07,4.5513175450651033e-08
1943,1.2483911882021914e-07,4.935499831049128e-08
1944,1.5101974781828176e-07,8.675602458652065e-08
1945,1.5903079031431844e-07,6.099811145077183e-08
1946,1.406031513440098e-07,5.150808579656996e-08
1947,1.776209757053948e-07,5.602809483029603e-08
1948,1.565551803750509e-07,4.4574739899161386e-08
1949,1.6787083723102114e-07,4.908504180889395e-08
1950,2.297238097526133e-07,7.019338754687965e-08
1951,2.1002961148042232e-07,4.264560538036477e-08
1952,1.3602797599432392e-07,3.268889159357968e-08
1953,1.6376218070490722e-07,3.986316254867006e-08
