year,petit_ADJ arc_NOUN
1800,3.4900224932243873e-07
1801,2.45261816189668e-07
1802,2.9315705774024536e-07
1803,1.911332390136522e-07
1804,2.125791809248767e-07
1805,4.3211741740378784e-07
1806,3.7749865100522584e-07
1807,1.9359295322374237e-07
1808,3.5350754501450865e-07
1809,2.0331275152329908e-07
1810,5.686508188773587e-07
1811,5.766276558460959e-07
1812,2.8539128038573836e-07
1813,4.6299439304675616e-07
1814,7.111490276656696e-07
1815,2.9939181445115537e-07
1816,1.321034233114915e-07
1817,1.6191484064620454e-07
1818,2.0146789836417156e-07
1819,3.074261769597797e-07
1820,1.6494408328071586e-07
1821,2.2780038477776543e-07
1822,2.5765831423996133e-07
1823,1.5515819029587874e-07
1824,1.903171522599223e-07
1825,2.624022101826995e-07
1826,2.052260299478803e-07
1827,2.51631547598663e-07
1828,2.1921799486790405e-07
1829,1.1745251526917855e-07
1830,3.0058086508688575e-07
1831,2.9311468097148463e-07
1832,3.111892965534935e-07
1833,2.1429713115139748e-07
1834,2.2869600968533632e-07
1835,1.6790055212823063e-07
1836,1.7742780755725107e-07
1837,2.2473987826288067e-07
1838,1.6474741926231218e-07
1839,2.530914002818463e-07
1840,2.2548698552782298e-07
1841,1.8940617962925899e-07
1842,1.6234001520842867e-07
1843,1.1813822453632383e-07
1844,2.4808298348943936e-07
1845,2.7956943426943326e-07
1846,1.4226438338482694e-07
1847,2.2867268967274867e-07
1848,2.8801892426599807e-07
1849,1.893747736403384e-07
1850,1.8873409146635822e-07
1851,1.3479326810283965e-07
1852,2.0768639785728737e-07
1853,2.6515377271607576e-07
1854,2.5926365765371884e-07
1855,1.6822990289711015e-07
1856,1.5117392138108698e-07
1857,2.2503756724745472e-07
1858,1.6785308787348185e-07
1859,2.3525841186256002e-07
1860,1.3868867654309724e-07
1861,2.0891719998417102e-07
1862,1.341841908697461e-07
1863,9.939295608774046e-08
1864,1.6206180930566916e-07
1865,1.1296426549733951e-07
1866,1.435355869716659e-07
1867,2.838894772594358e-07
1868,2.050047669399646e-07
1869,1.8703877913139877e-07
1870,2.1273321237913478e-07
1871,1.317025919433945e-07
1872,1.5420715726577328e-07
1873,1.735941310698763e-07
1874,2.395818228251301e-07
1875,1.9109900506464328e-07
1876,1.6747461017985188e-07
1877,1.3359202455376362e-07
1878,1.974782009028786e-07
1879,1.5456592450391327e-07
1880,1.0268554007097919e-07
1881,1.624594290206005e-07
1882,1.5640155481833062e-07
1883,1.7567762711223622e-07
1884,1.861678526893229e-07
1885,1.8627886788635806e-07
1886,1.3229600881459191e-07
1887,1.416776598262004e-07
1888,1.356891488057954e-07
1889,1.165315453022231e-07
1890,1.402638645231491e-07
1891,1.8230269915875397e-07
1892,1.253702492931552e-07
1893,1.1762575269358422e-07
1894,1.4493539879367745e-07
1895,1.1435367497369953e-07
1896,1.279655350572284e-07
1897,1.1012488698725065e-07
1898,9.619203211741478e-08
1899,1.4205876652795268e-07
1900,1.2769990576089185e-07
1901,1.0003842731975965e-07
1902,1.4190720776241506e-07
1903,1.2474508537252404e-07
1904,1.1877921934910773e-07
1905,1.486298657482621e-07
1906,1.5123902130653732e-07
1907,8.948547502996007e-08
1908,1.1787334130985982e-07
1909,1.6612970910045988e-07
1910,1.3039728230523906e-07
1911,1.1225989737795317e-07
1912,1.2763082679612126e-07
1913,1.5272610198735492e-07
1914,1.6139152592131722e-07
1915,1.1780761610680202e-07
1916,9.55909200683891e-08
1917,1.4037023277069238e-07
1918,1.0912057746281789e-07
1919,9.115770183143468e-08
1920,1.332712713519868e-07
1921,1.3025125156218564e-07
1922,1.5198547487216274e-07
1923,1.040362889170865e-07
1924,1.2633792323413218e-07
1925,1.6497267552040284e-07
1926,1.1480522488227507e-07
1927,1.2933101345424802e-07
1928,1.0740478728621383e-07
1929,1.0583386256257654e-07
1930,1.3549649224842142e-07
1931,1.3344266847070685e-07
1932,1.4576183104964002e-07
1933,1.5485393589642626e-07
1934,1.317973783443449e-07
1935,1.2447014796634903e-07
1936,1.3700928036541882e-07
1937,1.397614113329837e-07
1938,1.1279736611413682e-07
1939,8.564668263488784e-08
1940,1.8764794162962062e-07
1941,1.4462362685208063e-07
1942,2.5183956608998415e-07
1943,1.3935529352693266e-07
1944,1.381670102773569e-07
1945,6.535512397931598e-08
1946,1.2111360092603718e-07
1947,8.940653373201712e-08
1948,1.2067795296388795e-07
1949,1.0209688383611137e-07
1950,9.678178969352302e-08
1951,1.140769967378219e-07
1952,1.2231971879828052e-07
1953,1.1527995269489111e-07
1954,1.1042966008290023e-07
1955,1.088730527953885e-07
1956,1.1163061230945459e-07
1957,1.298750476053101e-07
1958,9.264912392836777e-08
1959,8.21579249077331e-08
1960,8.789458405544792e-08
1961,7.295567172604933e-08
1962,8.117704197729836e-08
1963,9.052474325699222e-08
1964,5.962289151284494e-08
1965,8.37222629002099e-08
1966,1.2352136025128857e-07
1967,9.564850955712245e-08
1968,1.0330256117185854e-07
1969,7.630153220361535e-08
1970,7.357959930232028e-08
1971,5.7550053611521435e-08
1972,7.900425913476283e-08
1973,6.726108381371887e-08
1974,7.875800633883046e-08
1975,6.453972645203976e-08
1976,5.770662170334617e-08
1977,6.28815683967332e-08
1978,5.0495025050167897e-08
1979,6.320131262782525e-08
1980,5.855705254020904e-08
1981,5.4399727389409236e-08
1982,6.269577568218665e-08
1983,6.252162876307921e-08
1984,8.060622036509812e-08
1985,5.353846788125338e-08
1986,5.8146508052914214e-08
1987,4.21646362269712e-08
1988,6.056519197272792e-08
1989,3.347754429228189e-08
1990,4.631353434092489e-08
1991,2.7548885839223658e-08
1992,6.06093877308922e-08
1993,6.370088811991081e-08
1994,5.802419167366679e-08
1995,5.585124185358836e-08
1996,3.3629980578098184e-08
1997,4.7469455921600456e-08
1998,4.243635132183954e-08
1999,4.433094957789763e-08
2000,4.5063920595111995e-08
2001,4.600272518473503e-08
2002,4.468845915539532e-08
2003,4.291930721933568e-08
2004,3.3916894182084434e-08
2005,4.638862094452634e-08
2006,3.664921877089e-08
2007,4.593651325990322e-08
2008,5.5346717431348225e-08
2009,4.482101090275137e-08
2010,4.771030859274106e-08
2011,4.7799648683621854e-08
2012,5.991484641754141e-08
2013,4.518382468177151e-08
2014,5.0238327276019845e-08
2015,4.9429630166741845e-08
2016,6.814708797264757e-08
2017,5.534344893476373e-08
2018,6.092261628509732e-08
2019,5.612173126223752e-08
