year,puissent_VERB être_VERB,puissent_VERB etre_VERB,puissent_VERB mettre_VERB
1800,6.407807177311042e-06,6.288328968651058e-09,1.3834323908668011e-07
1801,6.703029157506535e-06,3.095537337571841e-08,8.572257570449437e-08
1802,6.756039510946721e-06,4.475680270843441e-09,1.208433673127729e-07
1803,6.486828169727232e-06,1.1702034896643454e-08,1.326230716358623e-07
1804,7.383418960671406e-06,1.2359254952798437e-08,1.087614407424553e-07
1805,6.23443065705942e-06,1.9900143755080535e-08,9.097208675257207e-08
1806,6.881426088511944e-06,1.4408345627714425e-08,1.0374009207225754e-07
1807,8.942285603552591e-06,4.27043254092041e-08,1.0818429529990681e-07
1808,7.47351214158698e-06,3.852325747288887e-08,1.654234011994049e-07
1809,7.671667844988406e-06,3.388545621874073e-08,1.1521055398588942e-07
1810,7.549248948635068e-06,2.3401266702194334e-08,9.360506680877734e-08
1811,6.2626777435070835e-06,2.0056614147279106e-08,1.5543875520052097e-07
1812,8.24167364044115e-06,2.6672082320544632e-09,1.2802598803318688e-07
1813,6.579696673725266e-06,2.300593315851529e-08,5.7514832008109806e-08
1814,6.03847365709953e-06,3.1466771410748606e-09,9.44003133440674e-08
1815,7.231256404338637e-06,8.091670444798638e-09,8.90083740046066e-08
1816,7.576247298857197e-06,6.952811659743929e-09,9.965696534663948e-08
1817,6.688328085147077e-06,9.341240669868967e-09,9.185553295765203e-08
1818,6.6210218392370734e-06,7.152706427149269e-09,1.513989502655022e-07
1819,6.924852641532198e-06,1.449147024601416e-08,1.438795891317568e-07
1820,6.589456916117342e-06,1.542642635854463e-08,1.1985146386450651e-07
1821,6.174278041726211e-06,1.2819934447350079e-08,1.0453177878844144e-07
1822,6.7652854340849444e-06,1.0025615893027862e-08,1.8246620925310708e-07
1823,5.652897016261704e-06,4.941343334508019e-09,8.30145694408202e-08
1824,6.4093087530636694e-06,8.421112696055388e-09,1.0694812857536817e-07
1825,5.878513547941111e-06,1.7610886970942374e-08,1.5673688835704525e-07
1826,7.658542017452419e-06,7.927186018719112e-09,9.512623222462935e-08
1827,8.630132469988894e-06,1.8434546333878643e-08,1.4194600339578756e-07
1828,6.602222583751427e-06,1.2841221419535032e-08,9.080578422526742e-08
1829,8.924675967136864e-06,1.5431716349212365e-08,1.285976338749606e-07
1830,9.493345714872703e-06,1.2524203008013046e-08,1.6907674194044375e-07
1831,7.044106951070717e-06,1.091384405071949e-08,1.3564348932959547e-07
1832,6.5444460233266e-06,1.0823975493678972e-08,1.0959275442701255e-07
1833,6.089513590268325e-06,4.6334514003376626e-09,7.18184978154568e-08
1834,6.99623114996939e-06,1.4001796166951408e-08,1.1481473194407954e-07
1835,7.219723556772806e-06,1.285724948729694e-08,1.6411900105595123e-07
1836,6.237527941266308e-06,1.2769425516978572e-08,1.2030142215735395e-07
1837,6.2231374613475055e-06,1.3219993100221927e-08,1.1202204319715747e-07
1838,5.74722344026668e-06,1.009945904684173e-08,1.7169080024359573e-07
1839,6.588067208213033e-06,1.2584655095793096e-08,1.4192694663961447e-07
1840,5.936549769103294e-06,1.9109066329292546e-08,1.044628916702095e-07
1841,6.016696261212928e-06,1.3483152372373297e-08,1.110754865862873e-07
1842,6.488905000878731e-06,1.0733224087289273e-08,1.4221521382751234e-07
1843,6.712023150612367e-06,1.594865928211675e-08,9.273850309909903e-08
1844,6.793192369514145e-06,1.4819115712327857e-08,8.836583731408609e-08
