year,petit_ADJ arbre_NOUN,petit_ADJ marbre_NOUN
1800,4.15029720812754e-07,3.144164484325529e-09
1801,1.9287579000604183e-07,2.3811825844433088e-09
1802,3.983355441050662e-07,0.0
1803,1.525165227889147e-06,0.0
1804,7.662737928626484e-07,0.0
1805,7.078765378309981e-07,1.7057266488151868e-08
1806,6.195588753143966e-07,0.0
1807,5.608501751908079e-07,0.0
1808,5.891792227430415e-07,9.064295980465431e-09
1809,7.093355947063174e-07,0.0
1810,1.684891213216133e-07,0.0
1811,3.0837043851761337e-07,5.0141535368197765e-09
1812,3.5473868820190546e-07,0.0
1813,3.307103018101998e-07,0.0
1814,1.1328037530233814e-07,3.1466771410748606e-09
1815,3.371529357920622e-07,0.0
1816,1.3349398386708344e-06,2.3176038865813098e-09
1817,1.2719655160253751e-06,0.0
1818,4.0055157235485694e-07,1.1921177378582115e-09
1819,3.5297081879548386e-07,0.0
1820,1.696906748449578e-07,1.4239777357261119e-08
1821,1.9920205662771195e-07,0.0
1822,2.0652768739637395e-07,8.02049271442229e-09
1823,2.0457162008824525e-07,9.882686891060644e-10
1824,1.8694870718150014e-07,0.0
1825,2.6768547556343947e-07,1.7610886082763955e-09
1826,2.994714720649938e-07,8.807984341885344e-10
1827,4.129338435632235e-07,4.147772969531616e-08
1828,3.2194777332961166e-07,0.0
1829,2.6319650903161573e-07,5.143905745796928e-09
1830,3.3815347322274647e-07,2.0873671680021744e-09
1831,1.9021270780683608e-07,3.1182412207897414e-09
1832,2.0294953984034692e-07,0.0
1833,2.9885760177705833e-07,4.749287541017111e-08
1834,5.955430850690391e-07,3.733812370398937e-09
1835,3.1462445804208983e-07,3.025235173481633e-09
1836,2.789111341883199e-07,0.0
1837,2.024746237339059e-07,2.7831563720326358e-09
1838,2.758414687775712e-07,0.0
1839,2.929428077891316e-07,3.4957374772659477e-09
1840,1.598791925516707e-07,6.3696887764308485e-09
1841,1.8940617918516978e-07,8.346713542550788e-09
1842,2.1600614008576713e-07,1.542900918138912e-08
