year,ont_VERB uni_VERB,ont_VERB muni_VERB
1800,1.3834323731032327e-07,6.288328968651058e-09
1801,1.833510598903132e-07,1.1905912700171939e-08
1802,8.727576528144709e-08,5.594600338554301e-08
1803,1.4042441875972145e-07,0.0
1804,1.038177401824214e-07,0.0
1805,9.950072232811635e-08,0.0
1806,7.780506461330106e-08,0.0
1807,1.5373558293063638e-07,6.832692633906845e-08
1808,1.0650548043500407e-07,0.0
1809,7.228897791478062e-08,0.0
1810,1.521082388933337e-07,0.0
1811,1.5543875298007492e-07,0.0
1812,1.8137015844743587e-07,0.0
1813,1.437870835729882e-07,2.8757416448144113e-09
1814,1.1957373313720154e-07,6.293354282149721e-09
1815,1.5643896444927918e-07,5.664169577812572e-08
1816,1.2515060632267705e-07,3.0128852301913867e-08
1817,1.1053801074467628e-07,2.3353100786493997e-08
1818,1.108669511751259e-07,3.457141417584353e-08
1819,1.0454560261941026e-07,6.210630232317271e-09
1820,5.577246042776096e-08,1.542642635854463e-08
1821,9.467028561083168e-08,0.0
1822,9.825103575167304e-08,9.023054303725075e-09
1823,1.344045479356737e-07,3.656594316225892e-08
1824,7.663212286956878e-08,1.2631669044083083e-08
1825,1.1447076220250096e-07,1.4969252504215547e-08
1826,9.688782665051576e-08,7.927186018719112e-09
1827,9.401618772386655e-08,1.013900075008678e-08
1828,9.814362533777654e-08,2.5682442839070063e-08
1829,9.259030131492096e-08,2.5719527840806222e-08
1830,8.766942172222514e-08,1.461157062010443e-08
1831,1.5435293732046773e-07,1.091384405071949e-08
1832,1.352996960024555e-07,2.3000948701223933e-08
1833,1.0541101969074873e-07,3.1275796175123105e-08
1834,1.1854854431447848e-07,3.453776287187793e-08
1835,9.529490796467144e-08,1.663879345414898e-08
1836,8.804182483057588e-08,5.376600054063374e-09
1837,7.723258632630348e-08,3.6181031504156635e-08
1838,8.963269881867575e-08,1.199310784016916e-08
1839,1.153593426339583e-07,9.788065469251706e-09
1840,7.771020160696196e-08,1.7835128929277744e-08
1841,8.089890934925847e-08,5.1364388298225094e-09
1842,1.0599058519744631e-07,1.2074877098200432e-08
1843,1.0100818248481858e-07,1.063243981747064e-08
1844,5.982531731119067e-08,4.8299337862545144e-08
1845,6.473064556589136e-08,3.961961780873935e-08
1846,1.0655192461683782e-07,1.5807152919933287e-08
1847,8.737022128002536e-08,1.88762818709165e-08
1848,1.3113712071799455e-07,1.689496542667257e-08
1849,1.0055298260702727e-07,1.005529792763582e-08
1850,1.1541293165606703e-07,5.4311968256115506e-08
1851,7.029888227094716e-08,6.578427758086036e-08
1852,7.812654323480217e-08,4.036538214791108e-08
1853,6.38996713320239e-08,9.077336216023468e-08
1854,8.157193498448123e-08,5.299577665596189e-08
1855,1.2205955712829564e-07,2.812676669350367e-08
1856,1.2321710690654797e-07,9.836659486950339e-09
1857,5.369660027731982e-08,3.9540225316159194e-08
