year,petit_ADJ archer_NOUN,petit_ADJ marché_NOUN
1800,1.5720821977538435e-08,5.65949598296811e-08
1801,2.1430643926123594e-08,2.1430643926123594e-08
1802,0.0,3.1329761895904085e-08
1803,9.751696339321825e-09,1.1702034896643454e-08
1804,4.943701892301533e-09,4.2021465418429216e-08
1805,0.0,3.695740957709859e-08
1806,0.0,2.0171683878800195e-08
1807,2.2775640928784924e-08,1.4234775580490577e-08
1808,0.0,1.5862518409903714e-08
1809,0.0,4.518061036407062e-09
1810,0.0,4.680253518074551e-09
1811,1.2535384286138651e-08,5.264861258069686e-08
1812,8.00162425207418e-09,4.800974728880192e-08
1813,1.4378708224072057e-08,2.30059336026045e-08
1814,6.293354282149721e-09,4.405347908686963e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,2.3176038865813098e-08
1817,6.227493631882908e-09,7.784367073160325e-08
1818,8.344824387052086e-09,2.5034472272977837e-08
1819,3.1053151161586356e-09,5.175525119582858e-09
1820,1.1866481131050932e-09,5.102587063987585e-08
1821,9.861488514673056e-09,8.875339574387908e-09
1822,8.02049271442229e-09,2.7069162911175226e-08
1823,4.941343334508019e-09,1.8777104315859106e-08
1824,2.105278085196005e-08,2.189489300974401e-08
1825,9.685987789609385e-09,3.3460684445429933e-08
1826,0.0,6.605988089880555e-08
1827,8.295545583791863e-09,1.013900075008678e-08
1828,9.172301140836225e-09,4.402704451011985e-08
1829,8.57317605795771e-10,4.6295149935815516e-08
1830,6.262101504006523e-09,6.992679857376061e-08
1831,4.677361609140007e-09,2.6505050376712802e-08
1832,6.764984572527055e-09,1.2176972319366541e-08
1833,0.0,3.9384337569003947e-08
1834,4.667265685043276e-09,2.8937045204457945e-08
1835,6.050470346963266e-09,7.33619529569296e-08
1836,6.720750067579218e-10,4.57010990717599e-08
1837,2.7831563720326358e-09,5.427155058690403e-08
1838,1.8936485712828244e-09,3.534810688599066e-08
1839,8.38977065598101e-09,3.705481876892236e-08
1840,6.3696887764308485e-09,2.101997254033705e-08
1841,0.0,3.5955070476489936e-08
1842,1.2074876654111222e-08,4.427454936006825e-08
1843,7.088293285661962e-09,4.193906838478867e-08
1844,3.841992946007622e-09,4.116420943001131e-08
1845,7.812318791877715e-09,6.36145992549686e-08
1846,3.5127007969038004e-09,3.33706573485415e-08
1847,5.393223645455691e-10,2.1033572217277197e-08
1848,0.0,2.9767320053331048e-08
1849,0.0,3.60314833525166e-08
1850,6.788996032014438e-10,4.3449574604892405e-08
1851,1.2898877521649865e-09,2.7732586227458e-08
1852,1.9531636308300904e-09,4.29696003223512e-08
1853,0.0,4.299791056538993e-08
1854,1.558699391779328e-09,6.390667239841719e-08
1855,0.0,3.449509122788186e-08
1856,8.801221973442352e-09,3.675804199909649e-08
1857,1.9526036898476207e-09,6.638852334539536e-08
1858,4.404308473482388e-09,3.523446706621414e-08
1859,4.073738679721828e-09,6.416138353948497e-08
1860,5.034902272882391e-09,5.767251787247574e-08
1861,1.2733101906192701e-08,2.2165028867870973e-08
1862,1.9427341513278407e-08,2.7107918160185207e-08
1863,7.991393324857654e-09,4.694943506189375e-08
1864,5.274200631788517e-09,2.5891531030275416e-08
1865,2.8241067262513297e-09,3.6242701340061245e-08
1866,1.216403244796993e-08,5.2548618345582554e-08
1867,3.396968040192405e-09,3.639608614491863e-08
1868,9.87974813071446e-10,7.409811231262609e-08
1869,2.4417595723136287e-09,4.932354236153458e-08
1870,3.4404292748035914e-09,2.5803220005116145e-08
1871,7.434824311758348e-09,6.691341702946829e-08
1872,1.2094678591978436e-09,3.2655632087319475e-08
1873,3.591602570907071e-09,5.806424452359238e-08
1874,8.364453130127458e-09,4.301718514732045e-08
1875,4.0050688876469565e-09,7.49520055465247e-08
1876,6.046014577876235e-09,5.985554740739474e-08
1877,6.80329748092845e-09,5.133397351642088e-08
1878,1.9928993455486932e-08,6.763779425433825e-08
1879,1.4051447783103299e-08,6.659164508704407e-08
1880,1.9253538763308597e-09,4.492492222674116e-08
1881,1.3945015142624584e-09,1.0528486538152748e-07
1882,3.3276925659464496e-09,3.1280309231718206e-08
1883,6.951272890631799e-09,4.739504200212963e-08
1884,3.9610181801208455e-09,3.564916362108761e-08
1885,4.511945039809007e-09,7.412481345392408e-08
1886,1.0325542088018835e-08,5.6145136595464606e-08
1887,6.528924512139156e-09,6.006610525632894e-08
1888,2.53624587998047e-09,3.9945872387647796e-08
1889,1.2530273485467092e-09,5.200063585286685e-08
1890,1.3108772956016423e-09,7.668632295843025e-08
1891,5.736798036615198e-09,7.712806293636021e-08
1892,1.191017329205124e-08,1.184748854576867e-07
1893,1.847525021858587e-09,3.3871290883169536e-08
1894,1.8904617871129403e-09,5.104246647569255e-08
1895,2.4074457982692365e-09,6.199172863929903e-08
1896,1.179405795248556e-09,7.076434704877954e-08
1897,5.826713556089658e-10,6.817254538660222e-08
1898,1.13167097914868e-09,3.847681306901052e-08
1899,7.738609753005221e-09,8.457194944355706e-08
1900,8.305685250675765e-09,7.734669082992696e-08
1901,2.235495566438317e-09,7.433022491953878e-08
1902,9.820567692386817e-10,8.64209961370932e-08
1903,5.400220270956879e-10,7.938324109169059e-08
1904,3.2247751136083025e-09,8.868131740058516e-08
1905,5.160759153355343e-09,7.689531067445188e-08
1906,1.5432553013283723e-09,5.6586029084648715e-08
1907,6.1714118260169926e-09,8.125692563254461e-08
1908,2.9468334439286537e-09,9.331639172494022e-08
1909,2.2003934230241384e-09,6.436150890021253e-08
1910,5.344150677544235e-10,5.023501559175969e-08
1911,7.4485237977484076e-09,7.927357525971956e-08
1912,8.335073964360618e-09,6.095022775376435e-08
1913,3.71209285532359e-09,1.0234769964867496e-07
1914,2.0090231145353243e-09,7.567320237100716e-08
1915,5.890381071793627e-09,5.8903810606913964e-08
1916,0.0,3.7357369420121245e-08
1917,7.676496771580332e-09,4.715562351709224e-08
1918,1.1486376294556067e-09,6.547234487896958e-08
1919,4.603924186330488e-09,6.445493916373835e-08
1920,7.572231730534895e-09,5.754896248433283e-08
1921,1.9689144092893685e-08,7.269837876133778e-08
1922,1.254249004656316e-08,6.492583271011654e-08
1923,1.1677542932631013e-08,6.263409346729532e-08
1924,1.2891624434629989e-08,4.769901007506405e-08
1925,7.698724768800957e-09,7.368779297856065e-08
1926,7.802297141701331e-09,8.471065138238032e-08
1927,5.574612438330462e-09,1.0368779002067896e-07
