year,devait_VERB être_VERB,devait_VERB etre_VERB,devait_VERB mettre_VERB
1800,1.3227499948698096e-05,6.288328791015374e-08,2.3266817095191072e-07
1801,1.2108313057979103e-05,2.1430643926123594e-08,2.0478169915350009e-07
1802,8.953598808147945e-06,8.951360541686881e-09,1.7902721083373763e-07
1803,1.0912148354691453e-05,1.1702034896643454e-08,2.3209037181004533e-07
1804,1.6677578969392926e-05,1.4831105232815389e-08,3.114532205472642e-07
1805,1.281853565160418e-05,3.695740957709859e-08,2.2743022043414385e-07
1806,1.4117296814220026e-05,4.8988376022407465e-08,2.305335300434308e-07
1807,2.4059618226601742e-05,4.27043254092041e-08,3.359407116931834e-07
1808,1.608912498340942e-05,1.8128591960930862e-08,2.0621273222332093e-07
1809,1.8562453988124616e-05,3.162642769893864e-08,3.2530039106859476e-07
1810,1.853848334576469e-05,2.8081521108447305e-08,1.9657065308820165e-07
1811,2.0377519831527025e-05,2.0056614147279106e-08,4.061464267124393e-07
1812,2.282596869918052e-05,3.467370746079723e-08,2.1871107946935808e-07
1813,2.1780866518383846e-05,2.0130190847567064e-08,2.501895153272926e-07
1814,1.907830301206559e-05,2.5173417128598885e-08,3.366944554272777e-07
1815,2.1100380763527937e-05,2.966945977789237e-08,3.749140660147532e-07
1816,1.8564007405075245e-05,3.476405652236281e-08,3.383701709935849e-07
1817,2.0961742848157883e-05,2.1796227045456362e-08,4.063439575929806e-07
1818,2.1930198272457346e-05,2.5034472272977837e-08,3.6240379586161e-07
1819,2.1927664420218207e-05,2.173720581311045e-08,3.9748033486830536e-07
1820,2.5079807528527454e-05,3.559944161679596e-08,4.485529814246547e-07
1821,2.415966082480736e-05,2.5639868894700157e-08,5.325203460415651e-07
1822,2.639243393787183e-05,1.5038423839541792e-08,4.351117297574092e-07
1823,2.571870390966069e-05,1.8777104315859106e-08,4.4867397264169995e-07
1824,2.527260221540928e-05,8.421112696055388e-09,4.6400330688811664e-07
1825,2.534382656449452e-05,1.1447076175841175e-08,5.071935333944566e-07
1826,2.698325988603756e-05,1.9377566218281572e-08,3.954785086079937e-07
1827,3.188254777342081e-05,2.8573547083965423e-08,6.028096777299652e-07
1828,3.119041139143519e-05,2.7516904310687096e-08,5.026420808462717e-07
1829,3.3257922041229904e-05,2.4004892296147773e-08,4.775259299094614e-07
1830,3.169666888425127e-05,3.235419043789989e-08,5.604580906037882e-07
1831,3.0212639103410766e-05,4.2096257146795324e-08,5.11391533564165e-07
