year,quand_CONJ il_PRON,quand_CONJ mille_DET
1860,9.992816194426268e-05,3.707519091733502e-08
1861,0.00010826107609318569,1.2261505866195677e-08
1862,0.00010287002533004852,2.304173077338767e-08
1863,0.00010181135257880669,2.796987619291258e-08
1864,0.00010704757278290344,3.0206785073261244e-08
1865,0.00010882035712711513,2.8241067262513297e-08
1866,0.0001092437114493805,3.259960656976091e-08
1867,0.00010328092866984662,2.4749338578544666e-08
1868,0.00010133657997357659,2.568734436270148e-08
1869,0.00010494487469259184,2.2952539868725808e-08
1870,0.00010400532119092532,2.5229815125982213e-08
1871,9.112120096688159e-05,2.2304471603007414e-08
1872,9.72146081039682e-05,2.1770421021471975e-08
1873,9.650336960476125e-05,2.0352415197599782e-08
1874,9.685438999440521e-05,2.091113165958447e-08
1875,9.405675882590003e-05,3.20405533216217e-08
1876,9.486076578468783e-05,1.1487427897804992e-08
1877,9.378407321491977e-05,2.9068635387652364e-08
1878,9.575156218488701e-05,1.6909448397051108e-08
1879,9.959238468582043e-05,2.199357040932881e-08
1880,9.249528557120357e-05,2.5671385905923216e-08
1881,9.155321004072903e-05,1.045876146799074e-08
1882,9.44226094361511e-05,2.861815540100565e-08
1883,9.097889324038988e-05,1.2006744043446815e-08
1884,9.177216998068616e-05,8.582206056928499e-09
1885,8.96310730240657e-05,9.66845359329227e-09
1886,8.904231071937829e-05,1.2261581472383654e-08
1887,9.893540845951065e-05,1.2404957061562527e-08
1888,9.072785633179592e-05,8.242799109936527e-09
1889,8.848691504681483e-05,2.5060547415023393e-08
1890,8.64012363308575e-05,1.3108773011527575e-08
1891,8.816821173240896e-05,1.0198752398160593e-08
1892,8.931815591495251e-05,1.0029620023388475e-08
1893,8.705168420419795e-05,8.621783287310336e-09
1894,8.703433923074044e-05,1.827446416413636e-08
1895,9.012875489133876e-05,1.2639090440913492e-08
1896,8.734679340705043e-05,2.0049897742069334e-08
1897,8.215898833441315e-05,9.322741689743452e-09
1898,8.556564171158243e-05,9.053367944211743e-09
