year,ait_VERB uni_VERB,ait_VERB muni_VERB
1800,1.2576657937302116e-08,0.0
1801,1.904946067554647e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,4.943701892301533e-09,0.0
1805,6.822906328807221e-08,0.0
1806,2.881669125542885e-09,0.0
1807,1.4234775136401367e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,2.8081521108447305e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,1.2535384286138651e-08
1812,2.1337665856435706e-08,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,4.045835311217161e-08,0.0
1816,3.0128852301913867e-08,0.0
1817,3.113746771532533e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,2.5877625375869684e-08,3.1053151161586356e-09
1820,1.3053129244156025e-08,1.1866481131050932e-09
1821,1.972297702934611e-08,0.0
1822,1.9048670196752937e-08,9.023054303725075e-09
1823,1.680056804787e-08,8.894418535021487e-09
1824,1.0947446504872005e-08,0.0
1825,1.3208164340028361e-08,8.805443041381977e-10
1826,1.2331177856594877e-08,0.0
1827,6.452091305675367e-09,0.0
1828,6.420610709767516e-09,0.0
1829,4.286587973467704e-09,0.0
1830,1.982998831806526e-08,1.0436835840010872e-09
1831,3.4300654760954785e-08,0.0
1832,9.470978667991403e-09,1.3529969367098715e-09
1833,1.6217079235048004e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,3.100866052818674e-08,0.0
1836,6.048674894287842e-09,0.0
1837,1.0436836284100082e-08,0.0
1838,1.5149188570262595e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,6.3696887764308485e-09,0.0
1841,2.8250413564023802e-08,0.0
1842,2.2137275124123335e-08,0.0
1843,5.31621990873532e-09,0.0
1844,1.866110821424627e-08,4.9397050894128824e-09
1845,6.138250796539069e-09,2.2320911785556063e-09
1846,1.7563504428608212e-08,5.854501328173001e-10
1847,5.3932236454556914e-09,1.6179670936367074e-09
1848,8.04522137798358e-09,0.0
1849,1.9272654583346593e-08,0.0
1850,1.5614691761811628e-08,0.0
1851,1.483370937194195e-08,0.0
1852,9.114764054629632e-09,3.906327261660181e-09
1853,2.6276499198729653e-08,1.1943863675867306e-09
1854,8.832629738719788e-09,5.195664454227256e-10
1855,1.6451505047143655e-08,0.0
1856,1.1389816201301528e-08,0.0
1857,5.857811125054013e-09,4.881509085841174e-10
1858,3.9149408159744326e-09,0.0
1859,2.0877910955618972e-08,0.0
1860,9.612086238064421e-09,0.0
1861,8.488735048217677e-09,0.0
1862,2.2589931703009825e-08,1.3553959066214816e-09
1863,6.99246927027275e-09,1.4983863039219614e-09
1864,1.4384183621984903e-08,0.0
1865,9.413688495385486e-09,4.706844358715045e-10
1866,3.4059290943133647e-09,0.0
1867,9.7056229719783e-09,9.7056229719783e-10
1868,5.9278488784286765e-09,9.87974813071446e-10
1869,2.0510780629479086e-08,2.441759683335931e-09
1870,9.747882501187632e-09,0.0
1871,1.4869648623516696e-08,0.0
1872,5.442605477412599e-09,3.628403577593531e-09
1873,8.380406590902112e-09,5.986004469882289e-10
1874,1.0156835372754358e-08,0.0
1875,1.2587359599081083e-08,0.0
1876,7.255217759905008e-09,0.0
1877,1.4843558382438005e-08,0.0
1878,6.039088784604019e-09,0.0
1879,1.0996785704264767e-08,0.0
1880,2.1178893305773272e-08,6.417846254436199e-10
1881,8.367009307619355e-09,0.0
1882,5.324308105514319e-09,3.3276925659464496e-09
1883,1.1374810426900694e-08,0.0
1884,2.6406787867472303e-09,0.0
1885,7.7347630522695e-09,1.933690763067375e-09
1886,1.0325542199041138e-08,0.0
1887,8.48760173255414e-09,0.0
1888,1.521747527988282e-08,0.0
1889,1.3783300722991498e-08,1.2530273485467092e-09
1890,3.2771931834929546e-09,0.0
1891,8.92390783491237e-09,6.374220040683554e-10
1892,4.387958441043338e-09,0.0
1893,1.9091091374434654e-08,6.158416554491453e-10
1894,7.561847148451761e-09,6.301539290376468e-10
1895,6.6204757231957956e-09,6.018614495673091e-09
1896,1.592197840238896e-08,4.1279202278587945e-09
1897,1.1070755867592652e-08,1.7480140668268973e-09
1898,3.1120951149432585e-08,0.0
1899,8.291367592505594e-09,1.6582735185011188e-09
1900,9.34389543516545e-09,5.710158568206225e-09
1901,3.353243460679778e-09,5.588738916095792e-10
1902,7.365425602756659e-09,9.820567692386817e-10
1903,1.0800440541913758e-09,1.6200660812870638e-09
1904,7.524475265086039e-09,8.061937784020756e-09
1905,7.2250627702885595e-09,3.096455536422127e-09
1906,5.658602919567102e-09,4.629765903985117e-09
1907,1.0285686968813934e-08,2.5714217422034835e-09
1908,1.080505640516094e-08,9.822778146428846e-10
1909,1.1552065082298668e-08,1.1001967115120692e-09
1910,5.878565634276356e-09,2.67207544979442e-09
1911,1.0640748282497725e-09,1.5961122423746588e-09
1912,4.167536982180309e-09,3.125652625612929e-09
1913,4.772690687104841e-09,0.0
1914,1.2723813114234872e-08,2.0090231700464756e-09
1915,7.068456930880984e-09,0.0
1916,1.0987461607214755e-08,0.0
1917,2.1932848870420685e-09,0.0
1918,8.040463406189247e-09,0.0
1919,3.6831393490643904e-09,6.4454939163738345e-09
