year,petit_ADJ être_NOUN,petit_ADJ etre_NOUN,petit_ADJ maître_NOUN
1800,1.3519907193781933e-07,3.144164484325529e-09,2.7039814298746023e-07
1801,1.0953440221506128e-07,0.0,1.7858869227893592e-07
1802,1.969299319171114e-07,0.0,1.9021641151084623e-07
1803,7.216254971353919e-08,0.0,8.581492494386112e-08
1804,8.404293083685843e-08,0.0,1.878606652461201e-07
1805,7.960057502032214e-08,0.0,1.7341553948391208e-07
1806,6.051504897186533e-08,2.0171682990621775e-08,1.1814843414725829e-07
1807,1.0818429263537155e-07,0.0,2.021338083579849e-07
1808,6.798222074166915e-08,0.0,2.991217624703779e-07
1809,8.358412628695078e-08,0.0,1.8072244190037168e-07
1810,1.310471020588011e-07,0.0,1.2636684409983445e-07
1811,7.019814773912003e-08,0.0,1.3036798929277893e-07
1812,1.787029546562735e-07,0.0,1.4936365744233626e-07
1813,2.444380360344667e-07,0.0,2.0992914473438873e-07
1814,7.866692897096073e-08,0.0,8.81069599500961e-08
1815,5.1247248222807684e-08,0.0,8.631115333557204e-08
1816,5.0987285504788815e-08,0.0,9.270415546325239e-08
1817,1.214361304846534e-07,0.0,1.1053801207694391e-07
1818,1.8120189060333303e-07,2.384235475716423e-09,8.821671571013212e-08
1819,1.583710655950199e-07,0.0,6.107119432385844e-08
1820,1.3765118378472607e-07,1.1866481131050932e-09,9.611849449697729e-08
1821,1.065040748926549e-07,0.0,1.2622704781417582e-07
1822,1.2632276025215106e-07,0.0,2.0151487944986002e-07
1823,7.807322788266902e-08,0.0,1.6701740301883206e-07
1824,1.229482506914792e-07,0.0,8.42111278487323e-08
1825,1.0654586324321258e-07,0.0,1.171123926724249e-07
1826,1.497357402513444e-07,0.0,1.0217262114142756e-07
1827,1.318069990929871e-07,0.0,1.3272872934066982e-07
1828,7.06267186956211e-08,0.0,1.51342963050638e-07
1829,1.23453735956236e-07,0.0,1.2088178247271486e-07
1830,1.1167414015744725e-07,0.0,1.3046044888831432e-07
1831,1.2784788339104125e-07,0.0,1.153749238369528e-07
1832,2.4353946059818554e-07,0.0,1.0012177675822187e-07
1833,1.5058717162119706e-07,0.0,1.12361200010902e-07
1834,9.241185949804276e-08,0.0,1.0454674814752707e-07
1835,1.2403464211274695e-07,0.0,8.016873209726327e-08
1836,1.686908330245096e-07,1.3441500135158435e-09,8.535352202798663e-08
1837,1.426367646217841e-07,0.0,9.671468692573626e-08
1838,1.1740620919908906e-07,0.0,7.385229539025318e-08
1839,1.50316722624666e-07,0.0,6.362242555013609e-08
1840,1.3185255909320404e-07,6.369688665408546e-10,6.688173215252391e-08
1841,2.439808497456397e-07,0.0,8.539329687806685e-08
1842,1.7173158539662836e-07,0.0,7.781587152422276e-08
1843,1.506262262696012e-07,0.0,6.73387887673016e-08
1844,1.926485043157733e-07,5.488561272137815e-10,5.708103689716637e-08
1845,2.07584482769807e-07,0.0,8.928364714222425e-08
1846,9.894107222407911e-08,0.0,4.2152408230577976e-08
1847,1.7851569733551287e-07,5.393223645455691e-10,6.74152982327314e-08
1848,2.1963455587581393e-07,0.0,5.953464210506354e-08
1849,1.4245004820168106e-07,0.0,6.284561493430374e-08
1850,1.39853317371319e-07,6.788996032014438e-10,4.8880772318682375e-08
1851,1.3930787190474803e-07,6.449438760824933e-10,5.4175286479107854e-08
1852,2.0182690563252947e-07,0.0,8.073076451786676e-08
1853,2.776948235805321e-07,0.0,1.0331441813171693e-07
1854,1.5586992674343492e-07,0.0,8.780673188546473e-08
1855,2.2342204886172112e-07,5.306937111981824e-10,6.845948874456553e-08
1856,2.2469001770275554e-07,0.0,6.626802084852557e-08
1857,1.9916557314481054e-07,0.0,1.2301402901870873e-07
