year,tout_DET an_NOUN,tout_DET man_NOUN
1800,9.432493186523061e-08,0.0
1801,9.048494087338099e-08,0.0
1802,8.056224487518193e-08,4.475680270843441e-09
1803,6.241085537261881e-08,0.0
1804,6.426812215742927e-08,7.4155526164076946e-09
1805,8.528633421711618e-08,0.0
1806,7.20417272503937e-08,2.881669125542885e-09
1807,6.832692633906845e-08,0.0
1808,8.38447360429484e-08,6.798221985349073e-09
1809,7.454800399209205e-08,0.0
1810,8.658468830802235e-08,0.0
1811,7.521230127593981e-08,0.0
1812,5.601137331723294e-08,0.0
1813,9.489947139229571e-08,0.0
1814,1.0069367162302001e-07,0.0
1815,1.4565007488975823e-07,2.697223555614414e-09
1816,9.270415723960923e-08,6.952811659743929e-09
1817,8.874178414330913e-08,4.670620334934483e-09
1818,6.795070950360582e-08,2.384235475716423e-09
1819,8.073819235399071e-08,1.3456364911235141e-08
1820,7.119888678630559e-08,0.0
1821,6.804427155060466e-08,9.86148829262845e-10
1822,7.920236555492011e-08,2.0051231786055723e-09
1823,6.324919477052049e-08,0.0
1824,8.757956937444078e-08,0.0
1825,7.660735379388939e-08,3.522177216552791e-09
1826,5.989429308073113e-08,1.7615968683770689e-09
1827,6.359918347520477e-08,9.217273055917019e-10
1828,7.246118116643885e-08,9.172301251858528e-10
1829,5.486832571621747e-08,3.429270423183084e-09
1830,7.827626746781391e-08,2.0873671680021744e-09
1831,9.510636012066698e-08,0.0
1832,6.359085902296613e-08,0.0
1833,6.023486687212198e-08,1.1583628500844156e-09
1834,8.961149400299462e-08,1.8669061851994684e-09
1835,6.277362984974388e-08,2.2689263801112247e-09
1836,4.838940070861497e-08,2.016224964762614e-09
1837,5.21841809764112e-08,0.0
1838,5.807189129569679e-08,1.2624323808552163e-09
1839,7.90036712716713e-08,6.9914751765765e-10
1840,5.5416291111498595e-08,0.0
1841,6.292137655350416e-08,1.926164561183441e-09
1842,7.043678440510348e-08,5.366612043644636e-09
1843,5.1390125543893106e-08,1.7720733769266417e-09
1844,5.982531986470363e-08,0.0
1845,5.915041817461386e-08,0.0
1846,6.908311478426299e-08,1.7563503984519002e-09
1847,5.123562374365065e-08,0.0
1848,5.712107536970379e-08,8.045221711050488e-10
1849,5.614207854165443e-08,8.379414939696517e-10
1850,6.11009625117731e-08,2.7155984128057753e-09
1851,6.191461188187475e-08,3.8696632564949596e-09
1852,5.5990692304774825e-08,6.510545436100301e-10
1853,6.270528363216954e-08,5.971931837933653e-10
1854,5.3515345765919875e-08,0.0
1855,6.102977678779098e-08,2.653468555990912e-09
1856,6.782117567549761e-08,1.5531567143511893e-09
1857,5.9554409848061596e-08,1.4644527812635033e-09
1858,4.4532450116374633e-08,1.9574704079872163e-09
1859,5.0412515051334594e-08,1.018434669930457e-09
1860,3.936378267788143e-08,1.373155145145688e-09
1861,5.1404003997834735e-08,9.431927461278633e-10
1862,4.337266945597662e-08,3.162590411776023e-09
1863,5.4940829219418674e-08,0.0
1864,6.185199019625998e-08,4.794727948009836e-10
1865,5.601144886790976e-08,4.706844358715045e-10
1866,6.033360056001413e-08,8.271541673821048e-09
1867,6.98804871746006e-08,9.7056229719783e-10
1868,5.532659119733552e-08,1.975949626142892e-09
1869,5.07885999923019e-08,4.883519144627257e-10
1870,6.020751142088443e-08,3.4404292748035914e-09
1871,4.991953250765846e-08,1.0621177271019633e-09
1872,5.6844988272075625e-08,3.628403577593531e-09
1873,5.207823960962088e-08,2.9930022904522957e-09
1874,5.19790986919233e-08,1.1949218281515073e-09
1875,4.520006324781889e-08,0.0
1876,3.990369745743294e-08,2.418405919968336e-09
1877,4.514915652453766e-08,3.710889595609501e-09
1878,5.857915974516459e-08,1.2078177347163432e-09
1879,4.5209007426549874e-08,5.498392852132383e-09
1880,6.032775390352185e-08,2.5671385017744797e-09
1881,6.066081525979428e-08,1.3945015142624584e-09
1882,5.856738805043449e-08,6.655385131892899e-10
1883,6.066565516604783e-08,3.159669414998234e-09
1884,5.941527181363426e-08,1.3203393933736152e-09
1885,7.154655756735906e-08,0.0
1886,8.583107158344205e-08,1.2906927748801422e-09
1887,8.161155617969484e-08,5.876032105334161e-09
1888,6.086990267384351e-08,1.268122939990235e-09
1889,4.1976415232625186e-08,0.0
1890,5.702316308031641e-08,6.554386478008212e-10
