year,devaient_VERB être_VERB,devaient_VERB etre_VERB,devaient_VERB mettre_VERB
1800,4.741400061902823e-06,2.2009151834367913e-08,7.860410988769218e-08
1801,4.864756192546338e-06,9.524730337773235e-09,7.143547975374531e-09
1802,3.929647391487379e-06,2.2378401354217203e-09,4.699464284385613e-08
1803,4.212732619635062e-06,7.801356893821776e-09,9.166594594489652e-08
1804,5.8310965869168285e-06,0.0,6.179627121127851e-08
1805,4.770348823512904e-06,2.842877755426798e-08,6.822906328807221e-08
1806,5.3570229283650406e-06,1.4408345627714425e-08,6.051504897186533e-08
1807,1.0764337275759317e-05,1.1387820464392462e-08,3.701041606518629e-08
1808,5.760360181739088e-06,9.064295980465431e-09,9.970725756147658e-08
1809,7.75525131757604e-06,2.0331274441787173e-08,9.93973401364201e-08
1810,6.559375378856203e-06,1.4040760554223652e-08,9.828532654410083e-08
1811,8.030167009565048e-06,1.504245972228091e-08,1.9053783262279467e-07
1812,8.31635497888783e-06,5.3344164641089264e-09,2.0004061695999553e-07
1813,7.591957910335623e-06,5.751483289628823e-09,2.0130190847567064e-08
1814,6.7118621700501535e-06,1.2586708564299443e-08,5.97868634599763e-08
1815,9.362062883155886e-06,8.091670444798638e-09,1.0788894400093341e-07
1816,6.572724487341475e-06,9.270415546325239e-09,9.502176112619054e-08
1817,8.419571713602636e-06,9.341240669868967e-09,1.1365175822675155e-07
1818,8.88008526089834e-06,1.1921176934492905e-08,1.1682753608965868e-07
1819,8.449562301393598e-06,8.280840013696888e-09,9.108924103884419e-08
1820,1.0444876352266874e-05,8.306536791735653e-09,2.0173017389879533e-07
1821,9.609034350432921e-06,2.1695274909916407e-08,1.2425475404143072e-07
1822,1.0547950296313502e-05,7.017931125119503e-09,1.1930482912703155e-07
1823,1.029281884257216e-05,3.9530747564242574e-09,1.373693407913379e-07
1824,1.020301988319261e-05,6.736890156844311e-09,1.793697066432287e-07
1825,1.050225182552822e-05,1.0566531649658373e-08,1.1623184548170684e-07
1826,1.0901641871896572e-05,1.8496766784892316e-08,1.1626539020426208e-07
1827,1.2847956895711832e-05,8.295545583791863e-09,1.8803237367137626e-07
1828,1.1467211152194068e-05,9.172301140836225e-09,1.8711494931267225e-07
1829,1.2419960512488615e-05,8.573175946935407e-09,1.3459886361033568e-07
1830,1.2600391528394539e-05,1.3567886369969528e-08,1.8368831433690502e-07
1831,1.093255377782043e-05,9.354723218280014e-09,1.216114071667107e-07
1832,1.2636991414183285e-05,5.411987746839486e-09,1.9889054669874895e-07
1833,1.2324981071287766e-05,8.108539617524002e-09,1.204697355206008e-07
1834,1.3191559446568135e-05,1.5868701908061666e-08,1.7268882857024437e-07
1835,1.143085137300659e-05,1.8151411040889798e-08,1.777325735474733e-07
1836,1.0861404007300735e-05,1.5457725766054864e-08,1.4785649682380608e-07
1837,1.2499155673140194e-05,2.7831564608504777e-08,1.5585675328111392e-07
1838,1.3549055438488722e-05,3.5348108440302894e-08,2.09563779662858e-07
1839,1.3074757589492947e-05,3.915226187700682e-08,2.1044340314801957e-07
1840,1.5059855286381207e-05,2.0383003729307347e-08,2.2739789073966676e-07
1841,1.4487325643131044e-05,2.8892468861840825e-08,1.5987166079867166e-07
1842,1.5255935977620538e-05,3.219967226186782e-08,2.4418085331490147e-07
1843,1.4115154954197351e-05,3.1306630177141415e-08,1.6834697191825398e-07
1844,1.532900205347687e-05,2.3600812915081093e-08,2.069187559072816e-07
1845,1.5675976101192646e-05,2.23209111749334e-08,2.1707086261812947e-07
1846,1.4424320397665724e-05,1.7563504428608212e-08,1.5631518124337163e-07
1847,1.5844751033000648e-05,4.422443566909351e-08,2.189648853345716e-07
1848,1.4523234312946443e-05,2.172209789819135e-08,2.3652951597341598e-07
1849,1.6349076759070158e-05,3.100383594301093e-08,1.3323270309228974e-07
1850,1.3942561054136604e-05,3.055048125588655e-08,2.0027538027989067e-07
1851,1.4333877516037319e-05,2.644269869733762e-08,1.2640900592941762e-07
1852,1.3276304343889933e-05,2.2135854038651814e-08,1.1914298170268012e-07
1853,1.3261868843983393e-05,2.5679307347203917e-08,1.6542250591555785e-07
1854,1.2527786566352006e-05,1.870439253481848e-08,1.532720972363677e-07
1855,1.3234439393272623e-05,1.9104973603134567e-08,1.7565962195931206e-07
1856,1.3036162272328511e-05,2.0708757375587084e-08,1.3926639041983435e-07
1857,1.2610890735231806e-05,1.8061584228235006e-08,1.3814670296596887e-07
1858,1.2288999641896226e-05,2.4468380155351355e-08,9.689478730479095e-08
1859,1.3123549251758959e-05,1.9350258284589472e-08,1.476730204785781e-07
1860,1.3028953617322259e-05,1.0527522853465143e-08,1.6065915531271457e-07
1861,1.2792995221388992e-05,2.0750240636857598e-08,1.3016060051995737e-07
1862,1.390093984809937e-05,2.4848924695675123e-08,1.671654956680868e-07
1863,1.3027968634560239e-05,2.6471490166546374e-08,1.7331333879155864e-07
1864,1.26470540635637e-05,1.9178912680217763e-08,1.3952657695881499e-07
1865,1.348463865724625e-05,2.118079933666195e-08,1.6097408206405817e-07
1866,1.2653513294935692e-05,3.795178216137174e-08,1.4110277390955162e-07
1867,1.2850245184381492e-05,2.3778776281346836e-08,1.3199647241890489e-07
1868,1.2628787771973293e-05,2.6181332657415624e-08,1.5017216981050296e-07
1869,1.2297678040340543e-05,3.027781758646597e-08,1.4406381865228468e-07
1870,1.378866727463901e-05,2.121598008386627e-08,1.381905718744747e-07
1871,1.3788412616122514e-05,2.0180236148803488e-08,1.3064048687283503e-07
1872,1.3791562196274754e-05,2.660829245826335e-08,1.251799233159545e-07
1873,1.3306289474712685e-05,1.97538145840781e-08,1.508473133071675e-07
1874,1.3570726878242567e-05,1.5533982988813477e-08,1.296490239610648e-07
1875,1.2468924069253262e-05,1.830888685105947e-08,1.52764769723035e-07
1876,1.2374983271001838e-05,1.209202959984168e-08,1.2454790976335062e-07
1877,1.2775974028045312e-05,1.2369632429454214e-08,1.4905405976151087e-07
1878,1.256855102838017e-05,1.8721174610547564e-08,1.352755845118736e-07
1879,1.2472187336243223e-05,1.8327975581655664e-08,1.3745982130330958e-07
1880,1.2132938536524307e-05,1.4119262203848848e-08,1.1552123169167317e-07
1881,1.2143319509050343e-05,2.1614773970668466e-08,1.0737661426674094e-07
1882,1.2187340871605556e-05,1.5972924316542958e-08,1.3377324137309188e-07
1883,1.2284162949072197e-05,1.7694148368718743e-08,1.3586578972990537e-07
1884,1.27247712953249e-05,1.386356363042296e-08,1.1751020423389491e-07
1885,1.2827459613617975e-05,1.6114089618213256e-08,1.1666600840953834e-07
1886,1.3165711607143749e-05,1.6133659963557534e-08,1.652086751846582e-07
1887,1.1686121979437303e-05,1.566941953967671e-08,1.2666113491377473e-07
1888,1.276238890568493e-05,2.1558090423923204e-08,1.0018171536785303e-07
