year,eût_VERB uni_VERB,eût_VERB muni_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,6.713520406265161e-09,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,3.7461699520235925e-08,0.0
1807,5.124519120158766e-08,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,5.034683425719777e-08,3.1466771410748606e-09
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,5.960588467246453e-09,0.0
1819,1.0351049795076506e-08,1.035105001712111e-09
1820,0.0,0.0
1821,9.86148829262845e-10,1.97229765852569e-09
1822,3.0076847679083585e-09,0.0
1823,0.0,0.0
1824,0.0,1.6842225392110777e-09
1825,1.7610886082763955e-09,0.0
1826,8.807984341885344e-10,0.0
1827,0.0,0.0
1828,2.7516904310687096e-09,0.0
1829,4.286587973467704e-09,3.429270423183084e-09
1830,0.0,1.0436835840010872e-09
1831,2.182768810143898e-08,0.0
1832,2.705993873419743e-09,0.0
1833,1.1583628500844156e-09,0.0
1834,8.401078055442213e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,0.0,0.0
1837,1.3219993100221927e-08,0.0
1838,5.680945491803868e-09,1.8936485712828244e-09
1839,9.088918062616358e-09,0.0
1840,1.2739377330817092e-09,0.0
1841,2.5682194149112547e-09,6.420548537278137e-10
1842,1.7441490030023488e-08,4.695785538189057e-09
1843,8.269675610961258e-09,2.953455480181333e-09
1844,2.7442805805577564e-09,0.0
1845,7.254296274794569e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,5.3932236454556914e-09,5.393223645455691e-10
1848,7.24069959545659e-09,1.6090443422100975e-09
1849,8.379414939696517e-10,0.0
1850,2.0366988096043315e-09,0.0
1851,2.579775504329973e-09,6.449438760824933e-10
1852,5.208436348880241e-09,3.906327261660181e-09
1853,1.0749477752369785e-08,2.9859659189668264e-09
1854,4.676098175337984e-09,5.195664454227256e-10
1855,5.306937111981824e-10,0.0
1856,3.6240324075009767e-09,0.0
1857,2.4407544874094356e-09,0.0
1858,1.3212924976357954e-08,0.0
1859,3.666364989385329e-08,0.0
1860,1.0069804545764782e-08,0.0
1861,1.8863854922557266e-09,6.13075279431996e-09
1862,5.873382225018986e-09,4.517986262886353e-10
1863,1.9978483312144135e-09,0.0
1864,1.4384183844029508e-09,0.0
1865,3.294791106611683e-09,0.0
1866,6.811858188626729e-09,0.0
1867,1.455843445796745e-09,0.0
1868,8.397785578040384e-09,0.0
1869,4.883519366671862e-09,0.0
1870,1.1468097582678638e-09,5.734048791339319e-10
1871,0.0,0.0
1872,1.0885210954825197e-08,0.0
1873,2.9930022904522957e-09,0.0
1874,3.5847653734322193e-09,1.1949218281515073e-09
1875,3.432916173551348e-09,0.0
1876,4.836811839936672e-09,0.0
1877,3.710889595609501e-09,0.0
1878,6.039088673581716e-10,1.8117265465633636e-09
1879,1.221865053580018e-09,0.0
1880,3.8507077526617195e-09,6.417846254436199e-10
1881,2.7890030285249168e-09,0.0
1882,7.320923423037584e-09,0.0
1883,2.5277355764075082e-09,0.0
1884,9.902545450302114e-09,1.3203393933736152e-09
1885,2.5782542767416317e-09,1.933690763067375e-09
1886,3.2267319927115068e-09,0.0
1887,4.570247291724172e-09,6.528924623161458e-10
1888,6.340614699951175e-10,1.9021844099853524e-09
1889,3.132568426877924e-09,2.5060546970934183e-09
1890,1.9663159989136147e-09,6.554386478008212e-10
1891,1.2748440081367107e-09,6.374220040683554e-10
1892,0.0,0.0
1893,1.847525021858587e-09,0.0
1894,6.301539290376468e-10,0.0
1895,1.2037228991346183e-09,1.8055843487019274e-09
1896,5.89702897624278e-10,0.0
1897,1.7480140668268973e-09,0.0
1898,2.8291773368493978e-09,0.0
1899,9.949641111006713e-09,0.0
1900,1.038210628578895e-09,0.0
