year,aurait_VERB hérité_VERB,aurait_VERB mérité_VERB
1800,2.829747991484055e-08,5.345079756580162e-08
1801,0.0,5.9529565277216534e-08
1802,0.0,1.3427040812530322e-08
1803,3.900678446910888e-09,2.9255089017965474e-08
1804,4.943701892301533e-09,8.157108055684148e-08
1805,0.0,5.685755422035754e-09
1806,0.0,1.152667650217154e-08
1807,5.693910232196231e-09,1.9928686256776018e-08
1808,6.798221985349073e-09,3.3991110370834576e-08
1809,1.3554183553310395e-08,5.421673421324158e-08
1810,5.148278958699848e-08,2.574139479349924e-08
1811,0.0,3.259199843341776e-08
1812,1.8670457180292033e-08,4.267533171287141e-08
1813,0.0,1.00650957790549e-07
1814,9.440030979135372e-09,8.181360300341112e-08
1815,5.394447111228828e-09,2.966945977789237e-08
1816,6.952811659743929e-09,2.5493642752394408e-08
1817,1.556873407970727e-09,7.161617787687646e-08
1818,0.0,5.841376804482934e-08
1819,0.0,6.003609342997152e-08
1820,7.119888678630559e-09,6.882559233645225e-08
1821,2.6626018723163725e-08,8.57949515875589e-08
1822,3.0076847679083585e-09,6.917674966189225e-08
1823,9.882686669016039e-09,4.743689885344793e-08
1824,5.052667617633233e-09,5.5579342017608724e-08
1825,2.905796137042671e-08,6.427973175959778e-08
1826,7.0463874735082754e-09,7.751026487312629e-08
1827,1.2904182611350734e-08,9.309445658800541e-08
1828,2.8434133270138773e-08,4.3109814384934e-08
1829,2.2290258527846163e-08,4.8009784592295546e-08
1830,1.7742621594152297e-08,5.4271545479878114e-08
1831,1.5591206548037917e-08,1.216114071667107e-07
1832,4.058990921151917e-09,4.058990654698391e-08
1833,6.950177322551099e-09,6.370995464521911e-08
1834,1.4935249481595747e-08,1.0081293311259287e-07
1835,9.075705520444899e-09,5.52105419160398e-08
1836,1.6129799718100912e-08,8.064900214321824e-08
1837,1.1132625488130543e-08,5.427154903259179e-08
1838,1.830527018853445e-08,8.647661786653771e-08
1839,9.088918062616358e-09,6.362242288560083e-08
1840,1.1465439264668476e-08,7.261444778805526e-08
1841,3.0818632978935057e-08,7.31942506604355e-08
1842,4.695785538189057e-09,8.049917710195587e-08
1843,1.2995204023980023e-08,4.4892523476391943e-08
1844,1.1525978393933656e-08,7.683986069650928e-08
1845,1.2276501593078137e-08,5.970844085823046e-08
1846,2.2247105491146613e-08,6.030136034951283e-08
1847,1.5101026207275936e-08,7.658377398911398e-08
1848,8.84974404868899e-09,5.470750608083108e-08
1849,6.703531951757213e-09,9.301150782903278e-08
1850,1.4935791270431764e-08,6.381656447729256e-08
1851,1.9348316726564008e-08,7.67483214758613e-08
1852,1.1718981340891332e-08,4.427170807730363e-08
1853,1.5527023222716707e-08,6.927440665549511e-08
1854,4.1565315633818045e-09,6.546537179019651e-08
1855,1.0083180512765466e-08,4.4578271740647324e-08
1856,3.36517302912398e-08,6.160855292591805e-08
1857,8.78671624349181e-09,7.371078680762366e-08
1858,1.2723557318849998e-08,5.138359782108637e-08
1859,1.476730293603623e-08,6.008764330545091e-08
1860,1.9681891672007623e-08,5.034902272882391e-08
1861,1.3204698667834691e-08,5.8949545689301885e-08
1862,1.9879140111811466e-08,8.538994222817564e-08
1863,1.8480097452311384e-08,3.795911851511846e-08
1864,9.109982990196386e-09,6.376988181955312e-08
1865,2.0710114512212385e-08,4.6127073716206723e-08
1866,8.75810357570117e-09,4.670988573707291e-08
1867,9.7056229719783e-09,5.192508467644075e-08
1868,2.2723421366777075e-08,5.433861360870651e-08
1869,8.790334682373668e-09,7.569454396616493e-08
1870,1.8922360567330543e-08,5.3326655091723296e-08
1871,4.248470908407853e-09,4.991953161948004e-08
1872,3.628403577593531e-09,4.172663992108028e-08
1873,3.112722168907567e-08,5.986004225633224e-08
1874,2.3898437007119355e-08,3.644511537004291e-08
1875,3.20405533216217e-08,4.577221801582709e-08
1876,3.204387866162506e-08,7.497058618355368e-08
