year,pourraient_VERB être_VERB,pourraient_VERB etre_VERB,pourraient_VERB mettre_VERB
1800,3.936494067602325e-06,9.432493897065797e-09,2.829747991484055e-08
1801,3.7860802422073903e-06,1.904946067554647e-08,3.333655484993869e-08
1802,3.844609182124259e-06,4.475680270843441e-09,6.042168365638645e-08
1803,3.955287866119761e-06,1.5602713787643552e-08,3.705644502360883e-08
1804,4.380119662528159e-06,0.0,4.943701981119375e-08
1805,3.110108309556381e-06,2.842877711017877e-09,3.4114531644036106e-08
1806,4.734582489618333e-06,8.645007376628655e-09,6.051504897186533e-08
1807,6.4255777942889836e-06,1.4234775136401367e-08,3.131650672116848e-08
1808,4.457367595023243e-06,4.5321478125970316e-08,4.305540457494317e-08
1809,4.2492365537327714e-06,2.4849335034105025e-08,1.581321384946932e-08
1810,4.937667654303368e-06,9.360507036149102e-09,1.0296557917399696e-07
1811,5.262354079604847e-06,1.0028307073639553e-08,6.267691787797958e-08
1812,6.3186162151396275e-06,2.9339290108509886e-08,1.0935553973467904e-07
1813,4.66157734990702e-06,8.627225156487839e-09,4.601186631703058e-08
1814,5.0346834541414864e-06,9.440030979135372e-09,8.810695817373926e-08
1815,5.2137329475954175e-06,1.0788894222457657e-08,1.294667271167782e-07
1816,4.934178832627367e-06,9.270415546325239e-09,5.5622493277951435e-08
1817,5.282471647660714e-06,1.0898113522728181e-08,7.940054302935096e-08
1818,5.700706878997153e-06,9.536941902865692e-09,8.106400883889364e-08
1819,5.827640961797442e-06,7.24573512300708e-09,1.1179133707628353e-07
1820,6.004439455864485e-06,7.119888678630559e-09,1.3053129066520341e-07
1821,5.569768745772308e-06,1.0847637454958203e-08,9.072569184809254e-08
1822,5.676503860740922e-06,6.015369535816717e-09,6.51665033046811e-08
1823,5.851538844581228e-06,3.9530747564242574e-09,1.1562743651438723e-07
1824,5.936042271059705e-06,7.57900142644985e-09,1.271587990459011e-07
1825,5.928704922553152e-06,4.4027217427355936e-09,8.805442774928451e-08
1826,6.694948751828633e-06,7.0463874735082754e-09,8.279505436803447e-08
1827,8.33149351819884e-06,5.530363722527909e-09,1.2166800900104136e-07
1828,7.934040695545264e-06,8.255071293206129e-09,8.438517085096464e-08
1829,8.736066774872597e-06,6.001223074036943e-09,1.2688300898844318e-07
1830,8.454881026409566e-06,1.2524203230057651e-08,1.5446516954398248e-07
1831,8.57204486237606e-06,1.4032085715598441e-08,1.4655734048574232e-07
1832,8.47652609081706e-06,1.7588959622116818e-08,1.420646782435142e-07
1833,8.639070074423216e-06,8.108539617524002e-09,1.0772774317047151e-07
1834,1.0068225492432248e-05,1.773560920348416e-08,5.880754372356023e-08
1835,8.00552879809402e-06,1.5126175867408165e-08,1.1193370141882042e-07
1836,7.538665158790536e-06,2.2850549896702432e-08,8.400937900887584e-08
1837,7.899989213910885e-06,2.5048407792382932e-08,1.6211885167649598e-07
1838,7.517153790104203e-06,1.009945904684173e-08,1.559103992576638e-07
1839,8.275808795588091e-06,2.4470162784950844e-08,1.0487212875887053e-07
1840,8.64430421643192e-06,1.8472096741106725e-08,1.2166105989308562e-07
