year,maint_DET auteur_NOUN
1800,3.772997336781714e-08
1801,2.1430643926123594e-08
1802,3.8043282302169246e-08
1803,2.145373123596528e-08
1804,3.707776263794926e-08
1805,2.5585898955071684e-08
1806,1.4408345627714425e-08
1807,2.562259560079383e-08
1808,3.6257183477772514e-08
1809,2.7108365552308555e-08
1810,8.190443878675069e-08
1811,3.008492122091866e-08
1812,4.800974817698034e-08
1813,1.4378708224072057e-08
1814,5.034683336901935e-08
1815,2.4275012000529728e-08
1816,2.3176038865813098e-08
1817,2.0239354414641753e-08
1818,3.2187178256037896e-08
1819,2.1737204591865122e-08
1820,3.441279616822612e-08
1821,3.352906019493673e-08
1822,2.4061478143266868e-08
1823,4.249555196622623e-08
1824,1.3473780313688621e-08
1825,2.0252519883356968e-08
1826,2.6423953247700638e-08
1827,1.566936402852548e-08
1828,8.255071293206129e-09
1829,1.1145129263923081e-08
1830,1.2524202563923836e-08
1831,1.4032085715598441e-08
1832,1.7588959622116818e-08
1833,1.2741991128883967e-08
1834,1.4935249259551142e-08
1835,6.050470346963266e-09
1836,8.06490002558391e-09
1837,4.174734669071256e-09
1838,1.8936485712828244e-09
1839,1.5381244722334486e-08
1840,5.095750821304534e-09
1841,5.778493683550323e-09
1842,2.3478927246856074e-08
1843,5.31621990873532e-09
1844,1.4819115712327857e-08
1845,2.734311710383963e-08
1846,9.952652035849496e-09
1847,4.314578916364553e-09
1848,9.65426583121598e-09
1849,6.703532173801818e-09
1850,8.82569484161877e-09
1851,6.449438760824933e-09
1852,2.018269151804475e-08
1853,4.180352064508952e-09
1854,7.27393034694046e-09
1855,1.4328730202350926e-08
1856,5.177189343896771e-09
1857,1.4644527424056974e-08
1858,2.00640708492017e-08
1859,1.171199892624486e-08
1860,1.1900678109633134e-08
1861,1.131831295353436e-08
1862,1.626475143456929e-08
1863,2.3974179974572962e-08
1864,1.102787461348953e-08
1865,4.23615986733239e-09
1866,1.1677470823645564e-08
1867,3.88224918879132e-09
1868,6.4218362849643995e-09
1869,6.836927024522765e-09
1870,7.454262984651905e-09
1871,3.18635318130589e-09
1872,5.442605366390296e-09
1873,1.25706090536859e-08
1874,5.377148060148329e-09
1875,1.6592428764283795e-08
1876,1.3905833817773328e-08
1877,2.288381928394756e-08
1878,1.1474268535316412e-08
1879,1.0385853066452455e-08
1880,1.4761046607247863e-08
1881,1.1853262482652838e-08
1882,5.989846840748214e-09
1883,2.0221884611260066e-08
1884,2.178559910248623e-08
1885,1.2891271161663553e-08
1886,1.6779005962419546e-08
1887,1.566941953967671e-08
1888,9.510921605837552e-09
1889,1.44098142307314e-08
1890,1.2453334363726754e-08
1891,5.099375810502238e-09
1892,1.4417578686476418e-08
1893,1.0469308087124318e-08
1894,8.82215522857166e-09
1895,1.1435367985868083e-08
1896,1.4152869987071881e-08
1897,1.2236098356765979e-08
1898,2.150174804871341e-08
1899,7.738609753005221e-09
1900,9.863001082521805e-09
1901,9.5008563238963e-09
1902,5.892340837476695e-09
1903,1.296052909438572e-08
1904,1.666133719879781e-08
1905,2.5287718585786934e-08
1906,9.259531807970234e-09
1907,8.742833457198174e-09
1908,7.367083831866239e-09
1909,8.801573692096554e-09
1910,1.1222716866932103e-08
1911,1.6493159948893776e-08
1912,1.0939784189645252e-08
1913,2.1211959300160288e-08
1914,1.1384464593255927e-08
1915,2.3561524287174507e-08
1916,4.394984820521586e-09
1917,1.0966424435210342e-08
1918,1.2635013924011673e-08
1919,2.1178050868542186e-08
1920,1.2115570768855832e-08
1921,1.5902769323616894e-08
1922,1.10669032826749e-08
1923,1.5923921736771263e-08
1924,1.4180786767070686e-08
1925,1.759708490034484e-08
1926,1.2260752080273107e-08
1927,2.7873061636540797e-08
1928,5.713020501119104e-09
1929,2.339485360991489e-08
1930,1.470504518152893e-08
1931,1.4826963656844327e-08
1932,1.5343351700281005e-08
1933,2.6382523721224516e-08
1934,1.9170528275935794e-08
1935,2.393656917121234e-08
1936,1.576212937948185e-08
1937,2.14049007407624e-08
1938,2.8523472250796544e-08
1939,2.294107481759511e-08
1940,1.77504799747652e-08
1941,1.7709016475464523e-08
1942,2.4273694831933312e-08
1943,5.806470415592457e-09
1944,0.0
1945,1.089252066321933e-08
1946,9.744772988540262e-09
1947,5.006765668724711e-08
1948,1.6307831529616124e-08
1949,1.1780410202888447e-08
1950,2.552486733087278e-08
1951,1.5992102975204148e-08
1952,2.0035128001083535e-08
1953,1.723812381726475e-08
1954,3.615838450876652e-08
1955,1.595553289490681e-08
1956,1.6570168570595456e-08
1957,1.5019563925910973e-08
1958,1.8198935247681902e-08
1959,1.2401196514133517e-08
1960,4.8445834566201995e-09
1961,1.250668635321972e-08
1962,1.3318108227355907e-08
1963,9.052474325699222e-09
1964,1.4601523545820783e-08
1965,1.4774516721161035e-08
1966,1.9386761973549937e-08
1967,1.2818872185960117e-08
1968,1.706738025908372e-08
1969,9.08351560635623e-09
1970,1.3336302562283464e-08
1971,2.003975030362426e-08
1972,1.0260293947794707e-08
1973,1.0475087242056702e-08
1974,1.4626486688484874e-08
1975,1.028066431985053e-08
1976,9.712995741040231e-09
1977,8.227494796564372e-09
1978,6.534650265344055e-09
1979,1.8141117719139288e-08
1980,1.4212877152974812e-08
1981,2.5302198114474095e-09
1982,1.0552753781922775e-08
1983,1.0104506009689374e-08
1984,1.3917620833581168e-08
1985,9.023336966507145e-09
1986,5.994485352545098e-09
1987,1.1610551631235921e-08
1988,1.079379691182325e-08
1989,6.036934285802431e-09
1990,1.3076762006569709e-08
1991,7.033758464558559e-09
1992,5.5099441120809445e-09
1993,7.754890507527534e-09
1994,4.219941229788304e-09
1995,7.591431483433553e-09
1996,9.60856638698715e-09
1997,3.835915696193126e-09
1998,6.6753810257225155e-09
1999,3.1991407301035224e-09
2000,7.510653543540968e-09
2001,4.819333043748486e-09
2002,7.448076544402937e-09
2003,5.416999737661854e-09
2004,5.726228824443069e-09
2005,3.15262471684008e-09
2006,1.6471559116659762e-09
2007,6.790615098006825e-09
2008,2.554463751636149e-09
2009,7.1522885392028e-09
2010,5.668551850135373e-09
2011,3.0591775501687124e-09
2012,3.4042526853017563e-09
2013,2.5102124823206395e-09
2014,2.1654451148878096e-09
2015,2.4382329072425435e-09
2016,7.456824158147413e-09
2017,1.2578056374223934e-09
2018,2.323319980845895e-09
2019,2.04079020349468e-09
