year,eût_VERB hérité_VERB,eût_VERB mérité_VERB
1800,4.087413785214267e-08,7.545995117652637e-08
1801,0.0,6.667310969987739e-08
1802,2.2378401354217203e-09,7.384872446891677e-08
1803,2.7304748684287006e-08,1.0726865440346955e-07
1804,2.9662210465630778e-08,6.179627121127851e-08
1805,0.0,5.1171799242411e-08
1806,2.881669125542885e-08,5.4751712497136396e-08
1807,1.7081731584767113e-08,2.8469550272802735e-08
1808,2.945896149242344e-08,6.345007363961486e-08
1809,4.0662548883574345e-08,7.228897658251299e-08
1810,2.106114038724627e-08,7.254392642153107e-08
1811,4.262030373070047e-08,7.771937760026049e-08
1812,3.7340914360584065e-08,7.468182872116813e-08
1813,1.4378708002027452e-08,6.039057609541487e-08
1814,3.776012391654149e-08,7.866692897096073e-08
1815,5.394447111228828e-09,9.170560133497929e-08
1816,2.0858434979231788e-08,6.025770460382773e-08
1817,4.203558034987509e-08,4.514932783195036e-08
1818,2.384235386898581e-08,2.741870730460505e-08
1819,4.6579724966022695e-08,6.107119787657211e-08
1820,1.3053129244156025e-08,9.255855104584043e-08
1821,3.35290586406245e-08,8.57949515875589e-08
1822,3.107940926838637e-08,8.421517350143404e-08
1823,1.1859224713361982e-08,4.348382276475604e-08
1824,5.052667617633233e-08,4.7158231097910175e-08
1825,4.226612659863349e-08,4.3146670236637874e-08
1826,2.4662355713189754e-08,3.699353356978463e-08
1827,1.6591091167583727e-08,3.96342727526644e-08
1828,2.0179061976932644e-08,3.944089499441361e-08
1829,8.573175946935407e-09,5.572564276690173e-08
1830,2.0873670791843324e-08,6.575206867864836e-08
1831,1.091384405071949e-08,6.704218691311326e-08
1832,5.411987746839486e-09,4.7354891563600177e-08
1833,4.51761508202253e-08,7.066013552048389e-08
1834,3.733812548034621e-08,3.547121707470069e-08
1835,2.117664621437143e-08,4.5378527602224494e-08
1836,2.016225053580456e-08,5.712637474175608e-08
1837,2.5048407792382932e-08,3.478945487245255e-08
1838,3.1560809077291196e-08,4.481634974240478e-08
1839,3.915226187700682e-08,4.4046291947097416e-08
1840,1.9746034141121527e-08,4.8409635411417185e-08
1841,1.6693427085101575e-08,4.8154113585496816e-08
1842,2.884553929050071e-08,5.769107858100142e-08
1843,3.5441466650354414e-08,8.742228629898818e-08
1844,3.841993034825464e-08,5.653217982626302e-08
1845,1.6182660544927785e-08,4.743193926515232e-08
1846,2.4588905134237393e-08,4.742146231251354e-08
1847,1.833696039454935e-08,6.47186837454683e-08
1848,7.24069959545659e-09,4.183515400768556e-08
1849,2.1786478399121734e-08,3.77073661184113e-08
1850,2.7155984128057753e-08,5.974316508172706e-08
1851,6.449438760824933e-09,3.805168802273329e-08
1852,2.2135854038651814e-08,3.906327350478023e-08
1853,1.3735443005202796e-08,4.299791100947914e-08
1854,2.1302223984775992e-08,5.0917510208137173e-08
1855,3.449509122788186e-08,3.92713346286655e-08
1856,1.3978411317339123e-08,3.2616291889553395e-08
1857,1.3668225662399891e-08,5.516105261449411e-08
1858,2.9851424443450014e-08,5.725600971118183e-08
1859,1.7313389832906978e-08,4.3283474582267445e-08
1860,2.654766717569146e-08,3.3871160098897235e-08
1861,1.4619487842537637e-08,4.715963797252698e-08
1862,3.252950264709398e-08,6.46072066956549e-08
1863,1.7980635647063536e-08,4.04564275413577e-08
1864,1.4384183621984903e-08,4.746780746245349e-08
1865,2.4946274379544775e-08,3.3418594114209554e-08
1866,1.1677471434268227e-08,4.670988573707291e-08
1867,1.358787216076962e-08,3.6396087921275466e-08
1868,2.5687345583946808e-08,2.1241458370013788e-08
1869,1.4650557211837167e-08,3.809144999422642e-08
1870,1.834895613228582e-08,3.669791226457164e-08
1871,2.442870794538976e-08,3.717412155879174e-08
1872,1.4513614310374123e-08,2.9027228620748247e-08
1873,1.7958013742713774e-08,3.352162636360845e-08
1874,3.5847653734322193e-09,1.8521287614703397e-08
1875,2.460256709468922e-08,3.661777370211894e-08
1876,1.0882827083946722e-08,4.957732002708326e-08
1877,1.0514186854493346e-08,4.5149157301693776e-08
1878,1.0870359723469392e-08,4.046189516770937e-08
1879,1.649517855639715e-08,5.315112971970848e-08
1880,1.0268554007097919e-08,3.914886193001621e-08
1881,2.7890030285249168e-09,5.2293806618308736e-08
1882,1.1979693681496428e-08,3.660461800336634e-08
1883,1.3270612164717477e-08,4.1707636455612374e-08
1884,1.1222884843675729e-08,3.4328824227713994e-08
1885,4.511945039809007e-09,3.3517306263775026e-08
1886,1.5488312854472497e-08,5.0982364996343676e-08
1887,6.528924512139156e-09,2.0239665943222462e-08
1888,1.775372027168487e-08,2.7264643875923866e-08
1889,3.759081934617825e-09,4.51089832154139e-08
1890,1.3108772956016423e-09,2.1629475099871343e-08
1891,1.529812720946211e-08,3.1871099537283953e-08
1892,1.1283322720601063e-08,2.7581453565517222e-08
1893,2.0322774574310642e-08,4.495644034818724e-08
1894,1.449354058991048e-08,3.7179081147087345e-08
1895,7.824199066419624e-09,2.467631965430428e-08
1896,5.897029087265082e-09,2.240870955461105e-08
1897,1.981082675683865e-08,2.3889525024856084e-08
1898,3.225262190653666e-08,2.4896761985360172e-08
1899,1.4371703827009696e-08,3.592926134388108e-08
1900,1.2977633190303095e-08,4.360484595622438e-08
1901,1.0618603774048552e-08,1.8442838367604963e-08
1902,5.892340837476695e-09,2.7497589982772297e-08
1903,1.0800440541913758e-08,3.348136701220028e-08
1904,5.912087708281888e-09,2.579820090886642e-08
1905,4.1286072338664326e-09,1.9610883583709438e-08
1906,7.716276506641861e-09,2.6749759740596346e-08
1907,1.0285686968813934e-08,2.0571373937627868e-08
1908,2.2101250607420297e-08,3.388858615949175e-08
1909,8.251475058784763e-09,3.5756393401698006e-08
1910,4.275320542035388e-09,2.0307773240801907e-08
1911,5.852411444351446e-09,3.298632123005518e-08
1912,1.40654377034366e-08,3.5945006970905524e-08
1913,1.1666577037772186e-08,2.4924052155483878e-08
1914,1.6072185360371805e-08,2.0759905794420774e-08
1915,1.1780761921542648e-09,4.2410743361642744e-08
1916,1.538244731591476e-08,3.4061130804730055e-08
