year,léger_ADJ apport_NOUN,léger_ADJ rapport_NOUN
1800,0.0,8.803660733747165e-08
1801,0.0,1.904946067554647e-08
1802,0.0,3.5805442166747525e-08
1803,0.0,4.4857802805609026e-08
1804,0.0,9.640218934237055e-08
1805,0.0,7.675770063997334e-08
1806,0.0,8.645007376628655e-09
1807,0.0,4.839823830593559e-08
1808,0.0,1.3596443970698147e-08
1809,0.0,6.325285539787728e-08
1810,0.0,3.2761775514700275e-08
1811,0.0,3.259199843341776e-08
1812,0.0,8.001624962616916e-08
1813,0.0,4.3136125782439194e-08
1814,0.0,7.866692897096073e-08
1815,0.0,4.315557688983063e-08
1816,0.0,5.7940098940889584e-08
1817,0.0,7.628679554727569e-08
1818,0.0,5.841376804482934e-08
1819,0.0,4.7614829412623294e-08
1820,0.0,4.034603762193001e-08
1821,0.0,3.35290586406245e-08
1822,0.0,4.712039469723095e-08
1823,0.0,1.9765373338032077e-08
1824,0.0,3.536867154707579e-08
1825,0.0,5.459374818883589e-08
1826,0.0,2.2019960965735663e-08
1827,0.0,5.069500019772022e-08
1828,0.0,6.328887991458032e-08
1829,0.0,5.744027831156018e-08
1830,0.0,2.5048406016026092e-08
1831,0.0,6.080570358335535e-08
1832,0.0,5.0060886991332154e-08
1833,0.0,3.01174338801502e-08
1834,0.0,2.0535967593104942e-08
1835,0.0,3.327758690829796e-08
1836,0.0,2.419469957715137e-08
1837,0.0,1.948209416013924e-08
1838,0.0,3.787297231383491e-08
1839,0.0,3.216078425793967e-08
1840,0.0,4.0766007458614695e-08
1841,0.0,1.4767261191650505e-08
1842,0.0,7.379091560011375e-09
1843,0.0,2.7762482091020502e-08
1844,0.0,1.5367971784030487e-08
1845,0.0,2.2320911341466854e-08
1846,0.0,7.610851504580296e-09
1847,5.393223645455691e-10,1.4561703842730367e-08
1848,0.0,4.82713291560799e-09
1849,0.0,7.54147322368226e-09
1850,0.0,1.8330290174617403e-08
1851,0.0,1.2898877521649865e-08
1852,0.0,5.208436348880241e-09
1853,0.0,1.6124216628554677e-08
1854,0.0,2.0782657816909023e-09
1855,0.0,1.0613874223963649e-08
1856,0.0,9.318940286107136e-09
1857,0.0,7.322263684272912e-09
1858,0.0,6.8511463169329545e-09
1859,0.0,6.110608019582742e-09
1860,0.0,6.865775947773045e-09
1861,3.3011746669586728e-09,1.1789909493131745e-08
1862,0.0,8.132375661773494e-09
1863,0.0,3.995696662428827e-09
1864,4.794727948009836e-10,2.3973640850272204e-09
1865,4.706844358715045e-10,1.1296426905005319e-08
1866,2.919367858567057e-09,9.731225603104576e-09
1867,4.85281148598915e-10,5.82337378318698e-09
1868,0.0,1.0373735648272486e-08
1869,4.883519144627257e-10,1.1720445947105418e-08
1870,0.0,1.7202147262196377e-08
1871,0.0,7.434824311758348e-09
1872,0.0,1.8142017887967654e-09
1873,5.986004469882289e-10,2.9930022904522957e-09
1874,5.974609140757536e-10,1.1949218281515073e-09
1875,0.0,5.721527251978387e-09
1876,0.0,7.859819461941697e-09
1877,0.0,3.0924081073635534e-09
1878,0.0,7.850815109122777e-09
1879,0.0,1.9549840857280287e-08
1880,6.417846254436199e-10,3.8507077526617195e-09
1881,1.3945015142624584e-09,9.064259565150223e-09
1882,0.0,3.9932310791357395e-09
1883,0.0,1.8958017378167824e-09
1884,0.0,7.2618666635548834e-09
1885,1.933690763067375e-09,1.0313017106966527e-08
1886,5.162771099520569e-09,3.872078213618124e-09
1887,0.0,3.9173548849191775e-09
1888,0.0,6.340614699951175e-10
1889,3.759081934617825e-09,1.8795409673089125e-09
1890,3.2771931834929546e-09,7.209825181320184e-09
1891,1.9122659011827636e-09,1.9122659011827636e-09
1892,1.2537024751679837e-09,1.1283322720601063e-08
1893,0.0,7.390100087434348e-09
1894,1.2603078580752936e-09,4.411077725308132e-09
1895,5.416753268150387e-09,6.6204757231957956e-09
1896,0.0,1.179405795248556e-09
1897,5.826713556089658e-10,9.905413378419325e-09
1898,3.3950129374460403e-09,2.26334195829736e-09
1899,4.9748205555033564e-09,5.527578395003729e-10
1900,3.633737311048435e-09,1.038210628578895e-09
1901,0.0,2.235495566438317e-09
1902,3.928227076954727e-09,0.0
