year,dernier_ADJ réveil_NOUN
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,6.798221985349073e-09
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,2.384235475716423e-09
1819,4.140420006848444e-09
1820,3.5599443393152796e-09
1821,1.97229765852569e-09
1822,0.0
1823,8.894418535021487e-09
1824,9.263223965660927e-09
1825,8.805443041381977e-10
1826,6.1655889282974385e-09
1827,0.0
1828,4.586150570418113e-09
1829,4.286587973467704e-09
1830,5.218417697960831e-09
1831,1.091384405071949e-08
1832,1.0823975493678972e-08
1833,2.3167257001688313e-09
1834,7.467624740797874e-09
1835,7.563087933704082e-09
1836,1.3441500135158435e-09
1837,3.478945576063097e-09
1838,5.680945491803868e-09
1839,1.3283802502428443e-08
1840,7.0066574764382494e-09
1841,3.2102742686390684e-09
1842,2.0124795163667386e-09
1843,4.13483786099178e-09
1844,1.2074834465636286e-08
1845,6.138250796539069e-09
1846,2.9272506640865004e-09
1847,4.314578916364553e-09
1848,1.689496542667257e-08
1849,3.3517659758786067e-09
1850,6.788996032014438e-09
1851,4.514607132577453e-09
1852,8.463708844885787e-09
1853,7.166318205520383e-09
1854,4.1565315633818045e-09
1855,9.021793090369101e-09
1856,1.4496129630003907e-08
1857,6.345961978126979e-09
1858,1.565976326389773e-08
1859,3.4626779665813956e-08
1860,5.950338888283113e-09
1861,1.1789909493131745e-08
1862,7.228778020618165e-09
1863,9.489779628779615e-09
1864,1.3904711160250827e-08
1865,4.23615986733239e-09
1866,2.092213513549268e-08
1867,1.94112459439566e-08
1868,1.5807597009143137e-08
1869,1.2697149998075474e-08
1870,1.1468097582678638e-08
1871,1.1683295220166201e-08
1872,9.675742873582749e-09
1873,2.9930022904522957e-09
1874,7.169530746864439e-09
1875,3.432916173551348e-09
1876,1.5115036333668286e-08
1877,7.421779413263607e-09
1878,4.831270938865373e-09
1879,3.0546627449723474e-09
1880,1.5402831010646878e-08
1881,1.045876096839038e-08
1882,2.6621540527571597e-09
1883,8.21514056781325e-09
1884,5.281357573494461e-09
1885,8.379326565943757e-09
1886,2.5813855497602844e-09
1887,6.528924512139156e-09
1888,6.340614699951175e-09
1889,6.891650361495749e-09
1890,4.5880703680722945e-09
1891,7.0116419337296065e-09
1892,5.641661360300532e-09
1893,4.310891643655168e-09
1894,0.0
1895,7.22233739480771e-09
1896,9.435246361988447e-09
1897,6.409385022720926e-09
1898,5.092519295146758e-09
1899,4.9748205555033564e-09
1900,6.22926377147337e-09
1901,4.470991132876634e-09
