year,premier_ADJ homme_NOUN,premier_ADJ rhum_NOUN
1800,1.8582011720447156e-06,0.0
1801,2.0668663982537083e-06,0.0
1802,2.1550399651459884e-06,0.0
1803,1.4100952316908888e-06,0.0
1804,2.2048909709138087e-06,0.0
1805,2.1890159036530576e-06,0.0
1806,2.028695007538772e-06,0.0
1807,1.807816497834125e-06,0.0
1808,1.8559145473773242e-06,0.0
1809,1.7597847985495463e-06,0.0
1810,1.8065778548681521e-06,0.0
1811,1.4190054571372457e-06,0.0
1812,1.4029515167379714e-06,0.0
1813,1.8404746757738621e-06,0.0
1814,1.5104050135050784e-06,9.440030979135372e-09
1815,1.6587924880351324e-06,0.0
1816,1.8007782180973209e-06,0.0
1817,2.143814712085579e-06,0.0
1818,2.3794670978016796e-06,0.0
1819,2.0391567432387347e-06,0.0
1820,2.1513931045546997e-06,0.0
1821,2.5146795143982104e-06,0.0
1822,1.8727850914501687e-06,1.0025615893027862e-09
1823,2.158378925809501e-06,0.0
1824,1.5334846779069267e-06,0.0
1825,2.2048829855236818e-06,0.0
1826,1.900762991891014e-06,0.0
1827,1.8987582274254677e-06,0.0
1828,1.9307693102099677e-06,0.0
1829,2.28217953690546e-06,0.0
1830,1.992391998051346e-06,0.0
1831,1.955137161058218e-06,0.0
1832,1.9429036878237937e-06,0.0
1833,1.8580140394020006e-06,0.0
1834,2.193614843770675e-06,0.0
1835,1.943713634489086e-06,0.0
1836,2.4510575968861303e-06,0.0
1837,2.551458574084897e-06,0.0
1838,1.9384648972664564e-06,0.0
1839,1.5052646595847818e-06,0.0
1840,2.01728029924908e-06,0.0
1841,2.4314617292908736e-06,0.0
1842,2.3002640014979647e-06,6.708265054555795e-10
1843,3.0154780477631427e-06,0.0
1844,2.6970790502067743e-06,3.841992946007622e-09
1845,2.764445031333551e-06,0.0
1846,2.292037162066052e-06,5.854501328173001e-10
1847,1.8239882173531896e-06,0.0
1848,1.82546083393742e-06,0.0
1849,1.6432032783342265e-06,1.6758829879393033e-09
1850,2.0591025124971907e-06,0.0
1851,2.5804203560575445e-06,0.0
1852,2.563852793180388e-06,0.0
