year,dernier_ADJ aliment_NOUN,dernier_ADJ ralliement_NOUN
1800,2.829747991484055e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,8.951360541686881e-09,0.0
1803,1.950339267864365e-08,0.0
1804,6.426812149129546e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,2.305335300434308e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,2.039466551195801e-08,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,2.0130190847567064e-08,0.0
1814,4.090680150170556e-08,0.0
1815,5.394447111228828e-09,0.0
1816,4.1716869958463576e-08,0.0
1817,3.7364962679475866e-08,0.0
1818,1.0729059418679299e-08,0.0
1819,3.726378139390363e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,2.070912508145284e-08,0.0
1822,3.107940926838637e-08,0.0
1823,9.882686669016039e-09,0.0
1824,2.0210670470532932e-08,0.0
1825,3.434122675116669e-08,0.0
1826,6.1655889282974385e-09,0.0
1827,2.5808365222701468e-08,0.0
1828,1.2841221419535032e-08,0.0
1829,4.286587973467704e-09,0.0
1830,3.965997663613052e-08,2.0873671680021744e-09
1831,9.354723218280014e-09,0.0
1832,2.841293600397421e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,3.025235173481633e-09,0.0
1836,1.6129799718100912e-08,0.0
1837,1.6003149028165353e-08,0.0
1838,2.019891809368346e-08,0.0
1839,1.2584655095793096e-08,0.0
1840,2.93005673057678e-08,0.0
1841,1.6693427085101575e-08,1.926164561183441e-09
1842,1.0733224087289273e-08,0.0
1843,5.906910960362666e-09,0.0
1844,1.756339607084101e-08,1.097712254427563e-09
1845,8.37034175305007e-09,0.0
1846,1.7563504428608212e-08,0.0
1847,1.6718992412734224e-08,5.393223645455691e-10
1848,2.413566591030758e-08,8.045221711050488e-10
1849,2.9327951622803994e-08,0.0
1850,2.0366988096043315e-08,6.788996032014438e-10
1851,2.579775504329973e-09,0.0
1852,1.0416872697760482e-08,0.0
1853,2.149895550473957e-08,0.0
1854,1.6626126253527218e-08,0.0
1855,1.2205955357558196e-08,1.0613874223963649e-09
1856,3.1063134287023786e-09,0.0
1857,8.78671624349181e-09,0.0
1858,1.6149130033227266e-08,0.0
1859,8.147477359443656e-09,0.0
1860,4.119465657481669e-09,3.204028820036342e-09
1861,1.4147890858851042e-08,0.0
1862,4.517986429419807e-09,9.035972525772706e-10
1863,1.1487627737949424e-08,0.0
1864,1.2945765348604255e-08,0.0
1865,1.3649848362717876e-08,0.0
1866,6.811858188626729e-09,0.0
1867,2.0867089389753346e-08,0.0
1868,1.0373735648272486e-08,9.87974813071446e-10
1869,2.9301114867763545e-09,0.0
1870,7.454262984651905e-09,0.0
1871,3.292564798584863e-08,0.0
1872,1.814201766592305e-08,0.0
1873,1.0176207432266438e-08,0.0
1874,1.4936523129449597e-08,0.0
1875,1.4303817685856757e-08,3.432916173551348e-09
1876,1.874264654588842e-08,0.0
1877,1.1751150275074451e-08,0.0
1878,9.662541877730746e-09,0.0
1879,9.163987790827832e-09,0.0
1880,2.2462462112571302e-08,0.0
1881,2.370652651961791e-08,0.0
1882,7.986462158271479e-09,0.0
1883,1.8958017378167824e-08,0.0
1884,6.601696966868076e-09,0.0
1885,7.7347630522695e-09,0.0
1886,5.808117542471791e-09,0.0
1887,8.48760173255414e-09,0.0
1888,8.242799331981132e-09,2.53624587998047e-09
1889,7.51816386923565e-09,6.265136742733546e-10
1890,1.1797895993481688e-08,6.554386478008212e-10
1891,7.0116419337296065e-09,0.0
1892,4.387958441043338e-09,0.0
1893,5.542574843531156e-09,0.0
1894,5.671385139294216e-09,0.0
1895,1.2037228991346183e-08,0.0
1896,2.948514543632541e-09,0.0
1897,1.3984112534615178e-08,0.0
1898,6.7900258748920805e-09,0.0
1899,6.080336234504102e-09,0.0
1900,9.34389543516545e-09,0.0
1901,8.941982265753268e-09,0.0
1902,1.9641135384773634e-09,0.0
1903,1.1880484152015924e-08,0.0
1904,2.203596238814498e-08,0.0
1905,1.4450125540577119e-08,0.0
1906,6.173021205313489e-09,2.0576738091193647e-09
1907,6.1714118260169926e-09,5.142843373384665e-10
1908,1.1296195090437777e-08,0.0
1909,4.400786846048277e-09,0.0
1910,7.481810726517324e-09,0.0
1911,1.0640748726586935e-08,0.0
1912,7.814131564032323e-09,5.209421227725386e-10
1913,5.833288518886093e-09,0.0
1914,5.357394972094198e-09,4.018046340092951e-09
1915,2.3561523843085297e-09,0.0
1916,1.0987461607214755e-08,1.0987462051303964e-09
1917,7.676496771580332e-09,1.0966424435210342e-09
1918,8.040463406189247e-09,0.0
1919,7.366278698128781e-09,0.0
1920,9.086678076641874e-09,0.0
1921,6.815472630705699e-09,7.572747762196741e-09
1922,3.6889677978990676e-09,0.0
1923,9.554353752605493e-09,0.0
1924,6.445812328337297e-09,0.0
1925,4.399271169575059e-09,0.0
1926,7.802296586589819e-09,0.0
1927,6.689535148041159e-09,0.0
1928,1.1426041446327417e-08,0.0
1929,7.798284684668033e-09,0.0
1930,1.05036033204442e-08,0.0
1931,3.4216069977333063e-09,0.0
1932,6.575722188983946e-09,0.0
1933,2.2941324395731044e-09,0.0
1934,1.1981580172459871e-08,0.0
1935,5.98414207075848e-09,1.196828414151696e-09
