year,premier_ADJ emplacement_NOUN,premier_ADJ remplacement_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,2.9091921760482364e-08,0.0
1803,9.751696339321825e-09,1.950339223455444e-09
1804,3.460591457837836e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,3.840352036377226e-08,6.7770917766551975e-09
1810,2.106114038724627e-08,0.0
1811,2.757784400841956e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,6.614205716459765e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,4.045835311217161e-08,2.697223555614414e-09
1816,6.952811659743929e-09,4.6352077731626196e-09
1817,1.8682481339737933e-08,1.0898113522728181e-08
1818,9.536941902865692e-09,1.1921176934492905e-08
1819,2.898294049202832e-08,2.070210003424222e-09
1820,2.0173018810965004e-08,0.0
1821,7.88919063410276e-09,4.930744257336528e-09
1822,4.010246357211145e-09,0.0
1823,4.941343334508019e-09,0.0
1824,7.57900142644985e-09,5.894778887238772e-09
1825,7.924898959288385e-09,7.044354433105582e-09
1826,2.2019960965735663e-08,6.1655889282974385e-09
1827,1.2904182056239222e-08,1.8434546111834038e-09
1828,2.8434133270138773e-08,4.586150570418113e-09
1829,1.8860987438529264e-08,2.571952872898464e-09
1830,3.652892388572582e-08,0.0
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,8.117981842303834e-09,0.0
1833,1.50587169400751e-08,1.1583628500844156e-09
1834,2.14694217959277e-08,8.401078055442213e-09
1835,2.8739734148075513e-08,5.294161553592858e-09
1836,1.6129799718100912e-08,0.0
1837,2.2265250976261086e-08,9.74104708006962e-09
1838,1.7674054220151447e-08,3.787297142565649e-09
1839,2.6567605004856887e-08,2.7965900706306e-09
1840,2.1019973317493168e-08,1.0828470564661075e-08
1841,1.6051371787284552e-08,1.926164561183441e-09
1842,2.0795621225033756e-08,6.708265054555795e-10
1843,1.9492807368237663e-08,3.5441467538532834e-09
1844,2.305195678786731e-08,1.4270259640625227e-08
1845,3.013322924516615e-08,5.022205318283568e-09
1846,2.1661655580373917e-08,1.1123552745573306e-08
1847,3.182001862001016e-08,2.6966118227278457e-09
1848,3.378993085334514e-08,1.689496542667257e-08
1849,1.1731181359664333e-08,0.0
1850,1.765138968323754e-08,9.504594444820214e-09
1851,1.0319102017319892e-08,6.449438760824933e-10
1852,2.278690836021724e-08,0.0
1853,2.7470886010405593e-08,5.971931837933653e-10
1854,2.338049043260071e-08,0.0
1855,2.7065379271107304e-08,0.0
1856,2.329735160344626e-08,1.0354378465748937e-09
1857,2.5871997877402464e-08,2.4407544874094356e-09
1858,1.0276719919488642e-08,4.893676019968041e-10
1859,1.2730433596175317e-08,5.092173349652285e-10
1860,4.7602711106264906e-08,5.034902272882391e-09
1861,1.9807048445841247e-08,0.0
1862,2.4848924695675123e-08,0.0
1863,2.2475793670651e-08,4.994620828036034e-10
1864,2.349416661218129e-08,4.794727948009836e-10
1865,1.5061902058910448e-08,1.4120533631256649e-09
1866,2.1895258328630263e-08,1.4596839292835284e-09
1867,2.6690463172940326e-08,4.85281148598915e-10
1868,4.297690381349639e-08,0.0
1869,2.9301114534696637e-08,9.767038289254515e-10
1870,3.1537268796455464e-08,0.0
1871,2.3366590440332402e-08,0.0
1872,3.749350341308855e-08,3.628403577593531e-09
1873,2.7535620006347017e-08,5.986004469882289e-10
1874,2.8080663128093875e-08,1.1949218281515073e-09
1875,3.604562226477981e-08,5.149374260327022e-09
1876,2.2974856461743798e-08,1.269663130187837e-08
1877,3.0924081073635534e-08,1.2369631985365004e-09
1878,3.5026715750063886e-08,2.4156354694326865e-09
1879,1.7717043832021773e-08,0.0
1880,1.5402831010646878e-08,5.776061406947974e-09
1881,2.091752193678076e-08,4.183504653809678e-09
1882,2.5956001792337702e-08,2.6621540527571597e-09
