year,dernier_ADJ emplacement_NOUN,dernier_ADJ remplacement_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,6.798221985349073e-09,0.0
1809,1.3554183553310395e-08,0.0
1810,0.0,0.0
1811,4.262030373070047e-08,0.0
1812,0.0,0.0
1813,5.463909147351842e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,3.113746815941454e-09,0.0
1818,4.768470951432846e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,1.0679833017945839e-08,0.0
1821,3.94459531705138e-09,0.0
1822,1.5038423839541792e-08,0.0
1823,3.9530747564242574e-09,0.0
1824,3.3684450784221553e-09,0.0
1825,0.0,0.0
1826,2.025836387531399e-08,0.0
1827,8.295545583791863e-09,0.0
1828,2.7516904310687096e-09,0.0
1829,1.2859763920403111e-08,0.0
1830,2.817945699007396e-08,3.1310507520032616e-09
1831,1.4032085715598441e-08,0.0
1832,2.841293600397421e-08,8.117981842303834e-09
1833,3.4750886612755494e-09,0.0
1834,2.8003592333902816e-08,0.0
1835,7.563087933704082e-10,0.0
1836,3.36037508930076e-09,6.720750067579218e-10
1837,2.0873671680021744e-09,0.0
1838,4.418513555037862e-09,0.0
1839,6.292327547896548e-09,2.7965900706306e-09
1840,9.554533164646273e-09,1.2739377330817092e-09
1841,6.420548537278137e-09,0.0
1842,5.366612043644636e-09,0.0
1843,9.451057714215949e-09,0.0
1844,7.683985892015244e-09,0.0
1845,1.3950569588416784e-08,0.0
1846,9.367202125076801e-09,0.0
1847,7.550513103637968e-09,0.0
1848,8.04522137798358e-09,0.0
1849,7.54147322368226e-09,0.0
1850,1.968808760466345e-08,0.0
1851,1.5478653025979838e-08,0.0
1852,5.208436348880241e-09,0.0
1853,7.166318205520383e-09,0.0
1854,1.0391328908454511e-09,0.0
1855,2.653468555990912e-09,0.0
1856,1.2425253714809514e-08,0.0
1857,4.881509085841174e-10,0.0
1858,2.104280660830682e-08,4.404308473482388e-09
1859,1.884104072757964e-08,0.0
1860,1.5104706818647173e-08,0.0
1861,7.073945429425521e-09,0.0
1862,1.536115412648087e-08,0.0
1863,1.4484400345793347e-08,0.0
1864,9.109982990196386e-09,4.794728170054441e-09
1865,4.706844247692743e-09,0.0
1866,3.4059290943133647e-09,0.0
1867,2.038180824115443e-08,0.0
1868,9.87974813071446e-10,0.0
1869,1.12320943657096e-08,0.0
1870,1.6055336615750093e-08,0.0
1871,6.37270636261178e-09,0.0
1872,1.2094679036067646e-08,0.0
1873,1.496501056408306e-08,0.0
1874,5.974609140757536e-10,0.0
1875,1.6592428764283795e-08,0.0
1876,8.464420275799966e-09,0.0
1877,1.608052180301911e-08,0.0
1878,1.0870359723469392e-08,0.0
1879,3.0546627449723474e-09,0.0
1880,8.343199908722454e-09,0.0
1881,1.1853263259808955e-08,0.0
1882,7.986462158271479e-09,1.3310770263785798e-09
1883,3.791603475633565e-09,0.0
1884,1.650424152899177e-08,0.0
1885,1.2891271161663553e-08,0.0
1886,2.0651084398082276e-08,6.453463874400711e-10
1887,7.834709769838355e-09,0.0
1888,5.706553452000662e-09,0.0
1889,1.50363277384713e-08,0.0
1890,6.554386366985909e-09,0.0
1891,5.736798147637501e-09,0.0
1892,7.522214851007902e-09,0.0
1893,1.1700991287000306e-08,0.0
1894,1.1972924873759894e-08,0.0
1895,1.3842813118003505e-08,0.0
1896,1.1794058174530164e-08,0.0
1897,2.7968225069230357e-08,0.0
1898,1.0185038590293516e-08,0.0
1899,1.6582735185011188e-08,1.6582735185011188e-09
1900,9.34389543516545e-09,0.0
1901,1.3412973842719111e-08,5.588738916095792e-10
1902,7.856454153909453e-09,0.0
1903,1.0800440541913758e-08,0.0
1904,4.299700151477737e-09,0.0
1905,1.3934049469810361e-08,0.0
