year,dernier_ADJ appel_NOUN,dernier_ADJ rappel_NOUN
1800,7.545995117652637e-08,6.288328968651058e-09
1801,2.1430643926123594e-08,0.0
1802,1.1636768704192946e-07,0.0
1803,7.606323038089613e-08,0.0
1804,9.887403562558461e-09,0.0
1805,1.421438877713399e-08,0.0
1806,8.933174200365102e-08,2.881669125542885e-09
1807,8.825561081948763e-08,0.0
1808,4.5321478125970316e-08,0.0
1809,3.162642769893864e-08,2.259030518203531e-09
1810,3.510190182964834e-08,7.020380277111826e-09
1811,2.2563690915688994e-08,0.0
1812,1.3336041604361526e-08,2.400487453257938e-08
1813,3.45088981834607e-08,0.0
1814,7.552024783308298e-08,0.0
1815,8.361393355471591e-08,5.394447111228828e-09
1816,2.7811246638975717e-08,0.0
1817,4.826307531402563e-08,1.556873407970727e-09
1818,3.457141417584353e-08,5.960588467246453e-09
1819,7.763287612760905e-08,0.0
1820,2.254631326081835e-08,1.1866481131050932e-09
1821,8.185035227370463e-08,5.9168927535324656e-09
1822,2.5064039732569654e-08,0.0
1823,4.0519015698237126e-08,0.0
1824,5.052667617633233e-09,0.0
1825,5.107157008410468e-08,0.0
1826,4.7563116112314674e-08,4.403992281964975e-09
1827,8.387718253288767e-08,0.0
1828,9.906085551847355e-08,1.8344602503717056e-09
1829,6.944272712416932e-08,0.0
1830,7.097048637660919e-08,0.0
1831,8.731075751278183e-08,0.0
1832,1.461236678323985e-07,1.3529969367098715e-09
1833,6.486831694019202e-08,1.1583628500844156e-09
1834,5.1339920759119195e-08,0.0
1835,6.201732105637348e-08,3.025235173481633e-09
1836,5.8470526198561856e-08,2.016224964762614e-09
1837,5.705470584871364e-08,6.957890930081589e-10
1838,8.710783561127755e-08,0.0
1839,1.1745678607510968e-07,3.4957374772659477e-09
1840,1.4841374129659357e-07,0.0
1841,1.0786521320582665e-07,0.0
1842,1.247737344556299e-07,0.0
1843,1.5003553788250912e-07,0.0
1844,1.1635750235550191e-07,5.488561272137815e-10
1845,1.2388106540583976e-07,1.1160455892778032e-09
1846,1.7212234126873227e-07,4.0981511517657054e-09
1847,1.0408921724547326e-07,0.0
1848,1.609044407713256e-07,4.02261068899179e-09
1849,2.086474291118634e-07,2.513824481908955e-09
1850,1.805872917870488e-07,0.0
