year,premier_ADJ aliment_NOUN,premier_ADJ ralliement_NOUN
1800,2.3266817095191072e-07,0.0
1801,1.7144515140898875e-07,0.0
1802,1.2979472785445978e-07,0.0
1803,1.5407680109547073e-07,0.0
1804,7.909923027682453e-08,0.0
1805,2.956592766167887e-07,0.0
1806,1.6425514104412287e-07,0.0
1807,1.6512339584551228e-07,0.0
1808,7.931259204951857e-08,0.0
1809,2.0331275152329908e-07,0.0
1810,5.148278958699848e-08,0.0
1811,1.0028307428910921e-07,0.0
1812,1.6536691305191198e-07,0.0
1813,6.039057609541487e-08,0.0
1814,5.664018942752591e-08,0.0
1815,1.591361922237411e-07,0.0
1816,8.343373991692715e-08,0.0
1817,9.652615062805125e-08,0.0
1818,1.096748292184202e-07,0.0
1819,1.511253344688157e-07,0.0
1820,9.137190204455692e-08,0.0
1821,5.5224333550540905e-08,0.0
1822,9.624591257306747e-08,0.0
1823,8.004976592701496e-08,0.0
1824,1.2800092008546926e-07,0.0
1825,5.723537910284904e-08,0.0
1826,7.662946188702335e-08,0.0
1827,1.0139000039544044e-07,8.295545583791863e-09
1828,1.2932945026022935e-07,2.7516904310687096e-09
1829,1.0630738245254179e-07,2.571952872898464e-09
1830,5.9489963177838945e-08,0.0
1831,4.8332740476553226e-08,0.0
1832,6.088486514954639e-08,0.0
1833,8.108539617524002e-08,3.4750886612755494e-09
1834,6.72086244435377e-08,1.8669061851994684e-09
1835,8.016873209726327e-08,0.0
1836,7.52724034214225e-08,6.720750067579218e-10
1837,6.74915412446353e-08,2.7831563720326358e-09
1838,5.302215910774066e-08,1.8936485712828244e-09
1839,7.061390050466798e-08,1.3982950353153e-09
1840,5.86011346115356e-08,0.0
1841,7.704657889462396e-08,0.0
1842,7.71450459069456e-08,6.708265054555795e-10
1843,6.084118098215185e-08,0.0
1844,7.190015338665035e-08,0.0
1845,5.4686232431322424e-08,0.0
1846,5.3861413107370026e-08,0.0
1847,6.903326266183285e-08,0.0
1848,5.148941895072312e-08,0.0
1849,8.630797054820505e-08,0.0
1850,6.924776130290411e-08,0.0
1851,3.418202609850596e-08,0.0
1852,3.841221740685796e-08,6.510545436100301e-10
1853,5.6733352238325097e-08,1.1943863675867306e-09
1854,8.157193320812439e-08,0.0
1855,7.217434472295281e-08,0.0
1856,5.7984518520015627e-08,0.0
1857,5.8089959509288747e-08,0.0
1858,5.725600971118183e-08,0.0
1859,4.786642904264227e-08,0.0
1860,4.531412045594152e-08,0.0
1861,5.0932406736592384e-08,0.0
