year,dernier_ADJ établissement_NOUN,dernier_ADJ etablissement_NOUN,dernier_ADJ rétablissement_NOUN
1800,9.432493186523061e-08,0.0,0.0
1801,1.3096504858367553e-07,0.0,0.0
1802,1.1412984690650774e-07,0.0,0.0
1803,9.751695984050457e-08,0.0,0.0
1804,1.0134588990240445e-07,0.0,7.4155526164076946e-09
1805,9.665784261869703e-08,0.0,0.0
1806,9.509508203109363e-08,0.0,0.0
1807,1.3095993267597805e-07,0.0,0.0
1808,1.4276265858370607e-07,0.0,0.0
1809,9.03612189517844e-08,0.0,4.518061036407062e-09
1810,4.212228077449254e-08,0.0,1.1700633351097167e-08
1811,1.0279014617253779e-07,0.0,1.0028307073639553e-08
1812,1.2002436733382638e-07,0.0,5.3344164641089264e-09
1813,2.300593315851529e-08,0.0,0.0
1814,4.405347908686963e-08,0.0,0.0
1815,2.4275013288388436e-07,0.0,0.0
1816,8.57513455798653e-08,0.0,2.3176038865813098e-09
1817,1.4323235575375293e-07,1.556873407970727e-09,3.113746815941454e-09
1818,5.6029534789558966e-08,1.1921177378582115e-09,2.384235475716423e-09
1819,4.864993385922389e-08,0.0,2.070210003424222e-09
1820,9.611849804969097e-08,0.0,8.306536791735653e-09
1821,1.4693617345074017e-07,2.9584464877885353e-09,6.903041693817613e-09
1822,1.0727409005539812e-07,1.0025615893027862e-09,3.0076847679083585e-09
1823,5.336650943377208e-08,9.882686891060644e-10,2.075364236020505e-08
1824,9.179012749882531e-08,0.0,0.0
1825,1.215151144151605e-07,0.0,3.522177216552791e-09
1826,1.0041102171953753e-07,8.807984341885344e-10,5.284790383086602e-09
1827,1.3918082686359412e-07,0.0,1.013900075008678e-08
1828,9.172300963200541e-08,9.172301251858528e-10,4.586150570418113e-09
1829,8.315980437600956e-08,8.57317605795771e-10,1.0287811491593857e-08
1830,1.1689256496083544e-07,0.0,0.0
1831,1.1849316905454543e-07,4.677361609140007e-09,0.0
1832,5.682587200794842e-08,0.0,0.0
1833,1.6680425574122637e-07,1.1583628500844156e-09,0.0
1834,1.4468523090727103e-07,0.0,1.8669061851994684e-09
1835,1.4067343556689593e-07,0.0,1.5126175867408165e-09
1836,1.2836632379276125e-07,6.720750067579218e-10,2.688300027031687e-09
1837,1.704683256775752e-07,2.0873671680021744e-09,6.262101948095733e-09
1838,1.3444905277992802e-07,6.312161904276081e-10,0.0
1839,2.0415107826465828e-07,6.9914751765765e-10,6.9914749545318955e-09
1840,1.0637380398748064e-07,0.0,1.9109065441114126e-09
1841,1.3290535605392506e-07,1.926164561183441e-09,0.0
1842,1.395319202401879e-07,0.0,0.0
1843,9.864541539172933e-08,0.0,0.0
