year,premier_ADJ habit_NOUN
1800,3.458580977167003e-08
1801,4.7623650800687756e-08
1802,2.2378401354217203e-09
1803,4.290746247193056e-08
1804,6.673997887673977e-08
1805,1.7057265822018053e-08
1806,1.152667650217154e-08
1807,3.9857372513552036e-08
1808,3.172503681980743e-08
1809,3.840352036377226e-08
1810,5.8503168531842675e-08
1811,5.0141537144554604e-08
1812,9.335228945417384e-08
1813,1.4378708002027452e-08
1814,1.2586708564299443e-08
1815,0.0
1816,4.6352077731626196e-09
1817,3.269434145636296e-08
1818,1.668964877410417e-08
1819,1.6561680249438382e-08
1820,2.1359666035891678e-08
1821,4.043210033444211e-08
1822,3.0076847679083585e-08
1823,2.2730180404550993e-08
1824,3.536867243525421e-08
1825,2.3774695989686734e-08
1826,1.2331177856594877e-08
1827,9.217273166939322e-09
1828,2.935136400594729e-08
1829,4.4580517055692326e-08
1830,1.9829987651931447e-08
1831,2.962329181954715e-08
1832,2.705993829010822e-08
1833,1.3900354645102198e-08
1834,1.4935249481595747e-08
1835,2.117664621437143e-08
1836,8.736974921319529e-09
1837,1.4611571286238245e-08
1838,7.574594063086693e-09
1839,2.7965900706306e-09
1840,1.9109066329292546e-08
1841,4.1091510638580075e-08
1842,4.024959032733477e-09
1843,1.8311423710670738e-08
1844,2.1405389349915538e-08
1845,2.176288982358443e-08
1846,1.4050803187615202e-08
1847,1.294373674909366e-08
1848,2.25266200692964e-08
1849,1.508294689145373e-08
1850,2.1724787302446202e-08
1851,2.3217979094880548e-08
1852,3.05995628835376e-08
1853,1.9110182103432294e-08
1854,3.065441944727354e-08
1855,1.326734277995456e-08
1856,6.73034605824796e-09
1857,1.1715622250108026e-08
1858,1.712786601437699e-08
1859,2.036869339860914e-08
1860,2.1970482100286404e-08
1861,4.1500481273715195e-08
1862,2.8915112415539568e-08
1863,2.5472565834405714e-08
1864,1.8699438775193755e-08
1865,1.694463946932956e-08
1866,8.271541895865653e-09
1867,1.261730986357179e-08
1868,6.421836395986702e-09
1869,1.025539064780645e-08
1870,6.880858549607183e-09
1871,1.0621177271019633e-09
1872,8.46627523642951e-09
1873,7.1832053083475955e-09
1874,6.572069999322139e-09
1875,5.1493745933939294e-09
1876,7.255217537860403e-09
1877,2.1028373708986692e-08
1878,1.4493813205174177e-08
1879,5.498392852132383e-09
1880,1.1552122813895949e-08
1881,1.2550513517339823e-08
1882,5.989846840748214e-09
1883,1.5166413569467352e-08
1884,3.300848483434038e-09
1885,8.379326565943757e-09
1886,1.4197620079592355e-08
1887,1.8933881795746288e-08
1888,4.4384302011479804e-08
1889,2.6313574430503195e-08
1890,1.0487018642368895e-08
1891,5.736798147637501e-09
1892,9.402768341715273e-09
1893,1.662772508570498e-08
1894,1.5123694296903523e-08
1895,5.416752824061177e-09
1896,1.4152869098893461e-08
1897,1.1070755867592652e-08
1898,1.754090050987145e-08
1899,2.3768587098516036e-08
1900,1.349673794948103e-08
1901,1.2854099562531474e-08
1902,1.1293653123800595e-08
1903,1.7280704422972804e-08
1904,8.599400302955473e-09
1905,2.0643036169332163e-09
1906,5.144184633820714e-09
1907,6.1714118260169926e-09
1908,5.40252820258047e-09
1909,1.4852655716435237e-08
1910,1.336037680488289e-08
1911,6.384448969498635e-09
1912,7.814131564032323e-09
1913,2.6514948014977335e-09
1914,6.027069343605973e-09
1915,1.1780762143587253e-08
1916,4.394984820521586e-09
1917,6.57985488317081e-09
1918,2.2972752589112133e-09
1919,7.366278753639932e-09
1920,3.028892692213958e-09
1921,7.572747429129834e-10
1922,1.3280283539529592e-08
1923,8.492758496458919e-09
1924,1.4180787211159895e-08
1925,9.898360353588487e-09
1926,6.687682962969177e-09
1927,5.574612327308159e-09
1928,7.998228634953364e-09
1929,1.0026365515614089e-08
1930,2.7309369432515496e-08
1931,7.983749661377715e-09
1932,6.575722188983946e-09
1933,9.176529758292418e-09
1934,2.3963160344919743e-09
1935,1.196828414151696e-09
1936,2.424942913137329e-09
1937,2.2664012666595568e-08
1938,6.482607339819424e-09
1939,1.3764645423464117e-08
1940,1.0143131667916805e-08
1941,1.1806010391524069e-08
1942,1.8205270180260413e-08
1943,1.7419411690866582e-08
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,3.062642939255511e-08
1947,7.152522574216391e-09
1948,6.523132700664291e-09
1949,8.835307596655184e-09
1950,6.381216888229346e-09
1951,1.0661401650402524e-08
1952,1.1599284199803606e-08
1953,8.619061908632375e-09
1954,2.9317608341017376e-09
1955,3.754243138587299e-09
1956,8.721141364631535e-09
1957,7.068030161150318e-09
1958,6.617794756635931e-09
1959,2.325224457422337e-09
1960,7.612916519406099e-09
1961,6.25334317660986e-09
1962,5.7077609305622445e-09
1963,7.759263453976928e-09
1964,8.517555549758526e-09
1965,6.5664522708175355e-09
1966,1.6617224263271169e-09
1967,7.888536934785861e-09
1968,1.7965663401398047e-09
1969,4.087581828571274e-09
1970,5.9783426265003214e-09
1971,7.193756701440179e-09
1972,6.669190977248718e-09
1973,4.410563136936219e-09
1974,7.875800456247362e-09
1975,5.140332159925265e-09
1976,1.656922776760439e-08
1977,8.815172813925187e-09
1978,6.534650598410963e-09
1979,7.022368020415115e-09
1980,5.116635559687666e-09
1981,9.488323904349727e-09
1982,3.1037510339615437e-09
1983,1.89459470334441e-09
1984,5.799008662155103e-09
1985,1.02264483547998e-08
1986,1.1389522214244607e-08
1987,8.555143260480236e-09
1988,9.594486038988492e-09
1989,1.2622680678475717e-08
1990,1.0897301838674878e-08
1991,5.275318681885466e-09
1992,8.815910668147353e-09
1993,8.862731881720265e-09
1994,5.274926717646622e-09
1995,3.795715741716776e-09
1996,2.135236876199542e-09
1997,5.274384040632185e-09
1998,1.9072516899143466e-09
1999,1.3253583119876566e-08
2000,6.185244316725402e-09
2001,1.5772362971233633e-08
2002,4.81934359086722e-09
2003,5.000307723435071e-09
2004,5.285749615779878e-09
2005,8.106749049829887e-09
2006,8.64756888319107e-09
2007,5.192823504529542e-09
2008,4.257439734089985e-09
2009,1.0490023072406984e-08
2010,3.7790344187271785e-09
2011,6.500752380844688e-09
2012,4.425528388196653e-09
2013,8.08846234434668e-09
2014,8.878325144512367e-09
2015,1.0639561953684762e-08
2016,1.4499380363020009e-08
2017,8.301517667730351e-09
2018,5.937373370734633e-09
2019,5.3570741176400816e-09
