year,dernier_ADJ apport_NOUN,dernier_ADJ rapport_NOUN
1800,0.0,6.602745656891784e-07
1801,0.0,8.024585032018194e-07
1802,0.0,9.779361107575824e-07
1803,0.0,7.937880788233542e-07
1804,0.0,9.467189343581595e-07
1805,0.0,8.01691515839309e-07
1806,2.881669125542885e-09,8.702641025593039e-07
1807,0.0,1.0078221066578408e-06
1808,0.0,7.908598025352376e-07
1809,0.0,1.0188227372864844e-06
1810,0.0,7.95643071427321e-07
1811,2.5070767684098882e-09,6.794178180058452e-07
1812,0.0,1.08555377664743e-06
1813,0.0,1.227941685444378e-06
1814,0.0,1.189443931348677e-06
1815,0.0,1.0087616146847722e-06
1816,0.0,1.1124498104919667e-06
1817,0.0,6.52329951833508e-07
1818,0.0,8.094479202469529e-07
1819,0.0,6.893799309182214e-07
1820,0.0,9.220256060871179e-07
1821,0.0,7.534177094425942e-07
1822,0.0,9.2837203169438e-07
1823,0.0,7.787557425587011e-07
1824,0.0,8.699009477197706e-07
1825,0.0,9.518683894427227e-07
1826,0.0,8.878448465310385e-07
1827,0.0,8.655019190229041e-07
1828,0.0,1.095172744047801e-06
1829,0.0,1.101653104074174e-06
1830,0.0,1.1167414899482253e-06
1831,0.0,1.290951919363792e-06
1832,0.0,1.3110540759697642e-06
1833,0.0,1.2556653627981973e-06
1834,0.0,1.3227029787010736e-06
1835,0.0,1.1397573302929231e-06
1836,6.720750067579218e-10,1.0874173348440763e-06
1837,0.0,1.4764645008824573e-06
1838,0.0,1.2068853720847983e-06
1839,0.0,1.1696738209110435e-06
1840,0.0,1.0236089864612552e-06
1841,0.0,1.4382028314940953e-06
1842,4.695785538189057e-09,1.1685797192129144e-06
1843,0.0,1.2522651049451383e-06
1844,0.0,1.43416107434291e-06
1845,6.696273757711424e-09,1.1640355870312646e-06
1846,5.269050973311096e-09,1.1662166912174143e-06
1847,5.393223645455691e-10,1.2905983872713023e-06
1848,2.413566457803995e-09,1.2494229668646994e-06
1849,8.379414495607307e-09,1.3189198977414662e-06
1850,0.0,1.2084412848167858e-06
1851,6.449438760824933e-10,1.2228136423431124e-06
1852,1.9531636308300904e-09,1.399116165146097e-06
1853,0.0,1.1806508872780341e-06
1854,0.0,1.2324115878925568e-06
1855,0.0,1.2423540063366545e-06
1856,0.0,1.2766948209730344e-06
1857,0.0,1.1329982712027231e-06
1858,0.0,1.1147793728127908e-06
1859,4.073738679721828e-09,1.0326928006065828e-06
1860,9.154367819341758e-10,9.863831422762814e-07
1861,1.4147891747029462e-09,1.070052221496809e-06
1862,2.2589932147099034e-09,1.0251311199915847e-06
1863,2.9967726078439227e-09,1.1277853442237529e-06
1864,3.3563094525845827e-09,1.1655983840341833e-06
1865,4.706844358715045e-10,1.2209554220987684e-06
1866,1.9462451650298362e-09,1.1375802504431931e-06
1867,0.0,1.111779148743608e-06
1868,6.421836395986702e-09,1.1539545514693827e-06
1869,4.883519144627257e-10,1.1080704958033039e-06
1870,3.4404292748035914e-09,1.1680257916424353e-06
1871,2.1242354542039266e-09,1.1938203243744283e-06
1872,6.652073114565837e-09,9.373375755572511e-07
1873,1.1972008939764578e-09,9.76915890404939e-07
1874,0.0,1.1871548242226027e-06
1875,2.2886108563824337e-09,1.1111206177361055e-06
1876,6.04601479992084e-10,1.1300002213943117e-06
1877,3.710889595609501e-09,1.1992357986656543e-06
1878,1.8117265465633636e-09,1.002488733803375e-06
1879,1.832797580370027e-09,1.0630225588670328e-06
1880,6.417846254436199e-10,1.0871831115366604e-06
1881,1.3945015142624584e-09,1.1623170053098875e-06
1882,0.0,1.0761758275634747e-06
1883,1.8958017378167824e-09,1.118522988008408e-06
1884,3.9610181801208455e-09,9.8563337047608e-07
