year,dernier_ADJ est_NOUN,dernier_ADJ reste_NOUN
1800,3.144164484325529e-09,4.4018303668735825e-08
1801,0.0,7.143547975374531e-09
1802,0.0,1.3427040812530322e-08
1803,0.0,1.950339267864365e-08
1804,0.0,4.449331569844617e-08
1805,0.0,0.0
1806,2.881669125542885e-09,1.152667650217154e-08
1807,2.8469551160981155e-09,6.263301344233696e-08
1808,2.2660739951163578e-09,4.5321478125970316e-08
1809,0.0,3.388545621874073e-08
1810,7.020380277111826e-09,2.8081521108447305e-08
1811,0.0,3.259199843341776e-08
1812,0.0,2.1337665856435706e-08
1813,0.0,4.601186631703058e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.5493642752394408e-08
1817,0.0,1.0898113522728181e-08
1818,0.0,1.1921176934492905e-08
1819,1.035105001712111e-09,1.3456364911235141e-08
1820,0.0,8.306536791735653e-09
1821,0.0,8.875339574387908e-09
1822,0.0,6.015369535816717e-09
1823,0.0,2.174191138237802e-08
1824,8.421112696055388e-10,9.263223965660927e-09
1825,0.0,1.0566531649658373e-08
1826,0.0,1.0569580766173203e-08
1827,0.0,9.217273166939322e-09
1828,9.172301251858528e-10,1.7427371545863934e-08
1829,0.0,1.2859763920403111e-08
1830,0.0,1.5655253093882493e-08
1831,1.5591206103948707e-09,1.7150327380477393e-08
1832,0.0,5.0060886991332154e-08
1833,0.0,6.950177322551099e-09
1834,8.401078055442213e-09,1.4935249481595747e-08
1835,0.0,4.386591001548368e-08
1836,1.3441500135158435e-09,2.1506400216253496e-08
1837,6.957890930081589e-10,1.7394727436226276e-08
1838,1.2624323808552163e-09,3.029837714052519e-08
1839,6.9914751765765e-10,1.8876983531868063e-08
1840,8.917564464638872e-09,1.592422194107712e-08
1841,6.420548537278137e-10,2.118781061710706e-08
1842,1.341653010911159e-09,8.049918065466954e-09
1843,1.1813822142769936e-09,1.3585895075607368e-08
1844,3.293136707771538e-09,1.6465683927435748e-08
1845,5.580227946389016e-10,2.511102614732863e-08
1846,5.854501328173001e-10,1.5221703009160592e-08
1847,1.0786447290911383e-09,3.074137566727586e-08
1848,8.045221711050488e-10,8.84974404868899e-09
