year,premier_ADJ réveil_NOUN
1800,3.144164439916608e-08
1801,0.0
1802,2.9091921760482364e-08
1803,5.851017448321727e-09
1804,4.696516775481996e-08
1805,6.538618890772341e-08
1806,3.458002950651462e-08
1807,1.9928686256776018e-08
1808,1.5862518409903714e-08
1809,3.840352036377226e-08
1810,2.574139479349924e-08
1811,5.0141535368197765e-09
1812,3.7340914360584065e-08
1813,3.4508900625951355e-08
1814,2.2026739543434815e-08
1815,2.6972236000233352e-08
1816,1.622322720606917e-08
1817,2.1796227045456362e-08
1818,1.4305412854298538e-08
1819,3.415846450138815e-08
1820,6.170570543417853e-08
1821,5.029358973729359e-08
1822,5.213320264374488e-08
1823,7.412015179397713e-08
1824,3.115811608722652e-08
1825,4.6668848341369085e-08
1826,2.9947145208097936e-08
1827,1.935627302884768e-08
1828,3.210305266065916e-08
1829,3.943661042171698e-08
1830,6.053365098068753e-08
1831,3.274153215215847e-08
1832,6.088486514954639e-08
1833,4.51761508202253e-08
1834,7.934351486937885e-08
1835,2.7227116561334697e-08
1836,7.258410050781094e-08
1837,4.731365876864402e-08
1838,4.86036455527028e-08
1839,5.942753844578874e-08
1840,9.618230051300358e-08
1841,9.052973126699726e-08
1842,4.8970335342346516e-08
1843,5.788772755588312e-08
1844,4.7201625830162186e-08
1845,5.9150416120701266e-08
1846,6.088681381299921e-08
1847,6.849393763275202e-08
1848,6.275272873557114e-08
1849,9.887709495615127e-08
1850,6.042206734946376e-08
1851,4.837079048414239e-08
1852,5.7292800947905675e-08
1853,6.867721547010319e-08
1854,4.2604447525462774e-08
1855,8.331891265811464e-08
1856,9.318940530356201e-08
1857,1.0885765266976932e-07
1858,5.970284866485542e-08
1859,1.1406468214403276e-07
1860,7.415037925340151e-08
1861,1.2450144853959344e-07
1862,1.0797987581856461e-07
1863,5.593975471729351e-08
1864,1.0452506693514607e-07
1865,7.295609094626343e-08
1866,7.103794824603327e-08
1867,8.15272365173314e-08
1868,6.471234770266676e-08
1869,1.0108884396231588e-07
1870,1.1926821574803625e-07
1871,7.11618901583222e-08
1872,7.438227100919903e-08
1873,7.602225743363888e-08
1874,4.839433298542417e-08
1875,7.78127668965567e-08
1876,6.408775732325012e-08
1877,5.009701053992899e-08
1878,5.012443771157393e-08
1879,5.498392852132383e-08
1880,4.4283140043788194e-08
1881,6.205531605241177e-08
1882,1.1247601205965907e-07
1883,5.118664719860888e-08
1884,6.931782081665006e-08
1885,8.121500627567002e-08
1886,7.292414494486366e-08
1887,9.401651612783724e-08
1888,4.501836570192097e-08
1889,4.9494581766396095e-08
1890,7.144281211068915e-08
1891,7.585322181480336e-08
1892,1.1722118387069713e-07
1893,6.651090023179762e-08
1894,4.915200690902566e-08
1895,5.055636176365397e-08
1896,3.6561580596394805e-08
1897,5.47711082043989e-08
1898,4.41351670765755e-08
1899,5.472302611053692e-08
1900,5.658247970163899e-08
1901,5.8122886281708475e-08
1902,4.7138726089190897e-08
1903,5.1842116155498275e-08
1904,3.547252447333449e-08
1905,6.60577150757291e-08
1906,6.687439846331245e-08
1907,5.4514140201966654e-08
1908,4.518478036175111e-08
1909,3.190570507793922e-08
1910,3.2064905286510736e-08
1911,3.4582432695273724e-08
1912,4.5321965458366975e-08
1913,3.606032961123162e-08
1914,4.888622839871459e-08
1915,5.772573163920214e-08
1916,6.26285339144772e-08
1917,3.728584374584898e-08
1918,3.5607765624945387e-08
1919,6.997964541177737e-08
1920,5.7548960707975994e-08
1921,4.240738604721628e-08
1922,4.131643949190078e-08
1923,2.866305948145964e-08
1924,3.996403552530836e-08
1925,4.9491799103407175e-08
1926,3.343841403768977e-08
1927,4.1252132376712325e-08
1928,3.999114284169991e-08
1929,4.67897081080082e-08
1930,2.8359729675742074e-08
1931,4.1059283972799676e-08
1932,2.6302887090601246e-08
1933,2.408838994938378e-08
1934,2.875579241390369e-08
1935,2.0346083040578833e-08
1936,2.5461901032031165e-08
1937,3.27369078512163e-08
1938,2.852347158466273e-08
1939,2.141166977054354e-08
1940,2.282204625281281e-08
1941,1.4757512545315876e-08
1942,3.6410540360520827e-08
1943,2.0322646676618206e-08
1944,9.960876923287287e-08
1945,3.267756198965799e-08
1946,6.403707963897887e-08
1947,3.337843867967649e-08
1948,2.5005341797168512e-08
1949,2.4542520460357764e-08
1950,5.317680873417885e-08
1951,3.731490494374157e-08
1952,3.374337254058446e-08
1953,2.1547654327491728e-08
1954,2.34540866728139e-08
1955,2.4402580844906652e-08
1956,1.2209598665435806e-08
1957,1.3252556385623393e-08
1958,3.14345241503311e-08
1959,2.0927018340444192e-08
1960,3.8064583929298124e-08
1961,2.1539293348915578e-08
1962,3.0441391629665304e-08
1963,2.7804029301137234e-08
1964,3.285342797809676e-08
1965,2.7907422150974526e-08
1966,3.21266337977022e-08
1967,2.3665610304757223e-08
1968,3.3236476404407966e-08
1969,3.270065584981552e-08
1970,2.989171354883524e-08
1971,2.5178147788906813e-08
1972,4.514529194921124e-08
1973,1.8193572093316845e-08
1974,2.5877630260850992e-08
1975,3.0270844941782116e-08
1976,1.5997875024709174e-08
1977,5.1128003164535585e-08
1978,1.4851478380428773e-08
1979,2.5163485961599008e-08
1980,3.354238864439196e-08
1981,3.921840768805751e-08
1982,2.5450760055001354e-08
1983,2.5261263303377746e-08
1984,2.3775934387959552e-08
1985,1.684356232267703e-08
1986,2.3977941188135787e-08
1987,2.3221103262471843e-08
1988,1.5591039570495013e-08
1989,1.5915554651968478e-08
1990,1.9070278800548124e-08
1991,2.2273567268360495e-08
1992,1.8733810946969243e-08
1993,1.8279384450536895e-08
1994,2.7957110293463927e-08
1995,2.4943274445909935e-08
1996,2.7224270615633372e-08
1997,1.5823152010874253e-08
1998,1.9549330487755867e-08
1999,1.8737825346892834e-08
2000,2.2973763891265264e-08
2001,2.0153573698777905e-08
2002,3.1982916981476706e-08
2003,2.708499868830927e-08
2004,2.7309705080691415e-08
2005,1.6663873392275264e-08
2006,2.6354495807900946e-08
2007,2.1170741743015142e-08
2008,1.958422338188548e-08
2009,2.6701878486079522e-08
2010,3.3538931132337524e-08
2011,2.2561435331081015e-08
2012,3.676593030021991e-08
2013,4.992533852998804e-08
2014,5.067141746473158e-08
2015,5.186786440625202e-08
2016,6.649001527136988e-08
2017,5.131846991801581e-08
2018,5.008045272925088e-08
2019,5.408094128078744e-08
