year,premier_ADJ envoi_NOUN,premier_ADJ renvoi_NOUN
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,9.524730160137551e-08,3.333655484993869e-08
1802,1.208433673127729e-07,8.951360541686881e-09
1803,1.0336798084153997e-07,0.0
1804,1.557266102736321e-07,9.887403784603066e-09
1805,7.675770063997334e-08,1.7057265822018053e-08
1806,1.2967511509032192e-07,0.0
1807,1.195721210933698e-07,5.693910232196231e-09
1808,1.2010191596800723e-07,2.2660739951163578e-09
1809,1.2876473931555665e-07,0.0
1810,8.89248141788812e-08,3.2761775514700275e-08
1811,9.526891631139733e-08,0.0
1812,8.001624962616916e-08,0.0
1813,7.189353823378042e-08,0.0
1814,5.97868634599763e-08,1.5733385705374303e-08
1815,7.282503844407984e-08,2.697223555614414e-09
1816,3.476405652236281e-08,0.0
1817,8.095741643732168e-08,6.227493631882908e-09
1818,3.9339884239097955e-08,0.0
1819,9.626476549229324e-08,5.175524897538253e-09
1820,1.3171793966648693e-07,2.3732962262101864e-09
1821,8.185035305086075e-08,7.297501269931672e-08
1822,7.719724237631453e-08,1.0025615893027862e-09
1823,1.087095569118901e-07,1.087095569118901e-08
1824,8.589534861158654e-08,2.189489300974401e-08
1825,8.012953145453139e-08,3.522177394188475e-08
1826,5.549030035467695e-08,1.7615968683770689e-09
1827,8.20337291429496e-08,5.530363722527909e-09
1828,7.33784091266898e-08,1.6510142586412258e-08
1829,6.086955295359076e-08,1.457439946506156e-08
1830,4.905312778191728e-08,1.1480519646056564e-08
1831,1.4032085005055706e-07,1.870944643656003e-08
1832,9.8768779821512e-08,1.3529969367098715e-09
1833,1.0772774317047151e-07,8.108539617524002e-09
1834,4.29388435918554e-08,5.600718555598405e-09
1835,9.453859917130103e-08,3.781543966852041e-09
1836,6.787957573806125e-08,2.016225053580456e-08
1837,7.931995327226105e-08,1.3915781860163179e-09
1838,9.594486272135327e-08,3.1560809521380406e-09
1839,1.0627042001942755e-07,5.5931801412612e-09
1840,1.0255198645836572e-07,7.0066574764382494e-09
1841,6.613164771351876e-08,7.704658244733764e-09
1842,9.19032316915036e-08,8.049918065466954e-09
1843,1.0218955992513656e-07,9.451057714215949e-09
1844,7.190015338665035e-08,1.5367971339941278e-08
1845,1.0267619643400394e-07,1.1160456114822637e-08
1846,6.14722637237719e-08,9.367202125076801e-09
1847,7.388716483092139e-08,1.4561703842730367e-08
1848,9.895622810063287e-08,1.850400987990497e-08
1849,1.7764359783178918e-07,1.256912263158938e-08
1850,7.87523504186538e-08,1.8330289286438983e-08
1851,1.1351012574323249e-07,3.8696632564949596e-09
1852,1.334661874352605e-07,1.9531636308300904e-09
1853,1.1048074100017402e-07,1.1943863675867306e-09
1854,1.4495903144506883e-07,9.87176262956524e-09
1855,8.544169105562105e-08,3.714855978387277e-09
1856,9.42248430391146e-08,2.329735160344626e-08
1857,1.2789554237890854e-07,1.8061584228235006e-08
1858,1.3359735362428182e-07,4.404308473482388e-09
1859,1.176292052651462e-07,6.619825576592575e-09
1860,1.130564409868029e-07,8.238931398230065e-09
1861,1.183706898055803e-07,3.772770984511453e-09
1862,1.2831081619424367e-07,7.228778020618165e-09
1863,1.1337789374010754e-07,1.9978483312144135e-09
1864,1.6493864607447506e-07,5.274200631788517e-09
1865,1.6473954644879996e-07,4.23615986733239e-09
1866,1.0947628936719411e-07,1.1190909532388105e-08
1867,1.2617309153029055e-07,9.7056229719783e-09
1868,8.397785933311752e-08,1.2349684830326169e-08
1869,1.1329764693090993e-07,9.278686263769487e-09
1870,1.6112677148072407e-07,1.8922360567330543e-08
1871,2.04988724661348e-07,0.0
1872,1.7113970474103013e-07,2.4189357183956872e-09
1873,1.514459103679755e-07,4.788803464883529e-09
1874,1.7565351129178453e-07,1.1351757756017378e-08
1875,1.853774733717728e-07,4.005069165202713e-09
1876,1.6868381313983605e-07,1.0278225381910033e-08
1877,2.4986655589032125e-07,6.80329748092845e-09
1878,1.6969839577996026e-07,3.0195443923020093e-09
1879,1.454019348257063e-07,5.498392852132383e-09
1880,1.3541655019544407e-07,3.8507077526617195e-09
1881,1.4711990381499618e-07,4.8807553554297556e-09
1882,1.9300617282169696e-07,7.986462158271479e-09
1883,1.744137563264303e-07,3.791603475633565e-09
1884,1.808865022212558e-07,8.582206056928499e-09
1885,1.4502680301120563e-07,6.445635580831777e-09
1886,1.5681917830967507e-07,1.4842966855610484e-08
1887,1.410247720823321e-07,9.140494583448344e-09
1888,1.7817127995201076e-07,6.974675947901687e-09
