year,premier_ADJ enseignement_NOUN,premier_ADJ renseignement_NOUN
1800,3.458580977167003e-08,6.288328968651058e-09
1801,4.0480102825313224e-08,7.143547975374531e-09
1802,1.5664880947952042e-08,2.2378401354217203e-09
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,7.4155526164076946e-09,0.0
1805,3.980028751016107e-08,5.685755422035754e-09
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,3.4163463169534225e-08,0.0
1808,3.6257183921861724e-08,1.8128591960930862e-08
1809,1.129515236897305e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,4.512738271955641e-08,1.504245972228091e-08
1812,2.6672082320544632e-09,1.8670457180292033e-08
1813,2.8757416448144113e-09,4.3136125782439194e-08
1814,1.5733386149463513e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,3.244645441213834e-08,0.0
1817,2.3353100786493997e-08,1.2454987263765815e-08
1818,1.1921176934492905e-08,0.0
1819,2.6912729822470283e-08,1.2421260464634543e-08
1820,8.306536791735653e-09,7.119888678630559e-09
1821,2.9584464655840748e-08,0.0
1822,2.606660132187244e-08,5.012807946513931e-09
1823,7.906149512848515e-09,0.0
1824,1.8526447931321854e-08,0.0
1825,6.163809906922779e-09,1.7610886082763955e-09
1826,1.9377566218281572e-08,4.403992281964975e-09
1827,4.516463647519231e-08,1.1060727445055818e-08
1828,6.328887991458032e-08,4.586150570418113e-09
1829,1.7146351560803907e-08,8.57317605795771e-10
1830,3.652892388572582e-08,1.2524203008013046e-08
1831,7.016042502527853e-08,2.6505050598757407e-08
1832,4.194290348369378e-08,2.705993873419743e-09
1833,6.023486831541192e-08,1.2741991461950875e-08
1834,4.1071935186209885e-08,9.334530925997342e-10
1835,4.764745398233572e-08,9.075705520444899e-09
1836,1.0417162599196672e-07,2.352262562510532e-08
1837,2.991893133241774e-08,6.957891152126194e-09
1838,7.448350913819013e-08,4.418513555037862e-09
1839,7.480878139176639e-08,9.088918062616358e-09
1840,8.471685930544481e-08,1.52872523528913e-08
1841,5.585877360658742e-08,4.494383976094696e-09
1842,4.9641161847802096e-08,4.024959032733477e-09
1843,5.7297037558967645e-08,1.1813821920725331e-08
1844,4.8299337862545144e-08,2.140538946093784e-08
1845,8.202935025680702e-08,1.562463758375543e-08
1846,7.786486522221026e-08,1.8148954339380907e-08
1847,1.1217905093729996e-07,3.5055954583640414e-08
1848,1.0539240236084879e-07,1.367687652020777e-08
1849,9.887709495615127e-08,3.4355601030711114e-08
1850,9.436704573317911e-08,2.1045888587423178e-08
1851,5.7400003861118876e-08,1.483370937194195e-08
1852,1.2174719987712024e-07,3.320378283433456e-08
1853,1.0510599679491861e-07,1.911018188138769e-08
1854,1.3404813614670275e-07,1.0910895298366086e-08
1855,1.4063382991480466e-07,2.2289135870323662e-08
1856,9.577799775506435e-08,1.346069211649592e-08
1857,1.5523198726441478e-07,1.757343248698362e-08
1858,6.361779014696367e-08,1.663849857891364e-08
1859,9.165911762920587e-08,2.9025388315062628e-08
1860,1.0252892290729676e-07,2.9751696217772405e-08
1861,9.479087437203049e-08,2.5466203368296192e-08
1862,1.0978706654896087e-07,1.626475132354699e-08
1863,1.3085907202281533e-07,1.6482248454963155e-08
1864,1.567876068975238e-07,2.0617330065419992e-08
1865,1.167297365989306e-07,4.047886292823932e-08
1866,1.2261344473074587e-07,1.751620715140234e-08
1867,1.6839255501110983e-07,2.620518202434141e-08
1868,1.1015919332280077e-07,2.9639243948054173e-08
1869,1.3820358490956863e-07,3.125452252561445e-08
