year,dernier_ADJ homme_NOUN,dernier_ADJ rhum_NOUN
1800,1.792173778270012e-07,0.0
1801,1.857322473597378e-07,0.0
1802,1.2308120744819462e-07,0.0
1803,1.0531832117521844e-07,0.0
1804,7.662737999680758e-08,0.0
1805,7.675770063997334e-08,0.0
1806,1.0374009207225754e-07,0.0
1807,1.679703558465917e-07,0.0
1808,8.157866204783204e-08,0.0
1809,1.0165637576164954e-07,0.0
1810,1.2402671734079718e-07,0.0
1811,3.359482860787466e-07,0.0
1812,1.360276140616179e-07,0.0
1813,1.1790540810352468e-07,0.0
1814,4.405347908686963e-07,0.0
1815,3.425473948936997e-07,0.0
1816,2.062667512348071e-07,0.0
1817,4.3748141820287856e-07,0.0
1818,1.5378319062619994e-07,0.0
1819,1.5423064958497434e-07,0.0
1820,2.942887311618847e-07,0.0
1821,1.3806084098177962e-07,0.0
1822,2.2858404236103524e-07,0.0
1823,1.561464548771596e-07,0.0
1824,1.549484673901702e-07,0.0
1825,1.78750487078716e-07,0.0
1826,2.1931881688530552e-07,0.0
1827,2.608488376409923e-07,0.0
1828,2.2196969418075696e-07,0.0
1829,2.3061843085203648e-07,0.0
1830,2.661393025960024e-07,0.0
1831,4.038122385363607e-07,0.0
1832,2.36774463369116e-07,0.0
1833,2.53681467832223e-07,0.0
1834,2.7350175701990054e-07,0.0
1835,3.8269223523457185e-07,0.0
1836,2.432911587746389e-07,0.0
1837,2.1012830309086183e-07,0.0
1838,3.5853078395042814e-07,0.0
1839,2.9014620928080603e-07,0.0
1840,2.4395907582963616e-07,0.0
1841,2.626004489414413e-07,0.0
1842,2.1198117172716024e-07,6.708265054555795e-10
1843,2.1087672591457718e-07,0.0
1844,2.6454865675873407e-07,0.0
1845,2.5222631189203426e-07,0.0
1846,2.903832607703549e-07,0.0
1847,3.155035859236932e-07,0.0
1848,2.654923045852797e-07,0.0
1849,2.6562746158198536e-07,0.0
1850,2.7834883287169987e-07,0.0
1851,3.856764489995612e-07,0.0
1852,2.0052480143029072e-07,0.0
1853,2.5559867822266824e-07,0.0
1854,2.519897207009514e-07,0.0
1855,2.2660621112891022e-07,0.0
1856,2.1433563812678358e-07,0.0
1857,4.080941495843149e-07,0.0
1858,3.352168062020766e-07,0.0
1859,3.2029770946628844e-07,0.0
1860,5.336996480309608e-07,0.0
