year,premier_ADJ an_NOUN,premier_ADJ rang_NOUN
1800,1.2576658381391326e-08,8.973445801530033e-06
1801,5.238601819002042e-08,8.84847486304352e-06
1802,4.923248297927785e-08,8.497078852087725e-06
1803,1.755305234496518e-08,9.958432201528922e-06
1804,5.6852570651244605e-08,1.0300203030055854e-05
1805,1.1371510844071508e-08,1.0379346349509433e-05
1806,8.645007376628655e-09,8.449053893855307e-06
1807,8.540865348294346e-09,8.207771315937862e-06
1808,1.8128591960930862e-08,9.617217983759474e-06
1809,2.2590304959990704e-08,9.87648127193097e-06
1810,2.574139479349924e-08,1.0135088814422488e-05
1811,7.521229861140455e-09,1.0193773960054386e-05
1812,2.1337665856435706e-08,9.345897524326574e-06
1813,4.026038169513413e-08,1.1324670595058706e-05
1814,1.5733386149463513e-08,1.3442604540614411e-05
1815,4.315557688983063e-08,1.0198202289757319e-05
1816,1.3905623319487859e-08,9.386295459989924e-06
1817,7.784366928831332e-09,9.780278560356237e-06
1818,1.3113295338484932e-08,1.0564547665126156e-05
1819,1.3456364911235141e-08,8.512703971064184e-06
1820,7.238553223487543e-08,1.0652540368027985e-05
1821,1.577838115718322e-08,9.37827553570969e-06
1822,2.8071724500478012e-08,1.013690052786842e-05
1823,4.249555285440465e-08,9.847109140537214e-06
1824,7.242157096243318e-08,1.001017699309159e-05
1825,1.1447076175841175e-08,1.0226641279587056e-05
1826,1.1362299801032094e-07,9.143568604486063e-06
1827,4.7929820112813104e-08,9.868934284895658e-06
1828,3.0268594741755805e-08,9.213576959155034e-06
1829,6.772809124644397e-08,9.557376870361622e-06
1830,1.5655253982060913e-08,1.0328292773920111e-05
1831,1.4032085493553836e-08,1.0171703252126463e-05
1832,1.7588959622116818e-08,1.0598025255603716e-05
1833,2.7800709290204395e-08,1.1117967005702667e-05
1834,1.4935249481595747e-08,1.0537752132222522e-05
1835,4.9916380362446944e-08,9.668651728134137e-06
1836,7.661655132551459e-08,1.0077093065774534e-05
1837,6.818733033764346e-08,9.947696526069194e-06
1838,4.8603647551104245e-08,1.0128494977834634e-05
1839,2.4470162784950844e-08,1.0938162631646264e-05
1840,4.0766007458614695e-08,1.0796622518682852e-05
1841,9.630822361827995e-09,1.066838376573287e-05
1842,3.8237111255057243e-08,1.0878793545998633e-05
1843,3.8394921131335025e-08,1.0480041964910924e-05
1844,3.402907916560949e-08,1.1137937690364197e-05
1845,2.566904894196753e-08,9.79832202574471e-06
1846,2.1076203893244383e-08,1.035836885421304e-05
1847,2.6426795862732888e-08,1.0109058166563045e-05
1848,4.666228597960398e-08,1.0444307008583564e-05
1849,5.1952373070207614e-08,1.0284055861120578e-05
1850,3.055048125588655e-08,1.0245952580589801e-05
1851,2.257303499675345e-08,1.0413908967166208e-05
1852,2.7344290387532055e-08,1.075216550816549e-05
1853,2.9859659633757474e-08,1.1699014066834934e-05
1854,1.1274591571464043e-07,1.0593440492812078e-05
1855,3.502578493908004e-08,1.1656687092909124e-05
1856,2.1226476576430287e-08,1.1406900739530101e-05
1857,5.174399508867111e-08,1.136073569796281e-05
1858,3.1808895073481835e-08,1.0863471288757864e-05
1859,2.8516170758052795e-08,1.1625940715020988e-05
1860,5.53839250017063e-08,1.1640694538073149e-05
1861,1.7920662287451705e-08,1.10957198558026e-05
1862,2.8463313594961903e-08,1.1147227269248106e-05
1863,2.6471489888990618e-08,1.0947210284939501e-05
1864,2.3014694150447212e-08,1.1103151337010786e-05
1865,2.9653119071326728e-08,1.1396682566555683e-05
1866,2.8220555337021835e-08,1.0766628292913083e-05
1867,6.454239098729886e-08,1.177825834020041e-05
1868,2.321740844024589e-08,1.1736647138604894e-05
1869,6.641585770239544e-08,1.0968384231091477e-05
1870,2.6376625328339287e-08,1.1885535968758631e-05
1871,4.885741633486873e-08,9.750240678840782e-06
1872,5.1402382683640724e-08,1.1134361557196826e-05
1873,1.9155214303623325e-08,1.0421634215163067e-05
1874,5.0784177918483664e-08,1.0331891644455027e-05
1875,2.345826111138649e-08,1.0787367500597611e-05
1876,2.2974857127877613e-08,1.1037604963348713e-05
1877,3.277952487223956e-08,1.1756716958188917e-05
1878,7.005343150012777e-08,1.129430347646121e-05
1879,3.848874796652524e-08,1.0514760106161702e-05
1880,2.9522093214495726e-08,1.114266433432931e-05
1881,3.834879080955034e-08,1.0681881576601882e-05
1882,4.4591080827771634e-08,1.1079219802923035e-05
1883,2.0853818505361943e-08,1.0912234756688122e-05
1884,2.3766109080725073e-08,1.1438760338933207e-05
1885,4.060750313783501e-08,1.1170931429660413e-05
1886,3.549404986591398e-08,1.1218055988138076e-05
1887,1.958677409152898e-08,1.0053890946437605e-05
1888,1.1413106459912115e-08,1.0674424629542045e-05
1889,2.3181005281980305e-08,1.101223097066395e-05
1890,2.4906668727453507e-08,1.0874382496695034e-05
1891,2.677172439291553e-08,1.068637993739685e-05
1892,3.384996816180319e-08,1.0338030733691994e-05
1893,2.0938616174248637e-08,1.0304878742317669e-05
1894,2.5836310868498913e-08,1.0858812856895383e-05
1895,3.1898657715245804e-08,1.0228634891973343e-05
1896,3.125425251937486e-08,9.988387319026515e-06
1897,3.088158351260972e-08,1.008137951430399e-05
1898,1.0750873968845553e-08,1.0469088010722771e-05
