year,premier_ADJ appel_NOUN,premier_ADJ rappel_NOUN
1800,2.1065902444661333e-07,0.0
1801,5.000483582762172e-08,2.3811825844433088e-09
1802,7.384872446891677e-08,2.2378401354217203e-09
1803,1.3067273130218382e-07,1.3652374342143503e-08
1804,4.69651695311768e-08,0.0
1805,8.24434565060983e-08,0.0
1806,9.221341201737232e-08,0.0
1807,1.7935816742919997e-07,0.0
1808,1.0650547466184435e-07,1.3596443970698147e-08
1809,1.219876537561504e-07,0.0
1810,3.2761775514700275e-08,0.0
1811,8.774768645025688e-08,0.0
1812,1.680341199516988e-07,0.0
1813,9.777521370324394e-08,1.1502966579257645e-08
1814,3.5872119497071253e-07,1.2586708564299443e-08
1815,3.506390555685357e-07,8.091670444798638e-09
1816,2.0394914201915526e-07,2.3176038865813098e-09
1817,2.350878816059776e-07,0.0
1818,2.1577331210664852e-07,2.384235475716423e-09
1819,2.5670604486549564e-07,6.210630232317271e-09
1820,2.2308984171104385e-07,1.1866481131050932e-09
1821,2.199111861500569e-07,2.7612166775270452e-08
1822,2.3660453507545753e-07,9.023054303725075e-09
1823,2.184073792932395e-07,1.9765373782121287e-09
1824,2.602123743145057e-07,0.0
1825,2.4126913444888487e-07,5.283265824829186e-09
1826,2.6423953158882796e-07,7.927186018719112e-09
1827,1.9171928045125242e-07,1.8434546111834038e-09
1828,2.549899704717973e-07,4.586150570418113e-09
1829,2.649111365826684e-07,8.57317605795771e-10
1830,2.2126091892005206e-07,1.0436835840010872e-09
1831,3.991348762610869e-07,1.7150327380477393e-08
1832,3.3419024703107425e-07,2.841293600397421e-08
1833,2.5599820219213143e-07,9.266902800675325e-09
1834,2.4363126271964575e-07,0.0
1835,3.53196213609408e-07,1.739510224751939e-08
1836,3.3469333970970183e-07,8.064899859050456e-09
1837,2.7205354058423836e-07,2.7831563720326358e-09
1838,2.6321714585719747e-07,1.325553999897977e-08
1839,3.076249015521171e-07,1.5381244722334486e-08
1840,3.955576630687574e-07,4.458782232319436e-09
1841,4.0385251054431137e-07,2.118780972892864e-08
1842,3.508422707909631e-07,7.379091560011375e-09
1843,4.128930868319003e-07,1.1813821920725331e-08
1844,3.677336053442559e-07,8.781698035420504e-09
1845,3.655049169992708e-07,4.464182357111213e-09
1846,4.642619444439333e-07,1.1709002656346001e-09
1847,3.969412603055389e-07,2.1572894581822766e-08
1848,5.631655426441284e-07,3.700802153616678e-08
1849,5.656104917761695e-07,1.256912263158938e-08
1850,3.930828711418144e-07,1.6293590476834652e-08
1851,3.785820581470034e-07,8.384270167027807e-09
1852,3.795647955939785e-07,1.7578472011337e-08
1853,4.048969799441693e-07,1.4929829816878737e-08
1854,3.320029691167292e-07,3.63696517347023e-09
1855,3.762618518976524e-07,4.776243400783642e-09
1856,3.3910589536390034e-07,6.212626857404757e-09
1857,3.783169404414366e-07,1.2691923956253959e-08
1858,3.978558709150093e-07,2.9362056674919756e-09
1859,4.394545669583749e-07,1.3748867822016564e-08
1860,4.778580091624463e-07,3.661747127736703e-09
1861,5.121536332808319e-07,3.772770984511453e-09
1862,4.4321444647721364e-07,2.1686334505943705e-08
1863,4.989626063434116e-07,1.2986014041871385e-08
1864,3.950855784751184e-07,1.0068929134909865e-08
1865,4.843342935600958e-07,2.3534221793575227e-09
