year,premier_ADJ est_NOUN,premier_ADJ reste_NOUN
1800,0.0,8.174827570428533e-08
1801,3.5717739876872656e-08,4.524246932646747e-08
1802,4.475680270843441e-09,2.0140561218795483e-08
1803,1.950339223455444e-09,4.4857802805609026e-08
1804,1.1617699291477379e-07,4.2021465418429216e-08
1805,1.7057266488151868e-08,1.7057265822018053e-08
1806,2.881669125542885e-09,4.3225035994964855e-08
1807,0.0,1.9928686256776018e-08
1808,5.6651849433819734e-08,4.078933102391602e-08
1809,2.0331274663831778e-08,9.036122072814123e-09
1810,3.2761775070611066e-08,6.084329839950442e-08
1811,5.0141535368197765e-09,4.011322829455821e-08
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,2.8757416448144113e-09,5.7514832008109806e-08
1814,0.0,3.4613449884091096e-08
1815,8.091670444798638e-09,1.3486118000116676e-08
1816,2.3176038865813098e-09,3.9399267848239106e-08
1817,1.2454987263765815e-08,1.0898113522728181e-08
1818,0.0,4.768470951432846e-09
1819,7.24573512300708e-09,5.175524897538253e-09
1820,1.0679833017945839e-08,2.3732962262101864e-09
1821,4.930744257336528e-09,1.0847637454958203e-08
1822,2.90742860897808e-08,2.105379337535851e-08
1823,6.917880934764753e-09,8.894418535021487e-09
1824,1.0947446504872005e-08,1.2631669044083083e-08
1825,3.522177216552791e-09,5.283265824829186e-09
1826,2.642395191543301e-09,2.642395191543301e-09
1827,1.1982455028203276e-08,2.3043183361437514e-08
1828,8.255071293206129e-09,1.7427371545863934e-08
1829,5.143905745796928e-09,9.430493719264632e-09
1830,1.6698937344017395e-08,9.39315203396518e-09
1831,2.182768810143898e-08,7.795603274018958e-09
1832,2.1647951431447154e-08,1.0823975493678972e-08
1833,8.108539617524002e-09,3.4750886612755494e-09
1834,5.600718555598405e-09,1.213489042584115e-08
1835,7.563087933704082e-09,2.7983425354705105e-08
1836,2.352262562510532e-08,1.5457725766054864e-08
1837,2.01778832531474e-08,1.1828414692161004e-08
1838,1.2624323808552163e-09,1.5149188570262595e-08
1839,2.7965900706306e-09,6.292327547896548e-09
1840,2.4204816984063626e-08,3.821813088222825e-09
