year,dernier_ADJ habit_NOUN,dernier_ADJ rabbi_NOUN
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,2.4616241489638924e-08,0.0
1803,0.0,0.0
1804,1.9774807569206132e-08,0.0
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.3554183553310395e-08,0.0
1810,2.106114038724627e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,5.960588467246453e-09,0.0
1819,1.035105001712111e-09,0.0
1820,1.542642635854463e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,1.1028177482330648e-08,0.0
1823,1.1859224713361982e-08,0.0
1824,2.6947560627377243e-08,0.0
1825,6.163809906922779e-09,0.0
1826,9.688783109140786e-09,0.0
1827,1.013900075008678e-08,0.0
1828,1.1006761724274838e-08,0.0
1829,1.1145129263923081e-08,0.0
1830,3.1310507520032616e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,5.411987746839486e-09,0.0
1833,1.1583628278799551e-08,0.0
1834,2.8937046536725575e-08,0.0
1835,9.075705520444899e-09,0.0
1836,1.4785650037651976e-08,0.0
1837,1.3915782304252389e-08,0.0
1838,1.009945904684173e-08,0.0
1839,1.3283802502428443e-08,0.0
1840,1.1465439264668476e-08,0.0
1841,7.704658244733764e-09,0.0
1842,1.542900918138912e-08,0.0
1843,1.594865928211675e-08,0.0
1844,5.488561161115513e-09,0.0
1845,2.1204865419122143e-08,0.0
1846,2.2247105491146613e-08,0.0
1847,3.775256551818984e-09,0.0
1848,1.126331028444838e-08,0.0
1849,6.703531951757213e-09,0.0
1850,7.467895635215882e-09,0.0
1851,3.0957306051959677e-08,0.0
1852,1.4974254725075298e-08,0.0
1853,1.1346670270029335e-08,0.0
1854,1.2469595134234623e-08,0.0
1855,4.2455496895854594e-09,0.0
1856,1.0354378687793542e-08,0.0
1857,1.0739319655783675e-08,0.0
1858,9.297984604472731e-09,0.0
1859,1.018434669930457e-08,0.0
1860,8.238931314963338e-09,0.0
1861,8.960331143725853e-09,0.0
1862,1.2650361647104091e-08,0.0
1863,1.0988165932701577e-08,0.0
1864,5.753673537611803e-09,0.0
1865,1.3179164426446732e-08,0.0
1866,8.271541673821048e-09,0.0
1867,1.2132028714972876e-08,0.0
1868,1.1361710683388537e-08,0.0
1869,1.7580669364747337e-08,0.0
1870,6.307453670473251e-09,0.0
1871,1.911811864374613e-08,0.0
1872,7.256807155187062e-09,0.0
1873,1.1972009161809183e-08,0.0
1874,1.0156835372754358e-08,0.0
1875,1.830888685105947e-08,0.0
1876,1.6324239737741664e-08,3.627608879952504e-09
1877,1.6699003069220453e-08,0.0
1878,1.0266450800600069e-08,0.0
1879,1.4051448005147904e-08,0.0
1880,7.701415505323439e-09,0.0
