year,trop_ADV gâtée_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,1.421438877713399e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,1.0028307073639553e-08
1812,0.0
1813,2.300593315851529e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,1.97229765852569e-09
1822,2.0051231786055723e-09
1823,0.0
1824,8.421112696055388e-10
1825,1.3208164340028361e-08
1826,8.807984341885344e-10
1827,3.6869092223668076e-09
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,0.0
1833,1.1583628500844156e-09
1834,7.467624740797874e-09
1835,9.832014313815307e-09
1836,9.409050427677812e-09
1837,4.174734336004349e-09
1838,6.312161904276081e-10
1839,0.0
1840,5.095750932326837e-09
1841,5.778493683550323e-09
1842,0.0
1843,1.063243981747064e-08
1844,1.6465684371524958e-09
1845,2.7901139176833567e-09
1846,2.3418005312692003e-09
1847,4.853901280910122e-09
1848,1.045878850192139e-08
1849,4.1897072478036534e-09
1850,0.0
1851,6.449438760824933e-10
1852,7.812654523320361e-09
1853,6.569124799682413e-09
1854,4.1565315633818045e-09
1855,2.653468555990912e-09
1856,5.177189232874468e-10
1857,3.905207268672939e-09
1858,1.468102750479261e-09
1859,5.092173349652285e-10
1860,2.288591982591015e-09
1861,2.357981809808507e-09
1862,7.228778020618165e-09
1863,2.9967726078439227e-09
1864,4.315255264231155e-09
1865,2.8241067262513297e-09
1866,7.784980660119345e-09
1867,3.396968040192405e-09
1868,1.975949626142892e-09
1869,9.767038289254515e-10
1870,8.601073631098188e-09
1871,2.1242354542039266e-09
1872,1.8142017887967654e-09
1873,5.9860045809045914e-09
1874,5.377148060148329e-09
1875,1.1443054281912168e-09
1876,3.627608879952504e-09
1877,4.9478527941460015e-09
1878,7.850815109122777e-09
1879,7.94212251520321e-09
1880,1.9253538763308597e-09
1881,1.8825771164188154e-08
1882,3.9932310791357395e-09
1883,1.8958017378167824e-09
1884,6.601696966868076e-09
1885,2.5782542767416317e-09
1886,3.872078213618124e-09
1887,3.264462256069578e-09
1888,6.340614699951175e-09
1889,1.4409814674820609e-08
1890,0.0
1891,5.099376032546843e-09
1892,1.002961980134387e-08
1893,5.542574843531156e-09
1894,6.301539290376468e-10
1895,2.4074457982692365e-09
1896,2.94851448812139e-09
1897,1.3401441290028515e-08
1898,9.61920332276378e-09
1899,2.7637891975018647e-09
1900,7.267474289029963e-09
1901,8.941982265753268e-09
1902,4.419255628107521e-09
1903,2.1600881083827517e-09
1904,2.203596238814498e-08
1905,4.1286072338664326e-09
1906,6.173021371846943e-09
1907,6.685696440911215e-09
1908,2.357466755142923e-08
1909,2.0353638774395222e-08
1910,9.619471441624228e-09
1911,7.448523575703803e-09
1912,8.856016364688912e-09
1913,1.590896969716482e-09
1914,3.3483718020477227e-09
