year,en_ADP as_NOUN,en_ADP race_NOUN
1800,3.4585810571030606e-07,9.118077315406481e-08
1801,4.2861285987072506e-07,1.8811341817581706e-07
1802,3.3343818017783633e-07,3.088219386881974e-07
1803,3.003522337508002e-07,1.5992782209650613e-07
1804,2.4718509372689823e-07,2.743754521361552e-07
1805,2.7860201168294907e-07,2.3311596919484145e-07
1806,2.651135728726217e-07,2.0171684411707247e-07
1807,2.5622595423158145e-07,8.256170014320219e-08
1808,2.8099317894714204e-07,1.8128591250388126e-07
1809,2.1460790433636134e-07,2.82378806559791e-07
1810,2.808152181899004e-07,1.1466621430145096e-07
1811,2.557218179433107e-07,1.5543875520052097e-07
1812,1.9737341272474396e-07,6.934741492159446e-08
1813,2.50189524653166e-07,9.202373263406116e-08
1814,4.0277466961669006e-07,8.496028414128887e-08
1815,2.022917642285904e-07,1.8071398244501324e-07
1816,2.757948678322464e-07,9.965696534663948e-08
1817,3.720927379546879e-07,2.428722609693068e-07
1818,1.4305412698867315e-07,6.318224166079744e-08
1819,2.918996142575736e-07,1.5630085725693021e-07
1820,4.378731439658168e-07,1.495176604748849e-07
1821,4.339054879842763e-07,1.5876996428687562e-07
1822,3.8297854132451903e-07,1.87479017199621e-07
1823,3.281052071146817e-07,6.917881023582595e-08
1824,3.680026168240147e-07,1.7431703724923864e-07
1825,2.8969908849596493e-07,1.3296218526193115e-07
1826,2.8449789102324985e-07,1.1626539275777503e-07
1827,2.6084881338261923e-07,1.43789463891153e-07
1828,2.2563861046265288e-07,1.2199160909220907e-07
1829,2.777708928980438e-07,9.173298565201549e-08
1830,3.214545323260154e-07,1.4715938334575185e-07
1831,2.2451337056139664e-07,1.3564348932959547e-07
1832,3.2877825006938366e-07,9.606278439378002e-08
1833,2.9422415903646026e-07,8.340212787061319e-08
1834,3.407103701391634e-07,1.2414926686687977e-07
1835,4.3790279136146637e-07,1.414297514656937e-07
1836,3.3536543780909867e-07,1.3508707752407645e-07
1837,3.7920506068545023e-07,1.6768516963860947e-07
1838,2.7521026901844436e-07,1.6979716122023092e-07
1839,2.5868458308764275e-07,1.3353717254194208e-07
1840,3.4014138294846674e-07,8.344292296014189e-08
1841,3.820226459616549e-07,1.7592302858915332e-07
1842,4.3268309024568907e-07,1.3282364363931265e-07
1843,3.3964738710423603e-07,1.4058447833642518e-07
1844,2.6729294777538826e-07,1.2184605679976812e-07
1845,4.0456653921383534e-07,1.2946128952195934e-07
1846,2.915541785775133e-07,1.375807754389058e-07
1847,3.537954720300718e-07,6.849393940910886e-08
1848,2.5181543988894717e-07,8.849743693417622e-08
1849,2.2875802829780412e-07,9.049767868418712e-08
1850,2.8038552457587684e-07,6.721106071694294e-08
1851,2.2637530627811486e-07,1.238292242078387e-07
1852,2.793023943237216e-07,1.1393454557584448e-07
1853,2.6037622324892595e-07,7.464914708599224e-08
1854,2.9407460516717165e-07,9.092412511790826e-08
1855,3.3539842902996497e-07,8.17268315245201e-08
1856,2.8422767495150936e-07,1.1493359863834485e-07
1857,3.1192843735761144e-07,1.2350217559742305e-07
1858,3.8366420923585665e-07,1.3066114945559093e-07
1859,3.7071023051282737e-07,9.98065983193186e-08
