year,bien_ADV abaisser_VERB,bien_ADV rabaisser_VERB
1800,0.0,0.0
1801,2.3811825400343878e-08,0.0
1802,0.0,4.475680270843441e-09
1803,0.0,9.751696339321825e-09
1804,0.0,9.887403784603066e-09
1805,8.528632911009026e-09,0.0
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,8.540865792383556e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,0.0,0.0
1811,1.7549536934780008e-08,2.5070768572277302e-08
1812,8.00162425207418e-09,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,9.440030979135372e-09
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,3.113746815941454e-09,0.0
1818,0.0,1.1921177378582115e-09
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,7.119888678630559e-09,1.3053129244156025e-08
1821,9.861488514673056e-09,6.903041693817613e-09
1822,3.0076847679083585e-09,0.0
1823,5.929612356680991e-09,5.929612356680991e-09
1824,8.421112696055388e-10,8.421112696055388e-10
1825,2.3774695989686734e-08,1.7610886082763955e-09
1826,6.1655889282974385e-09,0.0
1827,1.013900075008678e-08,1.1060727445055818e-08
1828,1.8344602503717056e-09,0.0
1829,8.57317605795771e-10,6.001223074036943e-09
1830,7.305785310052215e-09,0.0
1831,3.4300654760954785e-08,0.0
1832,6.764984572527055e-09,0.0
1833,1.2741991461950875e-08,1.0425265983826648e-08
1834,2.14694217959277e-08,7.467624740797874e-09
1835,2.2689263801112247e-09,3.025235173481633e-09
1836,2.755507466645213e-08,1.3441500135158435e-09
1837,6.262101948095733e-09,4.174734336004349e-09
1838,1.64116205070286e-08,8.837027110075724e-09
1839,1.0487212875887053e-08,1.3982950353153e-09
1840,1.52872523528913e-08,6.369688665408546e-10
1841,3.852329122366882e-09,6.420548537278137e-10
1842,9.391571076378114e-09,1.341653010911159e-09
1843,1.2995204023980023e-08,4.134837805480629e-09
1844,1.5367971784030487e-08,3.841992946007622e-09
1845,3.9061593959388574e-09,5.580227946389016e-10
1846,8.781752214304106e-09,1.7563503984519002e-09
1847,3.235934187273415e-09,3.235934187273415e-09
1848,5.63165514222419e-09,2.413566457803995e-09
1849,8.379414939696517e-10,4.1897072478036534e-09
1850,5.431196825611551e-09,2.0366988096043315e-09
1851,1.096404567135778e-08,0.0
1852,5.208436348880241e-09,0.0
1853,1.0152284346531815e-08,1.7915795513800958e-09
1854,2.182179059673217e-08,5.195664454227256e-10
1855,1.0613874223963649e-08,1.0613874223963649e-09
1856,2.0708757375587084e-08,0.0
1857,8.78671624349181e-09,8.78671624349181e-09
1858,9.787352039936081e-10,5.872411001917044e-09
1859,6.619825576592575e-09,3.5645213447565993e-09
1860,1.0985241161165504e-08,3.204028820036342e-09
1861,4.102888340185018e-08,3.772770984511453e-09
1862,2.710791813242963e-09,1.8071945051545413e-09
1863,5.494082966350788e-09,2.4973103585068657e-09
1864,3.835782358407869e-09,5.753673537611803e-09
1865,3.765475486972036e-09,1.882737743486018e-09
1866,6.811858188626729e-09,6.811858188626729e-09
1867,1.2132028714972876e-08,4.85281148598915e-10
1868,1.2349684830326169e-08,4.93987406535723e-10
1869,5.371870948067681e-09,9.767038733343725e-09
1870,1.204150201772336e-08,1.1468097582678638e-09
1871,1.805600113868877e-08,0.0
1872,6.652073114565837e-09,2.4189357183956872e-09
1873,8.979006871356887e-09,6.584604861359367e-09
1874,4.779687312606029e-09,0.0
1875,1.94531928343622e-08,4.577221712764867e-09
1876,6.650616057868319e-09,6.04601479992084e-10
1877,1.0514186854493346e-08,1.2369631985365004e-09
1878,9.662541877730746e-09,6.039088673581716e-10
1879,3.665595160740054e-09,6.10932526790009e-10
1880,7.059631101924424e-09,0.0
1881,4.183504653809678e-09,1.3945015142624584e-09
1882,2.6621540527571597e-09,6.655385131892899e-10
1883,1.1374810426900694e-08,6.319338941018771e-10
1884,9.902545450302114e-09,2.6406787867472303e-09
1885,5.156508553483263e-09,6.445635580831777e-09
1886,4.5174246565693466e-09,5.808117542471791e-09
1887,1.1099172247952538e-08,1.3057849246322917e-09
1888,1.0779045211961602e-08,1.9021844099853524e-09
1889,8.14467782106476e-09,0.0
1890,9.831579994568074e-09,0.0
1891,8.286486163910922e-09,4.461953917456185e-09
1892,1.002961980134387e-08,0.0
1893,1.1085149687062312e-08,0.0
1894,8.822155450616265e-09,5.041231432301174e-09
1895,6.6204757231957956e-09,0.0
1896,1.533227589334274e-08,0.0
1897,8.157399200570126e-09,2.330685422435863e-09
1898,1.584339415217073e-08,5.6583548957434e-10
1899,1.1607914629507832e-08,1.1055156790007459e-09
1900,1.8168686111152965e-08,5.191053142894475e-10
1901,9.500856101851696e-09,5.58873880507349e-09
1902,4.419255628107521e-09,0.0
1903,9.1803746826713e-09,5.400220270956879e-10
1904,1.0749250378694342e-08,1.6123875568041512e-09
1905,9.28936660926638e-09,1.0321518084666081e-09
1906,7.201858220895474e-09,0.0
1907,9.771402353919711e-09,0.0
1908,1.964555629285769e-08,4.4202499438483756e-09
1909,9.901770070541716e-09,5.500983557560346e-10
1910,1.2825961626106164e-08,4.275320542035388e-09
1911,3.1922244847493175e-09,0.0
1912,6.772247651554153e-09,5.209421227725386e-10
1913,1.1666577037772186e-08,0.0
1914,6.696743604095445e-09,2.0090231700464756e-09
1915,0.0,4.712304768617059e-09
1916,2.197492410260793e-09,0.0
1917,0.0,0.0
1918,4.594550517822427e-09,2.2972752589112133e-09
1919,1.1970202606903513e-08,7.366278698128781e-09
1920,3.786115865267448e-09,7.572231730534895e-10
1921,1.060184651180407e-08,0.0
1922,2.3609393551282665e-08,0.0
1923,4.246379248229459e-09,1.0615948120573648e-09
1924,7.734974438733389e-09,1.289162443462999e-09
1925,1.0998178368026856e-08,0.0
