year,ancien_ADJ aide_NOUN
1800,7.545995117652637e-08
1801,8.810375362600098e-08
1802,1.3427040812530322e-08
1803,9.751696339321825e-09
1804,4.6965167976864564e-08
1805,3.1271653710973624e-08
1806,2.305335211616466e-08
1807,3.9857372513552036e-08
1808,2.2660739951163578e-08
1809,9.036122072814123e-09
1810,1.6380887757350138e-08
1811,1.504245972228091e-08
1812,1.3336041604361526e-08
1813,1.4378708002027452e-08
1814,1.9824066077589464e-07
1815,1.6992508733437717e-07
1816,1.9004352402873792e-07
1817,1.1520862897018702e-07
1818,5.6029534789558966e-08
1819,8.798392170383806e-08
1820,1.8749039831789105e-07
1821,6.015507691969901e-08
1822,1.8547389402101544e-07
1823,1.2551012673611694e-07
1824,1.8189603601115323e-07
1825,1.813921299831378e-07
1826,8.807984641645561e-08
1827,1.0968555130830282e-07
1828,2.146318441309525e-07
1829,2.914879744242427e-07
1830,1.8160094339414456e-07
1831,2.5881402243577156e-07
1832,2.056555401530602e-07
1833,1.841796983814703e-07
1834,1.792230002184425e-07
1835,1.187404805591541e-07
1836,7.796070239374231e-08
1837,1.809051671797235e-07
1838,1.641162086229997e-07
1839,1.384312078300809e-07
1840,1.1146955214424992e-07
1841,1.207063098362937e-07
1842,1.2410290439746063e-07
1843,1.092778565414676e-07
1844,1.4434915690531014e-07
1845,1.283452464861945e-07
1846,1.0186832533065626e-07
1847,1.4939229586730107e-07
1848,1.8343105123719283e-07
1849,1.5920888873921513e-07
1850,1.7583499722917395e-07
1851,1.1415506806500275e-07
1852,2.421922984385816e-07
1853,1.3138249532751445e-07
1854,1.0547198964205862e-07
1855,1.6504573707720738e-07
1856,1.2580570052378448e-07
1857,2.059996777603601e-07
1858,1.864490610792302e-07
1859,9.21683351862157e-08
1860,2.0871959005575036e-07
1861,1.061091830512062e-07
1862,1.350877880668122e-07
1863,1.3934992293407333e-07
1864,9.157930347392096e-08
1865,8.142840957070518e-08
1866,8.125573791595286e-08
1867,1.2277612704281182e-07
1868,1.328826074731282e-07
1869,1.2306468200051768e-07
1870,1.318831208685367e-07
1871,9.983906723576297e-08
1872,1.1550418044237176e-07
1873,1.6641092592806217e-07
1874,1.8999257683782744e-07
1875,1.0355963792063605e-07
1876,9.069021955632195e-08
1877,1.0390491056444517e-07
1878,1.2017786210627435e-07
1879,1.1302251812228548e-07
1880,1.2001372295955548e-07
1881,1.0389036053659595e-07
1882,1.7237446847673255e-07
1883,1.206993707203452e-07
1884,1.1817037837147382e-07
1885,1.579180707311778e-07
1886,1.645633245228595e-07
1887,1.723636147143992e-07
1888,1.4646819712638148e-07
1889,1.2029062435026106e-07
1890,1.763129960363763e-07
1891,1.2174760088967673e-07
1892,1.5420541110700015e-07
1893,1.4903368239505e-07
1894,1.9471756518285588e-07
1895,2.7866186202984977e-07
1896,2.518031333997861e-07
1897,1.6081729314887383e-07
1898,1.6182895490324256e-07
1899,1.3266188680916002e-07
1900,1.2250885605968875e-07
1901,1.2351113565234328e-07
1902,1.193198984061894e-07
1903,1.312253539165198e-07
1904,1.354405547715487e-07
1905,1.068277100668702e-07
1906,1.3426321376908135e-07
1907,1.4759960142995965e-07
1908,1.7631886706226396e-07
1909,2.03536395737558e-07
1910,1.5658361252057773e-07
1911,1.0108710557510392e-07
1912,1.8806010970706666e-07
1913,1.6704417543644823e-07
1914,1.366135711777794e-07
1915,1.6257451473933315e-07
1916,8.899844461396356e-08
1917,1.162441023438987e-07
1918,1.72295644418341e-07
1919,1.5377106571401455e-07
1920,1.4690129601646618e-07
1921,1.8174594018649515e-07
1922,1.4903429484958153e-07
1923,1.7516314221310836e-07
1924,1.7661525175682868e-07
1925,1.5177485579442873e-07
1926,1.7387976036786768e-07
1927,1.5720406865149528e-07
1928,1.0169176378749256e-07
1929,1.8381670496836477e-07
1930,2.0166918857089655e-07
1931,1.8362624398804428e-07
1932,1.6220114507081718e-07
1933,2.2138378241720602e-07
1934,1.1142869382751996e-07
1935,9.21557878896806e-08
1936,1.0184759968723256e-07
1937,8.184227118235299e-08
1938,8.42738951956079e-08
1939,7.647024968804317e-08
1940,6.339457314652464e-08
1941,9.149658097840074e-08
1942,5.158160121254696e-08
1943,7.548411673496958e-08
1944,5.7837350908584995e-08
1945,9.585417748425584e-08
1946,6.403708230351413e-08
1947,5.722018192599876e-08
1948,6.740570368535259e-08
1949,6.675565722424892e-08
1950,3.935083814354812e-08
1951,1.2153998030228763e-07
1952,5.588746065932071e-08
1953,6.895249726746044e-08
1954,6.449873679592599e-08
1955,6.194501001033359e-08
1956,4.883839466174322e-08
1957,6.361227067319675e-08
1958,7.362296960966574e-08
1959,8.913360061146847e-08
1960,6.159541843242522e-08
1961,8.75468095240528e-08
1962,5.3906629216005086e-08
1963,6.91867698687787e-08
1964,7.54412085579581e-08
1965,5.636204619685614e-08
1966,5.3175116088155505e-08
1967,8.036447174397665e-08
1968,7.859977996238499e-08
1969,8.265999207335284e-08
1970,5.7943935899418264e-08
1971,6.782684336403833e-08
1972,7.182205763456295e-08
1973,8.710861643113077e-08
1974,5.738082992090554e-08
1975,5.8257098256575546e-08
1976,6.570555999285688e-08
1977,4.407586512433781e-08
1978,6.534650631717653e-08
1979,5.6178943497187106e-08
1980,5.1734869499497904e-08
1981,4.80741773056792e-08
1982,3.972801454477093e-08
1983,6.946847486144492e-08
1984,6.204939195786352e-08
1985,5.474157860341222e-08
1986,5.3350921014327923e-08
1987,4.7053289708998136e-08
1988,5.816657328017172e-08
1989,7.957777414802081e-08
1990,6.429408272445869e-08
1991,6.740684865835789e-08
1992,6.556833653803551e-08
1993,6.757832810011521e-08
1994,3.95619498827493e-08
1995,5.314001721989925e-08
1996,4.323854585486231e-08
1997,5.37028168601239e-08
1998,7.390600398338165e-08
1999,6.672493926829226e-08
2000,6.936309571159427e-08
2001,6.834690391421816e-08
2002,6.790893158914457e-08
2003,5.166984290427834e-08
2004,7.796480297472819e-08
2005,6.350286829714946e-08
2006,7.823991049482615e-08
2007,6.710725197756062e-08
2008,7.109924560211311e-08
2009,6.341695790723634e-08
2010,5.243410239330615e-08
2011,5.162362259891751e-08
2012,5.0382938932003185e-08
2013,4.434708644751595e-08
2014,7.708985183541017e-08
2015,4.477482362652552e-08
2016,6.607574809525119e-08
2017,3.270294846036137e-08
2018,5.008045400600736e-08
2019,3.903011136507928e-08
