year,ancien_ADJ établissement_NOUN,ancien_ADJ etablissement_NOUN
1800,5.973912209356058e-08,0.0
1801,5.9529565277216534e-08,0.0
1802,9.398928568771225e-08,0.0
1803,6.631153581793114e-08,7.801356893821776e-09
1804,1.6314216111368296e-07,4.943701892301533e-09
1805,8.812921237222326e-08,2.842877711017877e-09
1806,4.034336775760039e-08,0.0
1807,4.839823830593559e-08,0.0
1808,1.11037628869326e-07,0.0
1809,1.355418248749629e-07,2.259030518203531e-09
1810,1.0296557917399696e-07,0.0
1811,1.6295999216708879e-07,0.0
1812,1.4669645054254943e-07,0.0
1813,1.3803559895109174e-07,0.0
1814,7.552024783308298e-08,0.0
1815,2.265667831125029e-07,1.0788894222457657e-08
1816,1.2978581764855335e-07,4.6352077731626196e-09
1817,4.826307531402563e-08,0.0
1818,6.199012148044858e-08,2.384235475716423e-09
1819,6.521161566297451e-08,0.0
1820,1.1035827185423841e-07,0.0
1821,1.3214393845828454e-07,0.0
1822,8.120748873352568e-08,1.0025615893027862e-09
1823,1.630643282624078e-07,0.0
1824,2.86317822784099e-08,0.0
1825,6.516027895031584e-08,8.805443041381977e-10
1826,1.418085417981274e-07,0.0
1827,1.1337245808817897e-07,9.217273055917019e-10
1828,1.1465376559272045e-07,9.172301251858528e-10
1829,1.1745251526917855e-07,0.0
1830,1.6803305413759517e-07,3.1310507520032616e-09
1831,6.392394169552063e-08,0.0
1832,6.764985016616265e-08,0.0
1833,1.5522061858064262e-07,3.4750886612755494e-09
1834,1.474855935157393e-07,0.0
1835,1.0285799589837552e-07,0.0
1836,1.0551577389605882e-07,0.0
1837,1.370704553194102e-07,6.957890930081589e-10
1838,1.0920039983375318e-07,3.1560809521380406e-09
1839,1.39130353682404e-07,6.9914751765765e-10
1840,1.4013314880712002e-07,0.0
1841,1.528090614044686e-07,0.0
1842,1.5093596061888093e-07,0.0
1843,1.1459407833758206e-07,1.1813822142769936e-09
1844,1.5148429094447025e-07,0.0
1845,1.4229581779545697e-07,5.580227946389016e-10
1846,1.820749899739127e-07,0.0
1847,1.5424618915460542e-07,1.0786447290911383e-09
1848,1.0700144681408119e-07,0.0
1849,1.2066357557571905e-07,0.0
1850,1.2152303430212896e-07,1.3577992064028876e-09
1851,1.6704046390536575e-07,1.2898877521649865e-09
1852,1.5169571554451977e-07,1.3021090872200602e-09
1853,1.2421618578173366e-07,0.0
1854,1.387242463124494e-07,0.0
1855,1.3904175943935115e-07,5.306937111981824e-10
1856,1.1596903859434349e-07,2.0708756931497874e-09
1857,1.2057327580805577e-07,9.763018171682347e-10
1858,1.2332063192843634e-07,0.0
1859,1.7262468010592613e-07,1.018434669930457e-09
1860,1.103101343602475e-07,0.0
1861,1.3864933079421604e-07,4.715963730639317e-10
1862,1.1430505253429146e-07,0.0
1863,1.5633163741313183e-07,4.994620828036034e-10
1864,1.9610437496098143e-07,4.794727948009836e-10
1865,1.463828565029246e-07,0.0
1866,1.4110277390955162e-07,4.865612912574591e-10
1867,1.358787216076962e-07,9.7056229719783e-10
1868,1.3288261113686417e-07,9.87974813071446e-10
1869,9.03451057299165e-08,4.883519144627257e-10
1870,1.118139505429383e-07,0.0
1871,8.603153389685758e-08,0.0
1872,2.068190099180356e-07,0.0
1873,1.472557094039928e-07,1.7958012854535355e-09
1874,1.0634803970788198e-07,0.0
1875,1.2587360254112667e-07,5.721527140956084e-10
1876,1.7352062231523746e-07,1.813804439976252e-09
1877,1.3606595095083662e-07,3.092407996341251e-09
1878,1.1595050336543622e-07,6.039088673581716e-10
1879,9.897106734158001e-08,6.10932526790009e-10
1880,1.4375976320479822e-07,3.2089231272180996e-09
1881,1.4990891372690385e-07,1.3945015142624584e-09
1882,1.477495521484684e-07,3.9932310791357395e-09
1883,1.1753970596828367e-07,2.5277355764075082e-09
1884,1.386356363042296e-07,7.2618666635548834e-09
1885,1.6565283728064983e-07,3.86738152613475e-09
1886,1.1099957619720158e-07,1.9360391623202133e-09
1887,9.336362527534448e-08,0.0
1888,7.735550155985038e-08,0.0
1889,1.2780878932971973e-07,0.0
1890,1.0814737549935671e-07,1.9663159434024635e-09
1891,1.2493470791241634e-07,1.2748440081367107e-09
1892,1.2537024174363864e-07,0.0
1893,9.97663467394716e-08,0.0
1894,1.1279755085524812e-07,0.0
1895,1.1314995340683254e-07,1.2037228991346183e-09
1896,1.0378771264640818e-07,1.7691086373616827e-09
1897,9.78887897407077e-08,5.826713556089658e-10
1898,1.0411372952656706e-07,5.6583548957434e-10
1899,1.2658155235101276e-07,0.0
1900,1.0330195421293098e-07,1.038210628578895e-09
1901,1.212756370883028e-07,6.147612641171918e-09
1902,1.1097241325863649e-07,9.820567914431422e-09
1903,1.1232458341225993e-07,2.1600881083827517e-09
1904,1.1931668275622087e-07,4.837162670412454e-09
1905,1.408887277953852e-07,1.5482277682110634e-09
1906,1.2397484083770394e-07,5.144184411776109e-09
1907,1.110854146446627e-07,0.0
1908,1.4586825569651296e-07,1.0313916831705683e-08
1909,1.4577606943788624e-07,4.4007870125817306e-09
1910,1.464297354480948e-07,1.4429207162436342e-08
1911,1.4897046929363e-07,2.128149656499545e-09
1912,1.4169625650595208e-07,1.354449502555255e-08
1913,1.1613547418187764e-07,2.6514948570088848e-09
1914,1.0848724496526074e-07,6.696743715117748e-10
1915,1.1780761588475741e-07,3.5342285764627945e-09
1916,8.24059682713596e-08,7.69122321386817e-09
1917,8.55381117048637e-08,1.0966424435210342e-09
1918,6.547234221443432e-08,0.0
1919,7.090043174784455e-08,6.4454939163738345e-09
1920,4.921950447211998e-08,1.514446346106979e-09
1921,9.693116670428381e-08,4.5436484574779e-09
1922,8.337067364250217e-08,7.377935484775833e-10
1923,9.872831840951335e-08,1.0615948120573648e-09
1924,7.090393328024192e-08,3.867487219366694e-09
1925,8.028670062110166e-08,4.399271169575059e-09
1926,8.805449169813073e-08,1.1146138456652466e-09
1927,8.027441822378023e-08,2.2298449753321847e-09
1928,6.855624690160766e-08,2.2852082448565625e-09
1929,6.461435475557664e-08,2.2280812750352652e-09
1930,7.142450186847782e-08,6.3021621254932825e-09
1931,7.86969636124013e-08,3.4216069977333063e-09
1932,6.027745247383365e-08,1.0959536611565568e-09
1933,7.341223806633934e-08,3.4411986593596566e-09
1934,7.428579351653752e-08,3.5944740517379614e-09
1935,9.215578700150218e-08,1.3165112555668657e-08
1936,6.911087524485993e-08,1.4549657922913184e-08
1937,1.1206095029692165e-07,3.777335588761588e-08
1938,9.464606287590271e-08,2.7226949583791793e-08
1939,5.6587986740908036e-08,2.4470480752825097e-08
1940,1.141102288215734e-07,1.2678914806940611e-08
1941,5.9030050181263505e-08,0.0
1942,6.675265740163638e-08,0.0
1943,1.0741970157823744e-07,1.1612940831184915e-08
1944,7.390327994016843e-08,0.0
1945,7.624764153391084e-08,2.178504043826024e-09
1946,7.79581839083221e-08,8.352662561605939e-09
1947,6.794896734163558e-08,5.960435700558264e-09
1948,8.371353743541476e-08,4.348755133776194e-09
1949,9.424327629403706e-08,4.908504158684934e-09
1950,7.444752725405124e-08,3.190608444114673e-09
1951,5.7571570843961695e-08,7.462981455041984e-09
1952,4.8506098693223976e-08,7.381362854275153e-09
1953,5.710128392344416e-08,5.386913803917537e-09
1954,4.8862680568362293e-08,1.5636058225965144e-08
1955,5.81907673158355e-08,1.1262729415761896e-08
1956,5.319896345667985e-08,1.5698054633972447e-08
1957,6.361226922990681e-08,6.1845263910065285e-09
1958,8.520410688106494e-08,1.4062814246429411e-08
1959,6.898165649804611e-08,3.8753737996444215e-09
1960,6.228749832581926e-08,4.152500121534786e-09
1961,5.697490479406042e-08,2.779263708063695e-09
1962,7.927445794253529e-08,2.5367825617905737e-09
1963,5.237503186705794e-08,3.2330265131719216e-09
1964,6.874884261875991e-08,6.083968218106861e-09
