year,bien_ADV éveiller_VERB,bien_ADV réveiller_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,7.143547975374531e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,1.421438877713399e-08
1806,0.0,5.76333825108577e-09
1807,0.0,8.540865792383556e-09
1808,9.064295980465431e-09,0.0
1809,0.0,9.036122072814123e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,2.8320094713762956e-08
1815,2.697223555614414e-09,1.6183340889597275e-08
1816,0.0,6.952811659743929e-09
1817,7.784366928831332e-09,1.556873407970727e-09
1818,2.384235475716423e-09,5.960588467246453e-09
1819,0.0,3.1053151161586356e-09
1820,0.0,8.306536791735653e-09
1821,8.875339574387908e-09,0.0
1822,4.010246357211145e-09,1.2030739071633434e-08
1823,0.0,0.0
1824,3.3684450784221553e-09,3.3684450784221553e-09
1825,1.7610886082763955e-09,7.044354433105582e-09
1826,8.807984341885344e-10,1.0569580766173203e-08
1827,9.217273055917019e-10,1.1060727445055818e-08
1828,5.503380862137419e-09,0.0
1829,6.858540846366168e-09,8.57317605795771e-10
1830,7.305785310052215e-09,8.349468672008697e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,6.764984572527055e-09,4.058990921151917e-09
1833,1.853380560135065e-08,3.4750886612755494e-09
1834,9.334530925997342e-10,2.0535967593104942e-08
1835,7.563087933704082e-09,1.5126175867408165e-09
1836,8.736974699274924e-09,0.0
1837,6.957890930081589e-10,3.478945576063097e-09
1838,1.1361890983607736e-08,0.0
1839,8.38977065598101e-09,9.788065469251706e-09
1840,1.1465439264668476e-08,5.095750932326837e-09
1841,1.2841097074556274e-09,7.704658244733764e-09
1842,5.366612043644636e-09,1.8783142152756227e-08
1843,1.1223130869097986e-08,0.0
1844,5.488561272137815e-10,4.9397050894128824e-09
1845,2.7901139176833567e-09,1.0602432709561072e-08
1846,2.3418005312692003e-09,7.610851504580296e-09
1847,9.168480197274675e-09,3.235934187273415e-09
1848,4.82713291560799e-09,6.43617736884039e-09
1849,4.1897072478036534e-09,3.3517659758786067e-09
1850,1.3577992064028876e-08,3.394498016007219e-09
1851,1.9348316282474798e-09,8.384270167027807e-09
1852,2.6042181744401205e-09,7.161600201754936e-09
1853,5.971931837933653e-09,1.7915795513800958e-09
1854,1.0391328686409906e-08,6.754363734984281e-09
1855,2.653468555990912e-09,3.1841622671890946e-09
1856,4.141751386299575e-09,6.212626857404757e-09
1857,2.782460128969433e-08,4.393358121745905e-09
1858,2.936205500958522e-09,9.787352039936081e-10
1859,1.2221216039165483e-08,7.638259802433822e-09
1860,4.119465657481669e-09,1.8308735638683515e-09
1861,3.772770984511453e-09,1.1789909493131745e-08
1862,1.8975542914745347e-08,5.873382225018986e-09
1863,2.4973103585068657e-09,1.4983863039219614e-09
1864,4.794728170054441e-09,8.151037178549814e-09
1865,8.47231973466478e-09,1.882737743486018e-09
1866,1.8002767276925624e-08,1.3137154475373336e-08
1867,8.249779526181555e-09,6.308654931785895e-09
1868,1.0867722721741302e-08,2.9639244392143382e-09
1869,1.953407746668745e-08,8.790334682373668e-09
1870,1.7202146374017957e-09,1.6628741050794815e-08
1871,0.0,4.248470908407853e-09
1872,3.0236697590169115e-09,1.0885210954825197e-08
1873,1.0176207432266438e-08,2.9930022904522957e-09
1874,2.3898436563030145e-09,6.572069999322139e-09
1875,1.716458086775674e-09,5.721527251978387e-09
1876,8.464420275799966e-09,1.813804439976252e-09
1877,4.329371083855449e-09,5.566334504436554e-09
1878,8.4547240319921e-09,4.831270938865373e-09
1879,1.4051448005147904e-08,4.27652757650776e-09
1880,2.5671385017744797e-09,4.492492600149944e-09
1881,1.3945015142624584e-09,3.4862537301449947e-09
1882,1.9966154951589488e-08,8.652000893505374e-09
1883,7.58320695126713e-09,1.3270612164717477e-08
1884,3.9610181801208455e-09,3.9610181801208455e-09
1885,7.090199094506033e-09,5.156508553483263e-09
1886,0.0,5.808117542471791e-09
1887,1.9586774424595887e-09,6.528924512139156e-09
1888,2.53624587998047e-09,3.1703073499755874e-09
1889,1.50363277384713e-08,3.759081934617825e-09
1890,3.2771931834929546e-09,1.3108772956016423e-09
1891,5.736798147637501e-09,1.211101796627645e-08
1892,7.522214851007902e-09,1.8805537127519756e-09
1893,6.158416554491453e-10,1.2316833108982905e-09
1894,3.150769645188234e-09,1.8904617871129403e-09
1895,3.0093072478365457e-09,1.8055843487019274e-09
1896,2.358811590497112e-09,3.5382172747233653e-09
1897,4.661370844871726e-09,8.157399200570126e-09
1898,1.6975064687230201e-09,3.3950129374460403e-09
1899,1.6582735185011188e-09,3.3165470370022376e-09
1900,1.1939421895590385e-08,1.349673794948103e-08
1901,6.147612641171918e-09,8.38310842965484e-09
1902,8.347482705062248e-09,5.892340837476695e-09
1903,8.640352433531007e-09,2.7001101354784396e-09
1904,3.2247751136083025e-09,3.7622376325430196e-09
1905,5.160759042333041e-10,5.160759042333041e-10
1906,5.144184633820714e-09,3.0865106026567446e-09
1907,3.599990305858114e-09,7.71426478252124e-09
1908,7.367083831866239e-09,3.929111258571538e-09
1909,4.400786846048277e-09,4.950885035270858e-09
1910,6.947395991829808e-09,3.206490406526541e-09
1911,4.25629931299909e-09,2.6601871816467337e-09
1912,4.167536982180309e-09,7.814131564032323e-09
1913,4.242391771214216e-09,7.42418571064718e-09
1914,7.366418142140674e-09,6.696743604095445e-09
1915,0.0,4.712304768617059e-09
1916,1.0987462051303964e-09,8.789969641043172e-09
1917,0.0,4.386569774084137e-09
1918,2.2972752589112133e-09,6.89182577673364e-09
1919,9.207848372660976e-10,9.207848372660976e-10
1920,2.2716695191604686e-09,2.2716695191604686e-09
1921,6.058197943303867e-09,2.2718242842501013e-09
1922,0.0,7.377935484775833e-10
1923,5.307974060286824e-09,2.1231896241147297e-09
1924,1.0313299547703991e-08,5.156649773851996e-09
1925,6.598906754362588e-09,5.499089184013428e-09
1926,2.229227691330493e-09,6.687683296036084e-09
1927,5.574612327308159e-09,3.3447675740205796e-09
1928,3.4278122562625413e-09,1.0283437212876834e-08
1929,1.5596569369336066e-08,2.1166771446701205e-08
1930,4.201441416995522e-09,7.352522590764465e-09
1931,0.0,1.1405356659111021e-09
1932,4.383814644626227e-09,5.4797681947604815e-09
1933,2.2941324395731044e-09,3.4411986593596566e-09
1934,3.5944740517379614e-09,1.1981580172459871e-09
1935,2.393656828303392e-09,4.787313656606784e-09
1936,4.849885826274658e-09,9.699771652549316e-09
1937,7.554670666820584e-09,1.1332006444320086e-08
1938,2.5930428915188486e-09,2.5930428915188486e-09
1939,4.588215141154706e-09,4.588215141154706e-09
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,5.9030051957620344e-09,0.0
1942,6.068423541449874e-09,0.0
1943,0.0,8.709705845433291e-09
1944,1.2852744646352221e-08,3.2131861615880553e-09
1945,4.357008087652048e-09,0.0
1946,5.568441707737293e-09,1.3921104269343232e-09
1947,5.960435700558264e-09,9.536696765621855e-09
1948,7.610321262063735e-09,1.3046265401328583e-08
1949,3.9268033269479474e-09,5.890204768377316e-09
1950,6.381216888229346e-09,8.508289184305795e-09
1951,7.462981344019681e-09,9.595261474260042e-09
1952,9.490323193972472e-09,1.0544803918932644e-09
1953,8.619061908632375e-09,7.54167928107563e-09
1954,4.886268278880834e-09,3.9090144454689835e-09
1955,3.754243138587299e-09,2.815682353940474e-09
1956,4.360570571293465e-09,1.3081712602058815e-08
1957,4.417518795207798e-09,7.951533653738352e-09
1958,6.617794756635931e-09,1.6544486891589827e-09
1959,9.300897829689347e-09,3.100299128533379e-09
1960,6.920833239831836e-09,1.3841666701708277e-09
1961,5.55852741612739e-09,8.33779090214648e-09
1962,1.2683912808952869e-09,1.2683912808952869e-09
1963,5.1728425987107585e-09,1.939815863494232e-09
