year,prochain_ADJ envoi_NOUN,prochain_ADJ renvoi_NOUN
1800,3.144164484325529e-09,0.0
1801,3.333655484993869e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,5.851017448321727e-09,0.0
1804,2.2246657849223084e-08,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,6.326631307729258e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,5.960588467246453e-09,0.0
1819,1.5526575580793178e-08,0.0
1820,1.1866481131050932e-09,0.0
1821,9.86148829262845e-10,0.0
1822,1.7043547018147365e-08,0.0
1823,2.3718449426723964e-08,0.0
1824,2.5263338088166165e-09,0.0
1825,1.3208164340028361e-08,0.0
1826,6.1655889282974385e-09,0.0
1827,2.6730091917670507e-08,0.0
1828,7.337841001486822e-09,0.0
1829,1.2002446148073886e-08,0.0
1830,3.861629238599562e-08,0.0
1831,3.897801548191637e-08,0.0
1832,9.470978667991403e-09,0.0
1833,1.7375443306377747e-08,0.0
1834,2.5203233278148218e-08,0.0
1835,1.5882484660778573e-08,0.0
1836,1.747394939854985e-08,6.72075017860152e-09
1837,1.461157062010443e-08,0.0
1838,3.3454458758797045e-08,6.312161904276081e-10
1839,2.0974425751774106e-08,0.0
1840,3.05745047057826e-08,0.0
1841,2.43980835534785e-08,5.1364388298225094e-09
1842,1.408735705865638e-08,0.0
1843,5.2571508035725856e-08,0.0
1844,4.775048401128856e-08,0.0
1845,2.4553003186156275e-08,0.0
1846,4.390875929516369e-08,0.0
1847,4.58424018745518e-08,0.0
1848,2.896279838182636e-08,8.04522137798358e-09
1849,2.3462362719328667e-08,0.0
1850,4.5486274302675156e-08,6.788996032014438e-10
1851,4.127640806927957e-08,0.0
1852,4.3620653755738203e-08,1.3021090872200602e-09
1853,6.5094056367343e-08,0.0
1854,7.014146685691003e-08,0.0
1855,6.580602018857462e-08,5.306937111981824e-10
1856,9.215397128725655e-08,0.0
1857,9.079607110606958e-08,4.881508974818871e-09
1858,6.85114609488835e-08,6.361778659424999e-09
