year,en_ADP humeurs_NOUN,en_ADP rumeur_NOUN
1800,5.973912209356058e-08,1.4463157071986643e-07
1801,6.905429472681135e-08,2.2621235018505104e-07
1802,4.699464284385613e-08,1.6112448975036386e-07
1803,7.801356893821776e-09,1.4432509942707838e-07
1804,2.7190360185613827e-08,1.2606439270257397e-07
1805,1.421438877713399e-08,2.3595885068061762e-07
1806,1.4408345627714425e-08,1.4696512096179504e-07
1807,1.4234775136401367e-08,7.686778502602465e-08
1808,9.064295980465431e-09,2.1074488643080258e-07
1809,1.581321384946932e-08,2.4623432182124816e-07
1810,2.3401267590372754e-09,1.7316938283329364e-07
1811,3.008491944456182e-08,1.780024518893697e-07
1812,2.6672082320544632e-09,2.1871107946935808e-07
1813,2.8757416004054903e-08,2.01301915581098e-07
1814,9.440030979135372e-09,3.146677158838429e-07
1815,5.394447111228828e-09,2.778140242298832e-07
1816,2.5493642752394408e-08,1.7845549393769033e-07
1817,3.113746815941454e-09,2.3975849217094947e-07
1818,2.5034472272977837e-08,1.966994318536308e-07
1819,1.8631890696951814e-08,2.4428479150628846e-07
1820,9.730514705097448e-08,2.77675667348376e-07
1821,2.859831660373402e-08,3.0176153131833416e-07
1822,1.2030739071633434e-08,3.539042268130288e-07
1823,2.174191138237802e-08,3.4095270962097857e-07
1824,4.210556348027694e-09,2.4758071504038526e-07
1825,9.68598712347557e-09,4.156169097768725e-07
1826,4.403992281964975e-09,3.038754528006393e-07
1827,1.8434546333878643e-08,2.249014556809925e-07
1828,2.384798314380987e-08,2.531555196583213e-07
1829,1.2002446148073886e-08,2.7605625518845045e-07
1830,7.305785310052215e-09,3.0893033908796497e-07
1831,1.2472964883158966e-08,3.0870589284859307e-07
1832,2.705993829010822e-08,2.597754189537227e-07
1833,1.2741991461950875e-08,3.1275797596208577e-07
1834,1.8669062740173104e-08,2.64167226760037e-07
1835,3.025235173481633e-08,3.8269223523457185e-07
1836,2.8227150394855016e-08,2.89664313868343e-07
1837,4.5226290268374214e-08,3.722471717537701e-07
1838,8.837027110075724e-09,3.610556689181976e-07
1839,1.677954131196202e-08,3.3978568581005675e-07
1840,7.0066574764382494e-09,2.7580750838751555e-07
1841,2.8250413564023802e-08,2.2600330851219042e-07
1842,4.024959032733477e-09,3.367549084032362e-07
1843,7.678984559333912e-09,2.4749957105996145e-07
1844,5.488561161115513e-09,2.4478984528286674e-07
1845,5.580227835366713e-09,2.26557247628989e-07
1846,2.517435504501009e-08,2.453035961025307e-07
1847,3.235934187273415e-09,2.0008859280551405e-07
1848,4.34441957963827e-08,2.1400289540451922e-07
1849,8.379414939696517e-10,1.40774176315972e-07
1850,3.394498016007219e-09,1.398533129304269e-07
1851,6.449438760824933e-09,1.9606294188179163e-07
1852,1.1718981340891332e-08,1.6992522944292432e-07
1853,2.8068079416243563e-08,2.5141832793451613e-07
1854,1.0391328686409906e-08,2.0990484017602284e-07
1855,8.491099379170919e-09,2.292596832376148e-07
