year,son_DET ail_NOUN,son_DET rail_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09
1801,4.7623651688866175e-09,0.0
1802,1.1189200677108602e-08,4.475680270843441e-09
1803,9.751696339321825e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,5.685755422035754e-09
1806,5.76333825108577e-09,0.0
1807,8.540865348294346e-09,0.0
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,1.1295152591017654e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,2.490997452753163e-08,0.0
1818,3.5763532135746345e-09,0.0
1819,6.210629899250364e-09,1.035105001712111e-09
1820,4.746592452420373e-09,1.1866481131050932e-09
1821,5.9168927535324656e-09,0.0
1822,2.0051231786055723e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,2.5263338088166165e-09,8.421112696055388e-10
1825,3.522177216552791e-09,0.0
1826,5.284790383086602e-09,8.807984341885344e-10
1827,7.373818444733615e-09,9.217273055917019e-10
1828,3.668920500743411e-09,0.0
1829,4.286587973467704e-09,0.0
1830,5.218417697960831e-09,0.0
1831,9.354723218280014e-09,0.0
1832,2.705993873419743e-09,6.088486514954639e-08
1833,4.6334514003376626e-09,2.3167257001688313e-09
1834,4.667265685043276e-09,1.120143711119681e-08
1835,1.5126175867408165e-09,8.31939672707449e-09
1836,9.409050427677812e-09,1.3441500135158435e-09
1837,8.349468672008697e-09,3.478945576063097e-09
1838,6.312161682231476e-09,1.4517972601879592e-08
1839,9.788065025162496e-09,3.4957374772659477e-09
1840,1.4013315119409953e-08,1.46502836528839e-08
1841,3.852329122366882e-09,1.1556987367100646e-08
1842,3.3541325272778977e-09,2.683306021822318e-09
1843,8.860366662588604e-09,1.4176586182745865e-08
1844,6.037417288329294e-09,9.330554107123135e-09
