year,on_PRON applique_VERB,on_PRON rapplique_VERB
1800,2.430439195677536e-06,6.288328968651058e-09
1801,4.119445804917632e-06,2.3811825844433088e-09
1802,2.4146295345417457e-06,0.0
1803,3.5398657018959057e-06,1.950339223455444e-09
1804,3.1812722340873734e-06,2.4718509461507665e-09
1805,3.3318526106995705e-06,5.685755422035754e-09
1806,3.3888429697981337e-06,0.0
1807,3.627020760177402e-06,0.0
1808,2.000943283064771e-06,6.798221985349073e-09
1809,3.7499906966331764e-06,4.518061036407062e-09
1810,2.78475084769525e-06,2.3401267590372754e-09
1811,3.0385771196961286e-06,0.0
1812,5.350419883143331e-06,0.0
1813,3.456641479715472e-06,0.0
1814,3.0145166647344013e-06,0.0
1815,4.20497161712774e-06,1.0788894000413052e-08
1816,4.2226741925333044e-06,2.3176038865813098e-09
1817,2.8957845756849565e-06,1.556873407970727e-09
1818,2.617890572764736e-06,4.768470951432846e-09
1819,2.42318083110149e-06,0.0
1820,2.5916394008618227e-06,2.3732962262101864e-09
1821,2.4131061024945666e-06,1.4792232327920374e-08
1822,2.5745782750163926e-06,0.0
1823,2.1900033573274413e-06,0.0
1824,2.78149349242085e-06,0.0
1825,2.2357019986429805e-06,1.7610886082763955e-09
1826,2.888138169510057e-06,8.807984341885344e-10
1827,2.3826649737657135e-06,1.8434546111834038e-09
1828,3.4386957850074396e-06,3.6689205562545624e-09
1829,2.854010432429277e-06,1.714635211591542e-09
1830,3.0308570444503857e-06,0.0
1831,2.7534069317880494e-06,0.0
1832,3.7559195220637775e-06,1.3529969367098715e-09
1833,3.4507629607105628e-06,0.0
1834,2.6650085942492296e-06,0.0
1835,2.8164940317765286e-06,2.2689263801112247e-09
1836,2.286399109152626e-06,6.720750067579218e-10
1837,3.5026022828787973e-06,1.3915781860163179e-09
1838,3.1933227546687704e-06,0.0
1839,2.9944487209832005e-06,6.9914751765765e-10
1840,2.696289243431238e-06,6.369688665408546e-10
1841,2.88218419086661e-06,0.0
1842,2.5672530625797663e-06,0.0
1843,2.4555030506689945e-06,0.0
1844,3.023648417865843e-06,1.6465684371524958e-09
1845,2.7198030068120715e-06,2.2320911785556063e-09
1846,2.9401306278487027e-06,3.5127007969038004e-09
1847,2.313153572686133e-06,5.393223645455691e-10
1848,2.946160094552397e-06,8.045221711050488e-10
1849,2.81632131304832e-06,0.0
1850,3.2424244409412495e-06,1.3577992064028876e-09
1851,3.0725127544428688e-06,1.2898877521649865e-09
1852,2.5560401297752833e-06,6.510545436100301e-10
1853,3.3962377301577362e-06,1.1943863675867306e-09
1854,2.472097207828483e-06,1.558699391779328e-09
1855,3.069532340305159e-06,2.653468555990912e-09
1856,2.7977530407952145e-06,3.6240323519898254e-09
1857,2.5569345041276392e-06,2.440754542920587e-09
1858,2.527094295601273e-06,2.4468380099840203e-09
1859,2.4162361569324275e-06,1.5276520048956854e-09
1860,2.4016484303501784e-06,1.8308735638683515e-09
1861,2.659803556070983e-06,1.8863854922557266e-09
1862,2.266221940772084e-06,9.035972525772706e-10
1863,2.1926385613824095e-06,1.9978483312144135e-09
1864,2.4534623150884727e-06,9.589455896019672e-10
1865,2.313884778004649e-06,1.4120533631256649e-09
1866,2.371986226989975e-06,4.865612912574591e-10
1867,2.673413945331049e-06,9.7056229719783e-10
1868,2.6635801191332575e-06,1.4819622196071691e-09
1869,2.5589640415546455e-06,9.767038289254515e-10
1870,2.6359423088706535e-06,5.734048791339319e-10
1871,2.3950754552970466e-06,1.0621177271019633e-09
1872,2.449172370688757e-06,1.2094678591978436e-09
1873,3.436565066294861e-06,1.1972008939764578e-09
1874,2.846901253406031e-06,5.974609140757536e-10
1875,2.80812557207355e-06,5.721527140956084e-10
1876,3.1003964409137552e-06,6.04601479992084e-10
1877,2.954486518547128e-06,6.184815992682502e-10
1878,3.769599231873144e-06,1.2078177347163432e-09
1879,2.507877923108026e-06,0.0
1880,2.761599205314269e-06,2.5671385017744797e-09
1881,2.9047465659459704e-06,6.972507571312292e-10
1882,2.54501932772655e-06,1.3310770263785798e-09
1883,2.8500218718363612e-06,0.0
1884,2.548255110923492e-06,3.9610181801208455e-09
1885,2.87281983446519e-06,1.2891271383708158e-09
1886,2.8827622884364246e-06,2.5813855497602844e-09
1887,3.5282307635498e-06,0.0
1888,2.704272134224084e-06,1.9021844099853524e-09
1889,2.7810942810901906e-06,3.132568371366773e-09
1890,3.123820533801336e-06,1.3108772956016423e-09
1891,3.0602630545217835e-06,6.374220040683554e-10
1892,2.5525381772695255e-06,3.761107425503951e-09
1893,3.190675727182679e-06,6.158416554491453e-10
1894,2.721634785984861e-06,1.2603078580752936e-09
1895,2.7824055450764718e-06,6.018614495673091e-10
1896,2.88718547380995e-06,2.94851448812139e-09
1897,2.9226794708847592e-06,1.7480140668268973e-09
1898,2.7046935429098085e-06,1.13167097914868e-09
1899,2.7162519700141274e-06,1.6582735185011188e-09
1900,2.4859953384748223e-06,4.1528426253378825e-09
1901,2.7239513258336956e-06,4.470991188387785e-09
1902,3.891890855811653e-06,9.820567692386817e-10
1903,2.5570042510025814e-06,2.1600881083827517e-09
1904,2.630341526810298e-06,1.6123875568041512e-09
1905,2.605151109946746e-06,2.0643036169332163e-09
1906,2.3884448694388993e-06,2.5720922058880547e-09
1907,2.6063929965403076e-06,1.5428530120153994e-09
1908,2.4817248061026476e-06,4.911389073214423e-10
1909,2.5117491873061226e-06,2.7504918342913243e-09
1910,2.5598481840916065e-06,1.6032452032632705e-09
1911,2.5223894510872924e-06,1.0640748282497725e-09
1912,2.3629934844393574e-06,3.125652792146383e-09
1913,2.3179367190095945e-06,0.0
1914,2.664634251914322e-06,2.6786975415582504e-09
1915,2.2041805323169683e-06,1.1780761921542648e-09
1916,2.3623044000942173e-06,0.0
1917,2.5167944954773702e-06,5.483212328627474e-09
1918,2.3512612585818715e-06,5.743188147278033e-09
1919,2.0938647367074736e-06,0.0
1920,2.2648545154879685e-06,1.514446346106979e-09
1921,2.473259229418545e-06,3.786373714564917e-09
1922,2.5394853651050653e-06,1.4755870969551665e-09
1923,2.1953781015326967e-06,4.246379248229459e-09
1924,2.3810829645753984e-06,0.0
1925,1.9235813226714527e-06,2.1996355847875293e-09
1926,2.1623508814627712e-06,1.1146138456652466e-09
1927,2.0425379432253976e-06,1.1149224876660924e-09
1928,2.117245429644754e-06,0.0
1929,2.2392217147171323e-06,0.0
1930,2.2309654355012754e-06,1.0503603542488804e-09
1931,1.981110472115688e-06,1.1405356659111021e-09
1932,2.1995790291384765e-06,2.1919073223131136e-09
1933,2.103719424439987e-06,1.1470662197865522e-09
1934,2.215394175664187e-06,1.1981580172459871e-09
1935,2.2057547539588995e-06,1.196828414151696e-09
1936,2.2321599431052164e-06,1.2124714565686645e-09
1937,2.1946318895516015e-06,0.0
1938,2.4387567805206345e-06,0.0
1939,2.2069314979944465e-06,4.588215141154706e-09
1940,2.4318158295955072e-06,5.0715658339584024e-09
1941,2.042439831484444e-06,0.0
1942,2.1421535620902432e-06,0.0
1943,2.1164585177757544e-06,0.0
1944,1.908632611957728e-06,0.0
1945,1.7079471206216112e-06,2.178504043826024e-09
1946,1.7693723748379853e-06,0.0
1947,2.1994006544900913e-06,2.3841741914054637e-09
1948,2.0634842883282545e-06,2.174377566888097e-09
1949,1.922170184798233e-06,9.817008317369869e-10
1950,2.2674590809401707e-06,5.317680518146517e-09
1951,2.1877196729747084e-06,0.0
1952,2.5370797800405853e-06,1.0544803918932644e-09
1953,2.1967833845337736e-06,2.1547654771580937e-09
1954,2.204684108164656e-06,0.0
1955,2.4637220121803693e-06,0.0
1956,2.492502346740366e-06,1.744228317335228e-09
1957,2.398712751983112e-06,0.0
1958,2.4659557880113425e-06,0.0
1959,2.3841300276217225e-06,1.5501495642666896e-09
1960,2.293564165256612e-06,2.076250060767393e-09
1961,2.231748794656596e-06,2.779263708063695e-09
1962,2.2368080294654646e-06,6.341956404476434e-10
1963,2.104700314475849e-06,2.5864211883330768e-09
1964,2.1087034554057027e-06,4.258777719368112e-09
1965,1.9294425044336094e-06,2.7360217424998723e-09
1966,2.0206544775192015e-06,1.1078149508847446e-09
1967,1.9918555267395277e-06,7.888536768252408e-09
1968,1.8598953488435654e-06,3.1439910674890825e-09
1969,1.7671979151145933e-06,3.6334062425424918e-09
1970,1.8105180004113208e-06,4.598724956395017e-09
1971,1.8868195184040815e-06,3.083038491169532e-09
1972,1.8145329647722974e-06,3.078088173236182e-09
1973,1.785175385293769e-06,0.0
1974,1.729300691977187e-06,3.937900228123681e-09
1975,1.7117305901592772e-06,5.711480177694739e-10
1976,1.7774781895241176e-06,1.142705374768127e-09
1977,1.8864469097934489e-06,5.876781838942691e-10
1978,1.520791357734197e-06,1.1881182704343018e-09
1979,1.6906351447687484e-06,1.1703946700691858e-09
1980,1.4770021437016112e-06,3.4110903546213933e-09
1981,1.394783652131082e-06,3.795329828193417e-09
1982,1.4773855525618274e-06,6.207502289967692e-10
1983,1.3874749527076347e-06,6.315315825844436e-09
1984,1.4317751606540696e-06,1.739702604197646e-09
1985,1.2175489558785557e-06,6.015558051686298e-10
1986,1.3032011594305004e-06,2.9972427317837003e-09
1987,1.3394910638453439e-06,1.8332451112712533e-09
1988,1.346825968084886e-06,1.1993107618124554e-09
1989,1.1508592621112257e-06,1.6464366536794728e-09
1990,1.1948891227575587e-06,0.0
1991,1.2027726370433811e-06,0.0
1992,1.1102537058604867e-06,2.2039776670368383e-09
1993,1.0657434756922157e-06,1.6617622278225497e-09
1994,1.1356916616023227e-06,1.5824779264761446e-09
1995,1.0584624163811895e-06,5.422450821690461e-10
1996,1.015838961393456e-06,1.067618438099771e-09
1997,1.0683024669333463e-06,4.79489448146353e-10
1998,1.0771203733384027e-06,1.9072516899143466e-09
1999,1.1329528746273354e-06,9.140402323914998e-10
2000,1.092579211103839e-06,8.836062992401139e-10
2001,1.091797955155016e-06,0.0
2002,1.1224689586697423e-06,1.7524885431718928e-09
2003,1.1138184703440857e-06,0.0
2004,1.0333640005910638e-06,1.3214373761893938e-09
2005,1.034961627510711e-06,3.6029995653663605e-09
2006,1.1110067106301358e-06,8.235779835885637e-10
2007,9.119396793266787e-07,1.5977917877663117e-09
2008,1.0460529296096865e-06,2.554463751636149e-09
2009,1.00942637004664e-06,1.907277002999308e-09
2010,1.032621156582536e-06,6.613310454817167e-09
2011,1.2351429461432417e-06,3.441574691898097e-09
2012,1.2272330707219226e-06,5.1063790973415735e-09
2013,9.57785559307922e-07,6.414987430147789e-09
2014,8.269835092278299e-07,6.929424478663293e-09
2015,9.43817809684333e-07,7.979671368119057e-09
2016,9.768439497293002e-07,4.142679976837371e-09
2017,9.509010965302878e-07,3.018733707449428e-09
2018,8.81312715250715e-07,6.9699601645822895e-09
2019,8.186119799802327e-07,5.101975730781305e-09
