year,mon_DET aliment_NOUN,mon_DET ralliement_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,3.701041606518629e-08,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.1577788444915313e-08,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,9.536941902865692e-09,0.0
1819,0.0,0.0
1820,7.119888678630559e-09,0.0
1821,1.972297702934611e-08,0.0
1822,3.0076847679083585e-09,0.0
1823,1.087095569118901e-08,0.0
1824,2.5263338088166165e-09,0.0
1825,6.163809906922779e-09,0.0
1826,2.642395191543301e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,4.586150570418113e-09,0.0
1829,0.0,0.0
1830,7.305785310052215e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,1.7588959622116818e-08,0.0
1833,1.853380560135065e-08,0.0
1834,9.334530925997342e-10,0.0
1835,6.050470346963266e-09,0.0
1836,1.0753200108126748e-08,0.0
1837,5.5663127440652715e-09,0.0
1838,5.049729523420865e-09,0.0
1839,9.788065469251706e-09,0.0
1840,4.458782232319436e-09,1.9109065441114126e-09
1841,1.0914932957462042e-08,0.0
1842,6.708265054555795e-09,0.0
1843,4.7255288571079745e-09,0.0
1844,1.097712254427563e-09,0.0
1845,1.1160455670733427e-08,0.0
1846,7.025401593807601e-09,0.0
1847,3.775256551818984e-09,0.0
1848,4.82713291560799e-09,0.0
1849,2.6814127807028854e-08,0.0
1850,4.073397619208663e-09,0.0
1851,3.8696632564949596e-09,0.0
1852,5.859490670445666e-09,0.0
1853,7.763511389313749e-09,0.0
1854,1.3508727469968562e-08,0.0
1855,1.4328730202350926e-08,0.0
1856,1.9673318973900678e-08,0.0
1857,5.36965993891414e-09,0.0
1858,5.872411001917044e-09,1.468102750479261e-09
1859,4.582956014687056e-09,0.0
1860,9.612086238064421e-09,0.0
1861,1.5091083938045813e-08,0.0
1862,4.517986429419807e-09,0.0
1863,1.1487628293060936e-08,4.994620828036034e-10
1864,1.6781547262922913e-08,0.0
1865,3.294791106611683e-09,0.0
1866,5.352174259343201e-09,0.0
1867,4.804283548764943e-08,0.0
1868,8.89177353968762e-09,0.0
1869,6.8369265804335555e-09,4.883519144627257e-10
1870,3.4404292748035914e-09,0.0
1871,1.0621177271019633e-09,0.0
1872,6.652073114565837e-09,0.0
1873,1.0176207432266438e-08,0.0
1874,5.377148060148329e-09,0.0
1875,5.721527251978387e-09,0.0
1876,6.046015021965445e-09,0.0
1877,3.092407996341251e-09,0.0
1878,8.4547240319921e-09,0.0
1879,1.588424503040642e-08,0.0
1880,5.776061406947974e-09,0.0
1881,6.972507571312292e-10,0.0
1882,7.320923423037584e-09,0.0
1883,4.423537203201988e-09,0.0
1884,3.300848483434038e-09,0.0
1885,3.8673814151124475e-09,0.0
1886,2.5813855497602844e-09,0.0
1887,5.876032216356464e-09,0.0
1888,8.242799331981132e-09,0.0
1889,3.132568371366773e-09,0.0
1890,1.3108772956016423e-09,0.0
1891,6.374220040683554e-10,0.0
1892,6.268512375839919e-09,0.0
1893,3.079208221734575e-09,0.0
1894,4.411077725308132e-09,0.0
1895,3.611168697403855e-09,0.0
1896,2.358811590497112e-09,0.0
1897,3.496028022631492e-09,0.0
1898,1.13167097914868e-09,2.8291773368493978e-09
1899,6.633094074004475e-09,0.0
1900,5.710158568206225e-09,0.0
1901,4.470991132876634e-09,3.353243460679778e-09
1902,3.437198747846537e-09,0.0
1903,3.2401321625741275e-09,0.0
1904,3.7622376325430196e-09,0.0
1905,2.0643036169332163e-09,0.0
1906,2.572092316910357e-09,0.0
1907,8.228549397415463e-09,1.028568674676933e-09
