year,bien_ADV acheté_VERB,bien_ADV racheté_VERB
1800,3.144164395507687e-08,3.144164395507687e-08
1801,1.1905912700171939e-08,1.4287095950749062e-08
1802,3.8043282302169246e-08,2.4616241489638924e-08
1803,4.290746247193056e-08,5.851017448321727e-09
1804,6.921182915675672e-08,5.9324420931261557e-08
1805,8.52863308864471e-08,1.7057265822018053e-08
1806,2.881669125542885e-08,2.881669125542885e-09
1807,1.1387820464392462e-08,1.1387820464392462e-08
1808,2.945896149242344e-08,2.4926814390369145e-08
1809,8.358412628695078e-08,1.8072244145628247e-08
1810,5.3822915901946544e-08,4.914266327205041e-08
1811,1.0028307073639553e-08,3.760615285841595e-08
1812,4.000812481308458e-08,2.400487453257938e-08
1813,3.4508900625951355e-08,2.5881675469463516e-08
1814,1.2586708564299443e-08,9.440030979135372e-09
1815,2.966945977789237e-08,3.236668177919455e-08
1816,5.0987285504788815e-08,1.8540831092650478e-08
1817,4.670620157298799e-08,6.383181272440197e-08
1818,5.0068944545955674e-08,1.9073883805731384e-08
1819,4.968504185853817e-08,1.5526575580793178e-08
1820,4.2719332071783356e-08,3.797273961936298e-08
1821,5.9168929311681495e-08,1.4792232327920374e-08
1822,7.519211919770896e-08,2.7069162911175226e-08
1823,4.15072847204101e-08,1.1859224713361982e-08
1824,4.126345132249298e-08,2.7789671008804362e-08
1825,7.04435478837695e-08,2.0252519661312363e-08
1826,5.372870504061211e-08,2.1139161532346407e-08
1827,5.1616730445402936e-08,3.2260455640198415e-08
1828,5.503380862137419e-08,1.4675682002973645e-08
1829,2.8291481157793896e-08,1.3717081692732336e-08
1830,3.652892388572582e-08,1.5655253093882493e-08
1831,7.795603274018958e-09,5.9246584527272717e-08
1832,3.3824925083081325e-08,1.7588959622116818e-08
1833,3.59092489077284e-08,1.853380560135065e-08
1834,4.947301235347368e-08,1.0267983796552471e-08
1835,3.932805725526123e-08,2.647080776796429e-08
1836,3.5619976301859424e-08,1.2769425516978572e-08
1837,2.2961039292113128e-08,3.896418832027848e-08
1838,3.597932263232906e-08,8.837027110075724e-09
1839,4.544459031308179e-08,1.6080392128969834e-08
1840,4.267691267045848e-08,2.165694112932215e-08
1841,4.173356416004026e-08,1.6051371787284552e-08
1842,3.8237111255057243e-08,2.683306021822318e-08
1843,3.7804230856863796e-08,2.8943864194275193e-08
1844,2.7991662321369404e-08,2.6893950177964143e-08
1845,4.296775557577348e-08,8.928364714222425e-09
1846,6.030136034951283e-08,7.025401593807601e-09
1847,3.3977308078192436e-08,7.550513103637968e-09
1848,2.172209789819135e-08,2.091757700384278e-08
1849,2.011059585527164e-08,1.75967720394965e-08
1850,1.9009188889640427e-08,1.6972489191857676e-08
1851,3.1602251482354404e-08,4.514607354622058e-09
1852,2.6042181744401205e-08,2.4740073101270355e-08
1853,5.01642283268211e-08,6.569124799682413e-09
1854,3.4291385730966795e-08,2.5458755104068587e-08
1855,3.237231638308913e-08,1.326734277995456e-08
1856,2.692138423299184e-08,2.7439103433835044e-08
1857,4.29572786231347e-08,9.763017949637742e-09
1858,2.5447114637699997e-08,1.0766087576996597e-08
1859,3.6154432336843456e-08,1.6804172275897145e-08
1860,3.8448344952257685e-08,1.0069804545764782e-08
1861,4.385846352761291e-08,1.7920662287451705e-08
1862,2.6656119089807362e-08,1.536115412648087e-08
1863,3.346395871517416e-08,2.447364266799923e-08
1864,2.6371003158942585e-08,1.2945765348604255e-08
1865,3.153585836912498e-08,1.3649848362717876e-08
1866,2.578774882522339e-08,2.3354942868536455e-08
1867,4.173417877950669e-08,9.220341823379385e-09
1868,2.8157282727647726e-08,4.939874287401835e-09
1869,5.616047005219116e-08,6.8369265804335555e-09
1870,4.7019199200803996e-08,2.0069171213776826e-08
1871,3.9298356568906456e-08,0.0
1872,3.084143074261192e-08,3.0236697590169115e-09
1873,2.1549615425442425e-08,7.183205141814142e-09
1874,3.584765551067903e-08,7.169530746864439e-09
1875,2.460256709468922e-08,1.2015206607429718e-08
1876,2.3579458385825092e-08,7.255217759905008e-09
1877,2.4739264858908427e-08,6.80329748092845e-09
1878,2.8383716710322915e-08,1.3889904337816006e-08
1879,2.932476128592043e-08,1.5273313280772527e-08
1880,3.8507078414795615e-08,1.6686399817444908e-08
1881,1.6036766581351003e-08,2.7890030285249168e-09
1882,3.128031167420886e-08,3.9932310791357395e-09
1883,1.4534479397809719e-08,1.0742875922176154e-08
1884,3.1688145440966764e-08,1.5183903911974994e-08
1885,2.7716232864349877e-08,5.80107206715752e-09
1886,3.033127882190456e-08,4.5174246565693466e-09
1887,2.546280519766242e-08,5.876032105334161e-09
1888,3.550744054336974e-08,2.53624587998047e-09
1889,4.009687515349469e-08,2.0674951528576457e-08
1890,4.3258950199742685e-08,1.1142456735058204e-08
1891,2.932141285327816e-08,1.2748440525456317e-08
1892,3.2596265242545996e-08,4.387958441043338e-09
1893,2.8328715373504565e-08,8.005941687372342e-09
1894,2.9617234886814003e-08,4.411077725308132e-09
1895,2.768562623600701e-08,5.416753268150387e-09
1896,1.592197840238896e-08,7.076434549446731e-09
1897,1.5149455023788505e-08,1.1653427112179315e-09
1898,1.5277558773618694e-08,1.6975064687230201e-09
1899,2.5979618456517528e-08,7.185851913504848e-09
1900,2.4397950326715545e-08,1.5573159428683425e-09
1901,2.6825947685438223e-08,5.029864968975062e-09
1902,2.2096276808269977e-08,1.4730852093691738e-09
1903,1.3500550899436803e-08,2.7001101354784396e-09
1904,2.3110889202371254e-08,1.6123875568041512e-09
1905,2.115911179600971e-08,2.580379465655369e-09
1906,2.5206503551089554e-08,5.658602919567102e-09
1907,2.982849167665336e-08,1.0799970695529737e-08
1908,2.89771957540097e-08,9.822778146428846e-10
1909,2.8605114721358404e-08,2.7504918342913243e-09
1910,2.8323999146095957e-08,1.068830135508847e-09
1911,4.4691141454222816e-08,4.788336838146279e-09
1912,3.1777467768279166e-08,8.856016364688912e-09
1913,1.590896836489719e-08,1.590896969716482e-09
1914,2.6117300322425763e-08,6.027069510139427e-09
1915,8.246533234057551e-09,1.0602685840410686e-08
1916,1.2086208478478966e-08,6.592477230782379e-09
1917,2.0836205649743533e-08,1.2063066989753679e-08
1918,2.067547733020092e-08,3.44591288836682e-09
1919,2.2098836538475553e-08,0.0
1920,2.953170330499688e-08,6.057785384427916e-09
1921,2.6504615391331754e-08,7.572747429129834e-10
1922,3.32007097370024e-08,1.4755870969551665e-09
1923,4.352538596208433e-08,5.307974060286824e-09
1924,4.898817351772777e-08,1.675911143195208e-08
1925,1.7597084678300234e-08,8.798542339150117e-09
1926,4.346993875969929e-08,1.1146138456652466e-09
1927,4.2367055641534535e-08,1.5608915049369898e-08
1928,3.085031252680892e-08,5.713020723163709e-09
1929,2.33948540540041e-08,1.1140405931087116e-08
1930,2.941009036305786e-08,8.402882833991043e-09
1931,1.2545892325022123e-08,1.1405356659111021e-09
1932,1.753525857850491e-08,5.4797681947604815e-09
