year,rien_PRON assurer_VERB
1800,1.320549074534938e-07
1801,5.476719877606229e-08
1802,1.7455153056289419e-07
1803,2.2038832980797451e-07
1804,1.3347995775347954e-07
1805,6.254330742194725e-08
1806,1.3255677799861587e-07
1807,2.1636859059981361e-07
1808,1.835519896076221e-07
1809,7.228897658251299e-08
1810,8.658469141664682e-08
1811,4.512738271955641e-08
1812,1.2535878113340004e-07
1813,4.888760685162197e-08
1814,4.72001566720337e-08
1815,7.552225866902518e-08
1816,6.952811659743929e-09
1817,9.185553295765203e-08
1818,1.418620172444207e-07
1819,1.376689624521532e-07
1820,6.526564533260171e-08
1821,9.565643921405353e-08
1822,1.0627152846609533e-07
1823,6.621399961659336e-08
1824,1.212640228231976e-07
1825,4.3146670236637874e-08
1826,4.051672775062798e-08
1827,8.848581956044654e-08
1828,7.979902250099258e-08
1829,5.3153691226270894e-08
1830,6.470838087579978e-08
1831,3.741889287312006e-08
1832,1.6235963684607668e-08
1833,3.01174338801502e-08
1834,7.467625096069241e-08
1835,5.218530674255817e-08
1836,1.1223652762737402e-07
1837,8.697363540477454e-08
1838,9.468242723187359e-08
1839,4.9639474752893875e-08
1840,5.350538501147639e-08
1841,5.97110982880622e-08
1842,4.159124245006751e-08
1843,9.332919148619112e-08
1844,4.335963410539989e-08
1845,2.7343116215661212e-08
1846,6.264316709803097e-08
1847,5.3392913201832926e-08
1848,6.516629724728773e-08
1849,4.8600607982507427e-08
1850,5.2275268558332755e-08
1851,6.836405219701192e-08
1852,4.6224872818356744e-08
1853,3.523439673358553e-08
1854,4.052618152172727e-08
1855,4.4578271740647324e-08
1856,3.158085348786699e-08
1857,3.612316845647001e-08
1858,5.529853908115001e-08
1859,4.53203412575931e-08
1860,4.7144993686742964e-08
1861,5.847795137015055e-08
1862,5.963742211179124e-08
1863,3.646073309937492e-08
1864,6.089304349643498e-08
1865,4.471502279557171e-08
1866,3.5518972651971126e-08
1867,3.396968040192405e-08
1868,3.457912001181285e-08
1869,4.102156125895817e-08
1870,5.390005952676802e-08
1871,2.6552942955504477e-08
1872,4.535504416480762e-08
1873,3.7711828326791874e-08
1874,3.4652732239237594e-08
1875,3.432916173551348e-08
1876,6.106474614853141e-08
1877,5.813727099734933e-08
1878,3.6838439854136595e-08
1879,2.6270098985037293e-08
1880,1.8611753915820373e-08
1881,1.673401861523871e-08
1882,3.394246306243076e-08
1883,2.8437025179073316e-08
1884,2.1125430293977843e-08
1885,2.127059772760731e-08
1886,2.2587123282846733e-08
1887,3.003305337756501e-08
1888,9.510921827882157e-09
1889,1.4409814674820609e-08
1890,1.3108772733971819e-08
1891,1.8485238229004608e-08
1892,2.1312942521944933e-08
1893,3.387129154930335e-08
1894,4.4110773700367645e-08
1895,2.768562623600701e-08
1896,2.6536630670648265e-08
1897,1.981082675683865e-08
1898,3.168678830434146e-08
1899,1.5477219506010442e-08
1900,2.076421168339948e-08
1901,2.1237207548097103e-08
1902,1.6694965410124496e-08
1903,2.6461078661554893e-08
1904,2.5260739278110123e-08
1905,2.115911179600971e-08
1906,1.9547901075611662e-08
1907,2.8799922446864912e-08
1908,1.4734167663732478e-08
1909,1.870334465081669e-08
1910,1.7635697346918278e-08
1911,1.8621308939259507e-08
1912,2.6047105805560022e-08
1913,1.3257474229533273e-08
1914,1.875088173619588e-08
1915,8.246533234057551e-09
1916,7.69122365795738e-09
1917,1.864292187292449e-08
1918,1.1486376294556067e-08
1919,1.6574126959767455e-08
1920,3.104614876292544e-08
1921,2.3475516641724425e-08
1922,2.0658220023506146e-08
1923,1.3800733000834953e-08
1924,1.2891624656674594e-08
1925,2.5295809891190402e-08
1926,1.0031524944054127e-08
1927,8.919379901328739e-09
1928,2.2852082892654835e-08
1929,2.4508894469477127e-08
1930,1.2604324695075775e-08
1931,1.710803587684495e-08
1932,2.082311922890767e-08
1933,6.882397318719313e-09
1934,7.188948103475923e-09
1935,2.8723881939640705e-08
1936,9.699771652549316e-09
1937,2.0145789036973838e-08
1938,1.4261735792331365e-08
1939,1.5294050470515685e-08
1940,5.0715658339584024e-09
1941,3.5418032950929046e-08
1942,2.4273694165799498e-08
1943,3.193558839598154e-08
1944,1.927911696952833e-08
1945,3.485606470121638e-08
1946,3.062643116891195e-08
1947,2.622591566137089e-08
1948,2.174377655705939e-08
1949,1.0798709482173763e-08
1950,1.595304155443955e-08
1951,1.5992101864981123e-08
1952,7.381362632230548e-09
1953,2.0470272588113403e-08
1954,1.8567819282111486e-08
1955,4.6928039232341234e-09
1956,1.657016923672927e-08
1957,1.9437083054185678e-08
1958,2.1507833736222892e-08
1959,1.7826719656000023e-08
1960,2.5607082676515347e-08
1961,1.737039845295385e-08
1962,1.2049716779927166e-08
1963,2.0691370394843034e-08
1964,2.4335873760605864e-08
1965,2.5718604135249734e-08
1966,2.547974453648294e-08
1967,1.9228309611207806e-08
1968,1.527081394669949e-08
1969,1.725867981861029e-08
1970,1.6555409487750694e-08
1971,2.1067430466814585e-08
1972,1.7955514408640738e-08
1973,2.0950174928202614e-08
1974,1.6314157136321228e-08
1975,1.4278700888326057e-08
1976,1.314111219841152e-08
1977,1.23412418062685e-08
1978,1.3069301196821925e-08
1979,2.0481905949054635e-08
1980,1.2507331170752423e-08
1981,1.138598904049104e-08
1982,1.0552754226011984e-08
1983,1.0736036948344463e-08
1984,1.1018116197192285e-08
1985,9.02333674446254e-09
1986,7.792831269171074e-09
1987,7.332980445085013e-09
1988,2.0388283061834045e-08
1989,7.683371272548811e-09
1990,1.0897301727652575e-08
1991,1.0550637696837839e-08
1992,1.2121876835635703e-08
1993,9.970573700002205e-09
1994,5.802419433820205e-09
1995,7.0491861237087505e-09
1996,8.540947504798169e-09
1997,9.58978851883785e-09
1998,9.059445638115449e-09
1999,7.312321859131998e-09
2000,8.394259509714175e-09
2001,1.095302959441824e-08
2002,1.0953053575235572e-08
2003,1.0833999475323708e-08
2004,1.1011977996133737e-08
2005,6.305249655724765e-09
2006,5.7650457740976435e-09
2007,1.1983438241713884e-08
2008,7.663391698997657e-09
2009,6.675469510497578e-09
2010,6.140930874920514e-09
2011,4.206369030868018e-09
2012,6.127654827992046e-09
2013,9.483025031897796e-09
