year,un_DET aliment_NOUN,un_DET ralliement_NOUN
1800,4.134576226277886e-06,3.458580977167003e-08
1801,3.0360077070135105e-06,1.4287095950749062e-08
1802,2.723451530073362e-06,1.5664880947952042e-08
1803,4.1230170886308315e-06,4.4857802805609026e-08
1804,3.0379049000828218e-06,1.4831105232815389e-08
1805,3.1243225198096525e-06,1.7057265822018053e-08
1806,1.8788482849529942e-06,4.8988376022407465e-08
1807,2.579341327191287e-06,4.555128185756985e-08
1808,1.5907839494566645e-06,2.2660739062985158e-08
1809,2.902854321584769e-06,1.8072244145628247e-08
1810,1.975067078774373e-06,3.978215490363368e-08
1811,2.206227510015424e-06,0.0
1812,2.629867370096406e-06,1.3336041604361526e-08
1813,2.570912930766056e-06,2.0130190847567064e-08
1814,2.3128077515366385e-06,1.5733386149463513e-08
1815,2.5758483976900948e-06,5.394447111228828e-09
1816,2.7950303405077648e-06,2.0858434979231788e-08
1817,2.687163489056843e-06,1.0898113522728181e-08
1818,2.980294457444188e-06,1.1921176934492905e-08
1819,2.1706152346645524e-06,1.9666995143552413e-08
1820,2.146646361111948e-06,3.678609061807947e-08
1821,1.9880761001900282e-06,4.043210211079895e-08
1822,1.9088772802433596e-06,5.1130641054442094e-08
1823,1.8895696989318367e-06,1.9765373338032077e-08
1824,1.784433738549751e-06,4.6316120716483056e-08
1825,1.5444747072379528e-06,3.169959583715354e-08
1826,1.5924836240799323e-06,7.927186018719112e-09
1827,1.6038055032918663e-06,3.133872894522938e-08
1828,1.8417980616192153e-06,9.172301251858528e-10
1829,2.0352720597749396e-06,4.372319750700626e-08
1830,1.9662998891334382e-06,8.349468672008697e-09
1831,2.2934663110874e-06,1.5591206548037917e-08
1832,2.1566772137049384e-06,4.1942906259251345e-08
1833,2.225215015361215e-06,1.0425265983826648e-08
1834,2.0078575069248927e-06,2.5203233278148218e-08
1835,1.8106032300124753e-06,1.5882484660778573e-08
1836,1.773605998067751e-06,1.4113575197427508e-08
1837,1.8556695442484283e-06,2.922314124020886e-08
1838,1.7573059096775978e-06,1.3255539776935166e-08
1839,2.165259972208844e-06,1.887698375391267e-08
1840,1.7898825617201908e-06,4.522479102320176e-08
1841,2.416052312881334e-06,5.585877360658742e-08
1842,2.115786911005557e-06,1.1404051036834062e-08
1843,2.1199904551849613e-06,3.898561473647533e-08
1844,2.272813306447574e-06,2.6893950177964143e-08
1845,2.084215146247459e-06,1.3392547515422848e-08
1846,2.444254208811003e-06,1.6392603274795192e-08
1847,2.108211159423945e-06,2.1033571329098777e-08
1848,2.4175890889210905e-06,4.103063133698015e-08
1849,2.4082437954930924e-06,1.256912263158938e-08
1850,2.1263136495974777e-06,2.7155984128057753e-08
1851,2.2437596749469435e-06,1.9348316726564008e-08
1852,2.298222576690989e-06,1.4974254725075298e-08
1853,2.321887132339384e-06,2.030456869306363e-08
1854,2.1717877718430145e-06,1.3508727469968562e-08
1855,2.3525652785849616e-06,1.1144567935161831e-08
1856,2.4260307958101635e-06,4.141751386299575e-09
1857,2.240124460151094e-06,2.3431243834082238e-08
1858,2.050450193635811e-06,2.936205589776364e-08
1859,2.0806620391056185e-06,1.527652027100146e-08
1860,2.1727891343914507e-06,1.785101666484934e-08
1861,2.5598250790181964e-06,2.2165029811560544e-08
1862,1.9535773549961277e-06,2.936691112509493e-08
1863,2.2315965413355343e-06,2.097740825490746e-08
1864,2.4347629032916984e-06,2.1096802860220976e-08
1865,2.3600117202704496e-06,1.835669355410019e-08
1866,2.2114210551649194e-06,3.259960479340407e-08
1867,2.440478850118666e-06,8.249779526181555e-09
1868,2.248630673662433e-06,1.6795571822214583e-08
1869,2.2332334133068343e-06,1.8557372638561276e-08
1870,3.0430596869024384e-06,1.834895613228582e-08
1871,2.326037822797389e-06,1.805600113868877e-08
1872,1.9611521366869056e-06,1.269941218851045e-08
1873,2.181300139625364e-06,1.855661402316855e-08
1874,2.371322344707494e-06,2.1508592240593316e-08
