year,en_ADP apport_NOUN,en_ADP rapports_NOUN
1800,0.0,1.8864986373046122e-07
1801,0.0,3.5003384368792467e-07
1802,2.2378401354217203e-09,2.528759353026544e-07
1803,0.0,4.778331117449852e-07
1804,0.0,1.928043786847411e-07
1805,0.0,1.5635826855486812e-07
1806,2.881669125542885e-09,1.988351669979238e-07
1807,0.0,2.6761378535411495e-07
1808,0.0,1.8808414381510374e-07
1809,0.0,1.3102376783535874e-07
1810,0.0,1.6380887757350138e-07
1811,0.0,1.0279014617253779e-07
1812,0.0,9.601949813031752e-08
1813,0.0,1.782959770935122e-07
1814,0.0,1.7621391634747852e-07
1815,2.697223555614414e-09,2.1847510822681215e-07
1816,0.0,1.321034233114915e-07
1817,1.556873407970727e-09,2.0239353659690096e-07
1818,9.536941902865692e-09,2.6941862074636447e-07
1819,1.035105001712111e-09,8.280839836061205e-08
1820,2.3732962262101864e-09,2.586892833278398e-07
1821,0.0,1.617284084431958e-07
1822,9.023054303725075e-09,9.023054303725075e-08
1823,1.4824030003524058e-08,8.400284201570685e-08
1824,5.894778887238772e-09,1.6673803315825353e-07
1825,1.2327619813845558e-08,1.8227267162274075e-07
1826,1.2331177856594877e-08,9.072223861039674e-08
1827,6.452091305675367e-09,1.9909309401100472e-07
1828,3.668920500743411e-09,2.036250918990845e-07
1829,2.571952872898464e-09,1.4402935732960032e-07
1830,8.349468672008697e-09,2.0247460952305119e-07
1831,7.795603274018958e-09,2.5881402621052985e-07
1832,1.3529969367098715e-09,1.9077256752098037e-07
1833,3.4750886612755494e-09,2.536814633913309e-07
1834,8.401078055442213e-09,2.2496219287404529e-07
1835,3.781543966852041e-09,1.64875316954749e-07
1836,4.032449929525228e-09,1.8818100500084256e-07
1837,4.87052354003481e-09,1.7603464641524624e-07
1838,2.5248647617104325e-09,1.9504579995555105e-07
1839,1.1885507689157748e-08,2.342144114209077e-07
1840,7.0066574764382494e-09,1.8281006930465082e-07
1841,2.5682194149112547e-09,2.6067428393616865e-07
1842,1.609983613093391e-08,2.750388716776797e-07
1843,7.678984559333912e-09,2.40411281993147e-07
1844,0.0,2.9308915827641613e-07
1845,3.348136878855712e-09,2.884977732264815e-07
1846,3.5127007969038004e-09,3.5653911822919326e-07
1847,1.0247124926365814e-08,2.9123407330189366e-07
1848,1.367687652020777e-08,3.161772212934011e-07
1849,7.54147322368226e-09,4.533263506800722e-07
1850,2.0366988096043315e-09,3.9511957083959715e-07
1851,8.384270167027807e-09,4.5920003799437836e-07
1852,2.6042181744401205e-09,3.711010947426985e-07
1853,2.388772735173461e-09,4.580471681947529e-07
1854,7.79349651480743e-09,3.320029691167292e-07
1855,3.1841622671890946e-09,3.571568640836631e-07
1856,8.801221973442352e-09,3.960549861403706e-07
1857,6.8341128311999455e-09,4.403121067753091e-07
1858,9.297984604472731e-09,4.301541309814638e-07
1859,6.619825576592575e-09,4.730628972993145e-07
1860,2.288591982591015e-09,4.7007679881971853e-07
1861,4.2443675241088386e-09,5.635576485474303e-07
1862,5.421583626485926e-09,4.766475569795148e-07
1863,4.994620939058336e-09,6.098431981627073e-07
1864,2.3973640850272204e-09,6.194788397806406e-07
1865,1.882737743486018e-09,6.33541276329197e-07
1866,1.5083399418358567e-08,6.40314681277232e-07
1867,1.5043715606566366e-08,4.712079828550486e-07
1868,2.4699371437009177e-09,7.286314485099865e-07
1869,2.9301114867763545e-09,5.874873636457778e-07
1870,9.747882501187632e-09,5.45308012078749e-07
1871,1.0621177271019633e-09,6.797553169235471e-07
1872,4.8378714367913744e-09,6.277138027144247e-07
1873,2.9930022904522957e-09,7.632155529790907e-07
1874,6.572069999322139e-09,1.1405528539398802e-06
1875,1.0870901512305409e-08,8.782544114183111e-07
1876,7.255217759905008e-09,7.04360729741893e-07
1877,1.2369632429454214e-08,7.823792316230538e-07
1878,1.2078177347163432e-09,7.162358883761044e-07
1879,2.1382637882538802e-08,7.557235335298174e-07
1880,1.2835692508872398e-08,7.187987876022817e-07
1881,1.1156012114099667e-08,8.081136115833942e-07
1882,1.7304001564966143e-08,8.219400911002595e-07
1883,8.21514056781325e-09,7.305155804715469e-07
1884,1.1222884843675729e-08,1.0397673122497508e-06
1885,1.353583467533781e-08,8.972324962996936e-07
1886,7.098810428374236e-09,1.0751471108960686e-06
1887,6.528924512139156e-09,9.08826280010544e-07
1888,6.340614699951175e-09,9.770886890692054e-07
1889,6.891650361495749e-09,9.028062208926713e-07
1890,1.1142456735058204e-08,1.1004815405613044e-06
1891,1.0836173736095134e-08,9.701562930786167e-07
1892,8.775916882086676e-09,1.190390548799769e-06
1893,9.23762488724833e-09,1.203970441565616e-06
1894,9.452309157609307e-09,1.1865798796861782e-06
1895,1.5046536461227333e-08,1.1910838111361954e-06
1896,5.307326134129653e-09,1.2318893141127774e-06
1897,8.157399200570126e-09,1.180492176899861e-06
1898,1.3580051749784161e-08,1.2091904864064418e-06
1899,1.2160672469008205e-08,1.3166692269805935e-06
1900,5.710158568206225e-09,1.3138555914338212e-06
1901,8.941982265753268e-09,1.4715149063704303e-06
1902,1.3748794991386148e-08,1.2678352732109488e-06
