year,en_ADP humeur_NOUN,en_ADP rumeurs_NOUN
1800,1.0061326349841693e-07,3.144164484325529e-09
1801,2.4288061695187935e-07,0.0
1802,1.656001700212073e-07,0.0
1803,1.1116933507082649e-07,0.0
1804,2.4718508484511403e-07,0.0
1805,1.3361525930122298e-07,2.842877711017877e-09
1806,2.0459850702536642e-07,0.0
1807,1.708173016368164e-07,0.0
1808,1.3823051858707913e-07,0.0
1809,1.6716825257390155e-07,0.0
1810,3.2761775514700275e-07,0.0
1811,3.284270633230335e-07,0.0
1812,2.1070944455914287e-07,0.0
1813,9.202373263406116e-08,0.0
1814,8.810695817373926e-08,0.0
1815,6.74305908887618e-08,0.0
1816,1.1588019788177917e-07,0.0
1817,9.808302792180257e-08,0.0
1818,1.9073883095188648e-07,0.0
1819,1.3249344021915022e-07,2.070210003424222e-09
1820,1.4002448267547152e-07,0.0
1821,2.919000507972669e-07,0.0
1822,2.446250277898798e-07,0.0
1823,2.3224313849823375e-07,0.0
1824,1.9958037000833428e-07,0.0
1825,2.1045008224973571e-07,4.4027217427355936e-09
1826,2.0346443818652915e-07,6.1655889282974385e-09
1827,1.4655464042334643e-07,1.6591091167583727e-08
1828,1.8986663974374096e-07,0.0
1829,2.0232695874256024e-07,5.143905745796928e-09
1830,2.0769303432643937e-07,6.262101504006523e-09
1831,1.3252525832285755e-07,0.0
1832,2.489514372427948e-07,4.058990921151917e-09
1833,2.0155513880126819e-07,3.4750886612755494e-09
1834,1.4095141409598e-07,7.467624740797874e-09
1835,3.153807597300329e-07,0.0
1836,2.0162249825261824e-07,6.720750067579218e-10
1837,1.781220078100887e-07,2.7831563720326358e-09
1838,1.7232201798833557e-07,2.5248647617104325e-09
1839,1.6150308113083156e-07,2.7965900706306e-09
1840,1.592422194107712e-07,5.095750932326837e-09
1841,1.7977535549107415e-07,5.778493683550323e-09
1842,2.3747257671402622e-07,4.024959032733477e-09
1843,1.671655809332151e-07,5.906911071384968e-10
1844,1.438003067733007e-07,6.586273748609983e-09
1845,1.389476693702818e-07,2.2320911785556063e-09
1846,1.6275514269636915e-07,2.3418005312692003e-09
1847,1.0570718700364523e-07,2.1033571329098777e-08
