year,en_PRON rappelle_VERB
1800,2.7354229814591235e-07
1801,3.238408226025058e-07
1802,3.6700578220916213e-07
1803,3.5496174177751527e-07
1804,3.9302429399867833e-07
1805,3.809456075032358e-07
1806,2.7087691023552907e-07
1807,2.875424627291068e-07
1808,3.9203081314553856e-07
1809,2.5075237886085233e-07
1810,3.01876355024433e-07
1811,3.509907458010275e-07
1812,3.7340916492212273e-07
1813,3.4508900625951355e-07
1814,3.901879779277806e-07
1815,2.508417935587204e-07
1816,3.175117342379963e-07
1817,3.5808088227895496e-07
1818,2.8253191430849256e-07
1819,2.7016241688215814e-07
1820,2.278364377161779e-07
1821,2.810524222240929e-07
1822,2.90742860897808e-07
1823,2.8758617531821073e-07
1824,3.2589704801466723e-07
1825,2.9762398412458424e-07
1826,2.7304750460643845e-07
1827,2.488663710664696e-07
1828,2.916791856932832e-07
1829,2.4519283670088043e-07
1830,2.546588007135142e-07
1831,1.2940701310526492e-07
1832,1.7724259748774784e-07
1833,2.1313876175099722e-07
1834,2.42697808516823e-07
1835,2.011781390365286e-07
1836,1.303825456488994e-07
1837,2.0386620747103734e-07
1838,1.925209431874464e-07
1839,1.6010477565941983e-07
1840,1.9554944685751252e-07
1841,1.8748001195945108e-07
1842,1.831356399861761e-07
1843,2.002442869297738e-07
1844,1.695965465842164e-07
1845,1.8637960863543412e-07
1846,1.709514378944732e-07
1847,1.9739198364732147e-07
1848,1.2872354204773728e-07
1849,1.7345388414469198e-07
1850,9.776154286100791e-08
1851,1.6188091933599935e-07
1852,1.7708683230921451e-07
1853,1.7975514765566913e-07
1854,2.3848099317547167e-07
1855,2.350973176135085e-07
1856,2.5316455776192015e-07
1857,2.5481477905486827e-07
1858,2.3636455637188192e-07
1859,1.828090177014019e-07
1860,1.7530614115912613e-07
1861,1.4006411674927222e-07
1862,1.9336981438300427e-07
1863,1.9528967243331863e-07
1864,2.3254430914221302e-07
1865,1.8592035644360294e-07
1866,2.1749289658146154e-07
1867,1.567458127738064e-07
1868,1.975949572852187e-07
1869,2.0852627358181053e-07
1870,2.069991609232602e-07
1871,1.5931766483845422e-07
1872,1.5420715726577328e-07
1873,1.580305166726248e-07
1874,2.3061991782924451e-07
1875,1.6134706015691336e-07
1876,1.874264654588842e-07
1877,1.9234778392274166e-07
1878,2.0472511153002415e-07
1879,2.009967943195079e-07
1880,2.1307249653546023e-07
1881,1.6315667039634718e-07
1882,1.3710094037833187e-07
1883,1.9210790469514905e-07
1884,1.9276954787983414e-07
1885,1.9207993773306953e-07
1886,1.6198194430216972e-07
1887,1.55388406142265e-07
1888,1.737328432227514e-07
1889,1.5725493085483322e-07
1890,1.7172492050576693e-07
1891,1.561683973250183e-07
1892,1.3101190177167155e-07
1893,1.2316833419845352e-07
1894,1.4178463914049644e-07
1895,1.612988711485741e-07
1896,1.2501701007749944e-07
1897,1.80628120460824e-07
1898,2.0483244611568807e-07
1899,1.083405365420731e-07
1900,1.489832186507556e-07
1901,1.2909987390230526e-07
1902,1.630214256920226e-07
1903,1.3392546804880112e-07
1904,1.3167831980354094e-07
1905,1.2385821435145772e-07
1906,1.6152739590324927e-07
1907,1.5017103294212575e-07
1908,1.3408092058853072e-07
1909,1.5402754627302784e-07
1910,1.5337712966356776e-07
1911,1.659956723187861e-07
1912,1.5992922897112294e-07
1913,1.537867007073146e-07
1914,1.3058649983577197e-07
1915,1.1780761610680202e-07
1916,1.3624452321892022e-07
1917,1.1734073979141613e-07
1918,1.6080926457107125e-07
1919,1.2338516341969807e-07
1920,1.5447352552655502e-07
1921,1.3630945261411398e-07
1922,1.298516707493036e-07
1923,1.879022875073133e-07
1924,2.0755514640313777e-07
1925,1.2977849905837502e-07
1926,2.2180815051342506e-07
1927,1.9065174683419173e-07
1928,1.7824623910200899e-07
1929,1.2365850921014498e-07
1930,1.5335261593918403e-07
1931,1.448480304588884e-07
1932,1.479537417026222e-07
1933,1.50265677234529e-07
1934,1.2700475338078832e-07
1935,1.7473695379521814e-07
1936,1.3579679603026307e-07
1937,1.5361163718807802e-07
1938,1.6206517727823666e-07
1939,1.575287171817763e-07
1940,1.7243323213733674e-07
1941,1.5642963546724786e-07
1942,1.7598428314613557e-07
1943,1.5096823346993915e-07
1944,1.4459337194239197e-07
1945,1.7428033061150927e-07
1946,1.9071913470725121e-07
1947,1.7404471464033122e-07
1948,1.3481141536431096e-07
1949,1.3351130689898127e-07
1950,1.3932323383869516e-07
1951,1.6418559312114667e-07
1952,1.7188030199122295e-07
1953,1.3251808184122638e-07
1954,1.202021877588777e-07
1955,1.482925995333062e-07
1956,1.526199753243418e-07
1957,1.7581724875981308e-07
1958,1.5882707771197602e-07
1959,1.4416390570204385e-07
1960,1.4118499791493377e-07
1961,1.3757355077359534e-07
1962,1.4903596934345842e-07
1963,1.4807261550231487e-07
1964,1.5331600877743767e-07
1965,1.5595323077377543e-07
1966,1.4789330293751846e-07
1967,1.5185433710485086e-07
1968,1.459710148310478e-07
1969,1.421570203774536e-07
1970,1.7567128907103324e-07
1971,1.515827250386792e-07
1972,1.436441152691259e-07
1973,1.615368745433443e-07
1974,1.580785635724169e-07
1975,1.6277718373203243e-07
1976,1.554079318566437e-07
1977,1.4574419537893846e-07
1978,1.5089102589627146e-07
1979,1.503957207660278e-07
1980,1.6486937681747804e-07
1981,1.8217582464785664e-07
1982,1.6015356152365712e-07
1983,1.7556578768562758e-07
1984,1.6527174295788427e-07
1985,1.8949008051549754e-07
1986,1.642489024789029e-07
1987,1.6560314008984278e-07
1988,1.7989661671435897e-07
1989,1.9208427204375766e-07
1990,1.6345953213203757e-07
1991,1.7994697998346965e-07
1992,1.856851241655022e-07
1993,1.8334776541450992e-07
1994,1.9306231990867673e-07
1995,1.908702671471474e-07
1996,2.1726035015490197e-07
1997,2.061804593722627e-07
1998,2.0169186143448314e-07
1999,2.0108885223635298e-07
2000,2.169253434658458e-07
2001,2.0372634423893032e-07
2002,2.2607102323490835e-07
2003,2.1667999305918784e-07
2004,2.0878709960925335e-07
2005,1.9636348724816344e-07
2006,2.0424734259449906e-07
2007,2.1650079418122914e-07
2008,1.9924817706851172e-07
2009,1.7737676216711407e-07
2010,1.6911178590817144e-07
2011,1.3383902341956855e-07
2012,1.1302118707590125e-07
2013,1.1797998666907006e-07
2014,1.091384405071949e-07
2015,1.0617396384304811e-07
2016,1.1226663332308817e-07
2017,1.1747904693493183e-07
2018,1.0170978725909663e-07
2019,1.1300875968345281e-07
