year,en_ADP août_NOUN,en_ADP route_NOUN
1800,3.229057028875104e-06,9.897830210547909e-06
1801,1.5049074093553827e-06,6.619687660247564e-06
1802,1.996153372374465e-06,9.083392939146506e-06
1803,1.7104474636653322e-06,5.340028693012755e-06
1804,1.3076091889274721e-06,5.0870691836735205e-06
1805,1.2736091719034448e-06,7.132780382335113e-06
1806,2.616555661916209e-06,5.950646880137356e-06
1807,1.3323749712412791e-06,7.4988798104413945e-06
1808,1.8468503526491986e-06,6.916057976980028e-06
1809,1.1746958179514877e-06,8.240943586201865e-06
1810,1.2706887915214793e-06,8.534442585528268e-06
1811,4.424990692086794e-06,8.057744707912207e-06
1812,1.2749255873245602e-06,7.164121527125644e-06
1813,1.2538233491454776e-06,8.029071040027702e-06
1814,2.108273719159115e-06,1.0059927234351562e-05
1815,1.6722786497780362e-06,8.161798490391448e-06
1816,1.610734670975944e-06,6.862424896780794e-06
1817,1.7250157569037583e-06,6.408091152820816e-06
1818,1.7464524759702726e-06,9.87788713757709e-06
1819,1.4108480659302813e-06,6.6609007802753695e-06
1820,1.4109246251337026e-06,8.785942192446328e-06
1821,1.8588905845717818e-06,8.080503917540227e-06
1822,2.080315269381572e-06,7.309676661293452e-06
1823,1.6444790915670637e-06,1.0530002938935468e-05
1824,1.1781136777244683e-06,1.1922611761860935e-05
1825,2.1414837760858063e-06,9.771399930968983e-06
1826,2.0584259203815236e-06,1.0493832547808779e-05
1827,2.2066152070010503e-06,8.525977349904679e-06
1828,1.4033620914233325e-06,8.788899293676877e-06
1829,1.4334350559863651e-06,8.910959266472673e-06
1830,1.4768122404973383e-06,1.231650972499665e-05
1831,2.106371908894289e-06,9.646279153230353e-06
1832,1.6073603603672382e-06,8.3615211678989e-06
1833,1.712060280212313e-06,1.0878185577212207e-05
1834,1.9070446235502914e-06,1.0128899262440427e-05
1835,1.572365945889942e-06,1.0178403385907586e-05
1836,1.6492720149585693e-06,8.956071283705569e-06
1837,1.7241653935684553e-06,1.0126514794706054e-05
1838,1.4461162649581638e-06,9.81793665744135e-06
1839,1.8058980764124044e-06,1.0174693940712132e-05
1840,1.6026136968605442e-06,1.0820189771720834e-05
1841,1.8253619415986577e-06,1.0933551948255626e-05
1842,1.7783610477550837e-06,1.0896234840629404e-05
1843,1.8606769316420468e-06,9.839141796419426e-06
1844,1.798052654322646e-06,1.0401372264823294e-05
1845,2.0228325858795415e-06,1.0116395316117632e-05
1846,1.7586922140822026e-06,9.44623815257728e-06
1847,1.936167237204245e-06,9.421961820521574e-06
1848,1.563991084196914e-06,9.012257493168363e-06
1849,2.0973675063373776e-06,9.27098483316513e-06
1850,1.806551837901793e-06,9.674997869524304e-06
1851,2.226346261124945e-06,1.0332000471180436e-05
1852,2.215538575711662e-06,8.36800387560288e-06
1853,2.3159151538720835e-06,9.601672161352326e-06
1854,2.0725506004737326e-06,9.216589091920468e-06
1855,2.072889685678092e-06,8.904509797957871e-06
1856,2.195645937064228e-06,9.309104029853188e-06
1857,3.4492743026248718e-06,1.0660239723847553e-05
1858,2.9264183609711836e-06,1.0134802721495362e-05
1859,2.294533398838894e-06,1.1311244747957971e-05
1860,2.0958925297520636e-06,1.2281500062272244e-05
1861,2.199997020113642e-06,1.1389995222543803e-05
1862,2.305528397528178e-06,1.0318177089629899e-05
1863,2.513293267725203e-06,1.0749922836339465e-05
1864,2.557987336615497e-06,9.543906344333664e-06
1865,2.573231697056144e-06,1.0152663719509292e-05
1866,2.9140156314610977e-06,1.0670775509424857e-05
1867,2.9267306160818407e-06,1.0700934296892228e-05
1868,2.54304710267661e-06,1.1579558815810742e-05
1869,2.6898424252408404e-06,1.032034057857345e-05
1870,3.3205875809017016e-06,1.0279429659476591e-05
1871,3.312745256778271e-06,1.337418598268414e-05
1872,2.8144316388534207e-06,1.1391977409402898e-05
1873,3.301880042272387e-06,1.0984318578266539e-05
1874,3.1862589793263396e-06,1.1956387538702984e-05
1875,3.066738543111569e-06,1.0811969872293048e-05
