year,mon_DET ado_NOUN,mon_DET radeau_NOUN
1800,0.0,1.4463156716715275e-07
1801,2.3811825844433088e-09,1.1905912700171939e-08
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,4.034336864577881e-08
1807,2.8469551160981155e-09,0.0
1808,0.0,1.8128591960930862e-08
1809,6.7770917766551975e-09,5.4216732658929345e-08
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,5.264861391296449e-08
1812,0.0,0.0
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,0.0,2.5173417128598885e-08
1815,0.0,0.0
1816,2.3176038865813098e-09,1.0429217844887262e-07
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,1.035105001712111e-09,2.070210003424222e-09
1820,3.5599443393152796e-09,9.493184904840746e-09
1821,1.97229765852569e-09,5.5224333994630115e-08
1822,0.0,6.015369535816717e-09
1823,9.882686891060644e-10,2.3718449426723964e-08
1824,1.6000115010683658e-08,7.57900142644985e-09
1825,2.641632912414593e-09,3.169959650328735e-08
1826,2.642395191543301e-09,2.7304751237799962e-08
1827,1.8434546111834038e-09,2.3043182195703338e-08
1828,9.172301251858528e-10,4.035812628533364e-08
1829,1.2859763920403111e-08,1.543171707085733e-08
1830,7.305785310052215e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,5.411987746839486e-09,1.8941957335982806e-08
1833,3.475088550253247e-09,2.4325620628928846e-08
1834,0.0,1.5868701908061666e-08
1835,3.025235173481633e-09,1.4369867074037757e-08
1836,4.032449929525228e-09,7.056787909576201e-08
1837,0.0,5.0096815140676654e-08
1838,1.2624323808552163e-09,1.4517972823924197e-08
1839,0.0,3.355907951529957e-08
1840,6.369688665408546e-10,1.3376346419402552e-08
1841,0.0,1.0272877659645019e-08
1842,2.0124795163667386e-09,4.15912420059783e-08
1843,5.906911071384968e-10,1.7720733769266417e-09
1844,5.488561272137815e-10,1.2623690592850068e-08
1845,0.0,1.0044410303500229e-08
1846,5.854501328173001e-10,1.2879903144025207e-08
1847,5.393223645455691e-10,2.480882876909618e-08
1848,1.6090443422100975e-09,1.3676876908785829e-08
1849,3.3517659758786067e-09,1.9272654583346593e-08
