year,un_DET athée_NOUN
1800,8.206269654920106e-07
1801,3.3098437524081703e-07
1802,6.154060372409731e-07
1803,3.569120750057664e-07
1804,7.267242025932319e-07
1805,4.0937439615973403e-07
1806,5.331088095417158e-07
1807,2.2490945106312665e-07
1808,2.5153421034929124e-07
1809,2.3268014248678526e-07
1810,2.3401267590372754e-07
1811,2.1059444277327088e-07
1812,4.0541565793361656e-07
1813,2.415622994966782e-07
1814,1.6048053330663947e-07
1815,2.778140275605523e-07
1816,7.485860802347588e-07
1817,5.355644603355358e-07
1818,4.4108355456984327e-07
1819,5.682726715861008e-07
1820,6.716428160302712e-07
1821,9.427582590149086e-07
1822,4.792244254758771e-07
1823,3.794951766167287e-07
1824,3.461077380251254e-07
1825,4.314667005900219e-07
1826,3.8667051960317167e-07
1827,4.673157523171767e-07
1828,3.522163645186538e-07
1829,4.1151245044890317e-07
1830,5.875938562382998e-07
1831,5.831111111742615e-07
1832,4.004870933771443e-07
1833,5.258967448185103e-07
1834,4.19120445682708e-07
1835,2.6848961454106757e-07
1836,3.165473181354628e-07
1837,2.3448092800748555e-07
1838,3.2570756580696525e-07
1839,2.4749822324920956e-07
1840,2.3440453755796398e-07
1841,2.4141262899846083e-07
1842,3.7499202720781e-07
1843,5.333940791274472e-07
1844,3.578542016047237e-07
1845,2.823595275924795e-07
1846,2.903832552192398e-07
1847,3.41930377345534e-07
1848,2.992822378811155e-07
1849,2.279200934651726e-07
1850,3.496332841024241e-07
1851,3.656831737419708e-07
1852,3.7761164706218153e-07
1853,3.624962694459555e-07
1854,3.2317033138440365e-07
1855,4.601114547142515e-07
1856,2.9820609803721254e-07
1857,3.9344963043141945e-07
1858,3.655575855354698e-07
1859,3.859867268030115e-07
1860,3.107907922128561e-07
1861,2.971057100897845e-07
1862,2.435194597083523e-07
1863,4.065621285187504e-07
1864,3.140546860347371e-07
1865,3.1159309732409213e-07
1866,4.0871148154764114e-07
1867,2.960215059744087e-07
1868,4.0408169788008763e-07
1869,3.647988746635633e-07
1870,3.5551103216846514e-07
1871,2.59156714754738e-07
1872,2.709208068996105e-07
1873,2.460247818802941e-07
1874,1.911874946136649e-07
1875,4.439904918163151e-07
1876,3.7243451234125757e-07
1877,3.259397906019146e-07
1878,2.258619176132015e-07
1879,4.417042038795671e-07
1880,5.070098367809805e-07
1881,3.0260682870597577e-07
1882,2.895092534593857e-07
1883,3.064879456893266e-07
1884,2.7331026419830096e-07
1885,1.882125553742675e-07
1886,2.52975779879705e-07
1887,1.8280988633989637e-07
1888,2.1748308576263753e-07
1889,1.9985785826293068e-07
1890,2.3726878373153681e-07
1891,2.26922228119264e-07
1892,2.657849365039766e-07
1893,2.407940806747888e-07
1894,1.7644310212894254e-07
1895,1.9921613714224407e-07
1896,1.828079016497064e-07
1897,1.3168372736682699e-07
1898,1.8276485769241901e-07
1899,1.3708394597244933e-07
1900,1.6559459536935606e-07
1901,1.9057600347816006e-07
1902,1.53691877891049e-07
1903,1.3392546849289033e-07
1904,2.3325874032309457e-07
1905,1.7959442111248336e-07
1906,2.2119994014246913e-07
